# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
25,0,0.0,0.0,0.0,0.0
30,271,4.253637141720001,9.017722765177574,0.8793186566899495,0.29473608613949404
35,750,11.557289055536017,21.393112214272673,2.444913812320704,0.8227417341557121
40,1235,18.38891102475816,30.826453680759872,4.007771920774699,1.3555783634207916
45,1609,22.96325713346749,35.70356900338447,5.1910873685954675,1.7669037440759745
50,1772,23.73376855042779,35.38930433317034,5.6441168467228895,1.9377237838134433
55,1936,24.458664393084373,35.14996222398337,6.0929641154365894,2.1087054849659777
60,2101,25.12560076430858,34.96778612217882,6.534392591342314,2.2787399215057453
65,2267,25.77119408171483,34.8291260373915,6.975136314770932,2.4500484022207223
70,2431,26.3331863733682,34.68175663443686,7.401983766742674,2.618191747116447
75,2597,26.882226476516884,34.580707762120994,7.8283874693647295,2.7876196131225255
80,2763,27.371376639752203,34.49121621023679,8.244437629461686,2.9550007925997037
85,2929,27.837407632426018,34.41226125900672,8.656916794510634,3.122562685300479
90,3095,28.266176844279716,34.3427232169067,9.062578278632449,3.289196259647105
95,3261,28.644672445736592,34.279867589708005,9.45822905894549,3.453798628265343
100,3426,29.008896326892895,34.21375598261053,9.850646016301289,3.6185971051417023
105,3592,29.34399847442537,34.163660838496305,10.236576891856252,3.7824825734076053
110,3758,29.65230733359291,34.11922378381011,10.61612889111294,3.9454600912695263
115,3924,29.91997406037661,34.078468975616566,10.986101738387141,4.106426658511687
120,4090,30.182230454410206,34.0401613158068,11.353265181606101,4.267609476904217
125,4249,30.295589048348553,33.94801018741004,11.68791427301339,4.419035074791688
130,4415,30.52781292614485,33.91756933156709,12.043477775345213,4.578485995043078
135,4581,30.741469207854895,33.88951927687137,12.393164329909395,4.737053532960516
140,4747,30.93804247649269,33.86315239277981,12.737071074108504,4.894742582616402
145,4913,31.118898614368327,33.83908002837388,13.07529353980506,5.051558010969232
150,5079,31.269303176798097,33.81651374883093,13.40461997062311,5.206396627614788
155,5245,31.42367317147051,33.79505800076926,13.731808823557296,5.361485445188437
160,5411,31.56570042285523,33.77505691725075,14.053589720426707,5.515715047139988
165,5576,31.680380685142755,33.75027725160476,14.366746337647216,5.667982163255562
170,5742,31.80188273700275,33.73278678313296,14.678032640494605,5.8205137268030205
175,5908,31.913670021182543,33.71622110488859,14.984173833310681,5.972200242304376
180,6075,32.00052817054461,33.70276836839765,15.281949248048518,6.121938361055225
185,6240,32.09643264280435,33.682977658421954,15.57810857732875,6.271954938267753
190,6406,32.16867789977077,33.66949433311096,15.866067114223137,6.42003237044172
195,6572,32.25113786200031,33.65688467197815,16.152571824378683,6.568397461533419
200,6730,32.199075753087065,33.60504963491467,16.407895354316686,6.707076344277537
205,6896,32.27910523716069,33.59441909433637,16.68544443138509,6.853851168124907
210,7062,32.3527359169883,33.584093007465775,16.958406025716407,6.999812837139107
215,7228,32.40448829563492,33.574086581514706,17.223550252495215,7.143857825922489
220,7394,32.46809389962665,33.56453857088482,17.487617739913457,7.288212813972899
225,7560,32.52661388031837,33.55541056184435,17.747320575671694,7.431768053448258
230,7726,32.58045486169801,33.546880347034815,18.002730901116447,7.57452797507723
235,7892,32.6299909558945,33.53876370106462,18.25391966520265,7.7164969850415694
240,8058,32.6595752456084,33.53127042992456,18.497650934966483,7.85657143471309
245,8223,32.70278522319458,33.51976543208607,18.74065939041859,7.996977881041823
250,8389,32.74254032172901,33.51233625938907,18.979651269393017,8.136606454316802
255,8555,32.76312566101451,33.50555478889355,19.21138725082388,8.274353433673955
260,8721,32.78206508744739,33.49899576394945,19.43929297338447,8.411337273828606
265,8887,32.81548131802738,33.49270764777282,19.66673745492108,8.548670233086947
270,9052,32.83023461725632,33.48297085674658,19.887116900605914,8.684134316478039
275,9218,32.85979942488341,33.47742422932298,20.107159503681657,8.819955938656285
280,9373,32.72708919026894,33.432833850842876,20.290508030074484,8.943944784413238
285,9539,32.74890993381497,33.4281851597147,20.50057745500318,9.077218986710186
290,9705,32.78497710411169,33.42367461624511,20.710480446976952,9.210862860068403
295,9871,32.818160502694674,33.41928671495788,20.916914047654906,9.343766326055
300,10037,32.84869070321936,33.41507769235752,21.119935601031283,9.475933486639358
305,10203,32.86078872661548,33.4110250730734,21.316295794051793,9.606260390666295
