# time,value
5,0
10,0
15,0
20,0
25,0
30,0
35,361
40,480
45,486
50,491
55,489
60,491
65,487
70,489
75,489
80,489
85,491
90,488
95,491
100,490
105,491
110,491
115,493
120,490
125,493
130,471
135,493
140,493
145,493
150,491
155,494
160,491
165,493
170,491
175,490
180,493
185,492
190,493
195,492
200,493
205,470
210,494
215,491
220,493
225,491
230,493
235,491
240,493
245,492
250,493
255,491
260,493
265,492
270,493
275,493
280,460
285,494
290,492
295,494
300,491
305,493
310,491
315,493
320,492
325,491
330,494
335,492
340,494
345,492
350,490
355,494
360,490
365,491
370,487
375,459
380,492
385,491
390,493
395,492
400,492
405,493
410,492
415,491
420,492
425,492
430,491
435,490
440,491
445,491
450,490
455,446
460,491
465,492
470,491
475,492
480,492
485,492
490,492
495,489
500,491
505,491
510,490
515,490
520,491
525,439
530,492
535,492
540,492
545,491
550,491
555,491
560,491
565,491
570,488
575,492
580,490
585,492
590,492
595,492
600,408
605,493
610,493
615,491
620,492
625,492
630,491
635,490
640,494
645,491
650,491
655,490
660,487
665,491
670,486
675,489
680,491
685,467
