# time,value
5,0
10,0
15,0
20,0
25,0
30,0
35,123
40,165
45,164
50,164
55,163
60,164
65,164
70,166
75,165
80,165
85,166
90,165
95,166
100,166
105,165
110,166
115,166
120,165
125,166
130,159
135,165
140,166
145,166
150,166
155,166
160,166
165,165
170,166
175,165
180,166
185,166
190,165
195,165
200,166
205,159
210,165
215,166
220,166
225,166
230,165
235,166
240,166
245,166
250,165
255,166
260,166
265,165
270,166
275,165
280,155
285,166
290,166
295,166
300,165
305,166
310,166
315,165
320,165
325,165
330,166
335,166
340,165
345,166
350,166
355,166
360,165
365,166
370,164
375,155
380,165
385,165
390,166
395,165
400,166
405,166
410,166
415,166
420,165
425,166
430,166
435,166
440,165
445,166
450,166
455,150
460,165
465,166
470,165
475,166
480,166
485,165
490,166
495,166
500,166
505,165
510,165
515,165
520,166
525,148
530,166
535,166
540,165
545,166
550,165
555,166
560,165
565,166
570,165
575,166
580,164
585,166
590,166
595,165
600,138
605,166
610,166
615,165
620,166
625,166
630,165
635,165
640,166
645,165
650,166
655,165
660,164
665,166
670,164
675,165
680,166
685,158
