# time,value
5,0
10,0
15,0
20,0
25,0
30,0
35,3017
40,3911
45,3903
50,3962
55,4016
60,4002
65,3975
70,3961
75,3950
80,3928
85,3946
90,3927
95,3958
100,3999
105,3927
110,4009
115,3997
120,3989
125,4001
130,4012
135,3986
140,4002
145,4006
150,4033
155,4006
160,3972
165,3930
170,3940
175,3939
180,3912
185,3946
190,3946
195,3919
200,3949
205,3988
210,3942
215,3903
220,3888
225,3954
230,3939
235,3939
240,3963
245,3935
250,3877
255,3995
260,3933
265,3977
270,3960
275,4038
280,3986
285,3957
290,3948
295,3925
300,3917
305,3879
310,3934
315,3899
320,4065
325,3944
330,4009
335,3964
340,3980
345,3996
350,3952
355,3949
360,3966
365,3979
370,3924
375,4091
380,3998
385,3969
390,3929
395,3914
400,3894
405,3889
410,3953
415,3950
420,3914
425,3977
430,3942
435,3934
440,3984
445,3973
450,3845
455,4011
460,3888
465,3940
470,3939
475,3986
480,3964
485,3972
490,3985
495,3921
500,3943
505,3984
510,3895
515,3900
520,3936
525,4018
530,3949
535,3978
540,3957
545,3989
550,3922
555,3916
560,3962
565,3945
570,4005
575,4000
580,4019
585,3995
590,4003
595,3970
600,4164
605,4032
610,3966
615,3909
620,3942
625,3944
630,3919
635,3887
640,3942
645,4015
650,3952
655,3918
660,3925
665,3991
670,3982
675,3994
680,4011
685,3816
