# time,value
5,0
10,0
15,0
20,0
25,0
30,0
35,238
40,315
45,322
50,327
55,326
60,327
65,323
70,323
75,324
80,324
85,325
90,323
95,325
100,324
105,326
110,325
115,327
120,325
125,327
130,312
135,328
140,327
145,327
150,325
155,328
160,325
165,328
170,325
175,325
180,327
185,326
190,328
195,327
200,327
205,311
210,329
215,325
220,327
225,325
230,328
235,325
240,327
245,326
250,328
255,325
260,327
265,327
270,327
275,328
280,305
285,328
290,326
295,328
300,326
305,327
310,325
315,328
320,327
325,326
330,328
335,326
340,329
345,326
350,324
355,328
360,325
365,325
370,323
375,304
380,327
385,326
390,327
395,327
400,326
405,327
410,326
415,325
420,327
425,326
430,325
435,324
440,326
445,325
450,324
455,296
460,326
465,326
470,326
475,326
480,326
485,327
490,326
495,323
500,325
505,326
510,325
515,325
520,325
525,291
530,326
535,326
540,327
545,325
550,326
555,325
560,326
565,325
570,323
575,326
580,326
585,326
590,326
595,327
600,270
605,327
610,327
615,326
620,326
625,326
630,326
635,325
640,328
645,326
650,325
655,325
660,323
665,325
670,322
675,324
680,325
685,309
