# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
25,0,0.0,0.0,0.0,0.0
30,341278,5129.886392914321,11308.416184587257,1060.458299968079,355.4517198842297
35,921291,13986.271836720809,26184.391313363416,2958.5261595858624,995.565026984038
40,1507156,22213.23208522123,37500.38379921861,4841.489112085013,1637.5846266620058
45,2097942,29875.98092834935,46421.86699251549,6712.674434918778,2282.531534068991
50,2697506,37074.92750213689,53737.43569959561,8583.707937719922,2934.2211005950517
55,3296006,43645.10762429351,59704.02238143132,10412.824493660091,3578.6160067921915
60,3890383,49670.82378165458,64613.14776183258,12207.751478184655,4218.114554876502
65,4483696,55180.721179242544,68751.84598869248,13965.97637990516,4851.71229511466
70,5074482,60194.77422223163,72263.46228877665,15683.709237608628,5477.968238448332
75,5662475,64786.6575333803,75272.68716567212,17368.653875167965,6099.280948237401
80,6255655,69075.19868355803,77967.56329712024,19038.93860732774,6721.572532469842
85,6841387,72908.1256314315,80258.81722605477,20658.314016758675,7332.606020457665
90,7433370,76517.53458576824,82366.51113477121,22268.070218760153,7946.001643727658
95,8029875,79936.1847885784,84298.12783274372,23871.443820144777,8562.777891992811
100,8619331,82958.13933613538,85968.32607300195,25422.81574587371,9167.589759597562
105,9216767,85851.19312313445,87554.97544325351,26971.84769349067,9776.861383810035
110,9815932,88557.59429107324,89016.68768179286,28504.509240924894,10385.852279522533
115,10411772,91005.06719796438,90322.5170685507,30003.044934629623,10988.521912247754
120,11008543,93273.86552447306,91525.29416990714,31480.32928654776,11589.031607949404
125,11608240,95384.65575697717,92652.14290940938,32938.032528448406,12187.8354371361
130,12204878,97264.99878229178,93670.67209237728,34358.891934478925,12779.04812884483
135,12802846,99065.18289315805,94624.77532577467,35770.77535803925,13371.848557801359
140,13400548,100670.3885839644,95507.73359152125,37148.770577354495,13957.827949245035
145,14003969,102262.09731694842,96370.16989348816,38527.73114278432,14548.518800119879
150,14603001,103654.22821503785,97146.2566025151,39868.95107766654,15130.92662043439
155,15200304,104913.78228654932,97860.00973616946,41183.606003636254,15708.634132470523
160,15789494,105947.14567928633,98478.85722643856,42450.591694581075,16274.446342540148
165,16378019,106870.23725563526,99056.42133718824,43690.920382757286,16835.208082405396
170,16966012,107730.15659750077,99596.82713598042,44912.946537576325,17393.599957214097
175,17551744,108463.89648360263,100093.17559781423,46102.90357479893,17944.919319000648
180,18147983,109245.31069614438,100609.8290513772,47295.17531859876,18500.552689878547
185,18738370,109968.50011504714,101078.9162507571,48468.619862480715,19053.402503514368
190,19326097,110550.9205763641,101508.58915908237,49605.52236022588,19597.44209147246
195,19917947,111182.4801044533,101938.40069813626,50743.41818231227,20145.09917936005
200,20508201,111714.62609364792,102338.86661386193,51852.394076205186,20686.332698748945
205,21100716,112276.53587018307,102730.37602183495,52957.98862798891,21229.57821563995
210,21687512,112653.1477959331,103075.08489784828,54016.29179349814,21760.08777895412
215,22270717,112935.8429375764,103386.65871341161,55043.91296641517,22283.23719736058
220,22862833,113383.09505792383,103724.47179648468,56093.23907621612,22816.456676263057
225,23451358,113720.14822320051,104031.37702354655,57109.833274462966,23341.56415669822
230,24040947,114051.52029105506,104330.22309965076,58114.02124184286,23865.236142308706
235,24634127,114392.55322695342,104631.436839212,59109.085650614004,24388.51216225552
240,25225046,114714.82594911479,104911.81827582061,60089.46172866769,24909.478625688713
245,25806123,114807.15658432418,105140.3198516519,61011.426319921964,25413.411523595438
250,26403692,115172.84492090129,105423.80298086395,61976.1872081964,25934.005138337634
255,26991818,115366.7975882165,105660.55480291077,62895.54482657879,26441.840926440807
260,27586727,115645.20312931277,105914.19035394092,63820.3707885435,26953.789525113614
265,28180173,115863.06585812476,106152.62455299572,64721.99685397869,27460.249225960833
270,28783594,116235.78154916377,106419.27619263693,65644.33275695166,27975.839874574616
275,29373449,116366.01468186294,106627.46301236923,66507.45785552585,28473.837268320854
280,29969688,116611.31724388324,106851.32244870435,67382.25665142291,28977.770395353684
285,30558213,116666.86101029546,107039.59966062657,68207.42354875758,29467.122212821807
290,31149132,116807.29012232662,107229.57500579576,69037.41732871527,29959.952404651005
295,31734864,116785.4870239712,107395.4697762666,69822.47670584066,30439.58911125174
300,32316872,116778.18811653284,107543.4756597055,70597.19814876854,30917.45276585389
