# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
25,0,0.0,0.0,0.0,0.0
30,2568,38.57057438281445,85.08714642849526,7.973370676451721,2.672569322437818
35,6929,105.15993862196098,196.91592689779208,22.244557590871146,7.485451330707052
40,11333,167.01678259564832,281.97560974476824,36.40217377507529,12.31266636587974
45,15775,224.61544443442472,349.051146286322,50.46793064353709,17.160783203202413
50,20286,278.7601319786518,404.0870101450566,64.53921206503333,22.061818925085788
55,24782,328.1598802916404,448.8940343160774,78.29196722163776,26.906893373761957
60,29253,373.46592275743257,485.8301278090827,91.78765794643517,31.715153099973687
65,33715,414.89363620385745,516.9501885631142,105.00739317610778,36.47904585008593
70,38155,452.5932035271773,543.3416808013451,117.92267696144317,41.18773711989965
75,42578,487.11856870619846,565.9737402267283,130.59143278996896,45.85926122039039
80,47038,519.3631716144188,586.2374114457982,143.1499637798306,50.538145279286226
85,51442,548.1821092171381,603.4663370653643,155.32571792080282,55.13238199818023
90,55893,575.3204653599622,619.3072227367361,167.42914720739074,59.74437913291188
95,60377,601.0245497367991,633.8280011762895,179.48458702893961,64.3817945008711
100,64810,623.745964210569,646.3862206224281,191.14903682102806,68.92925211968418
105,69300,645.4822127774939,658.3107389758851,202.79258709633774,73.50913371284682
110,73804,665.8483225591929,669.2935261440397,214.31971772566217,78.08912676504124
115,78286,684.2502346530158,679.1255395903974,225.5869017501264,82.62047732121056
120,82774,701.3087400300304,688.1657040246837,236.69430127702734,87.13558774974776
125,87283,717.1792249118924,696.6444261384175,247.65447443951857,91.63787211462542
130,91767,731.317033489759,704.2885269834803,258.3376263059359,96.08308025822488
135,96264,744.8521521703699,711.4635060170401,268.9532896081758,100.54022627622663
140,100758,756.9212757040318,718.1021775427628,279.31415440765426,104.94608629824776
145,105294,768.888925722652,724.5868297326515,289.6822774735731,109.38737082762488
150,109799,779.3559972980015,730.4224575937425,299.7666364246007,113.76637693208903
155,114291,788.8262568676857,735.7965369809798,309.65125849067005,118.11004237315676
160,118720,796.5958403824897,740.4433507230364,319.17746527955967,122.36426945392289
165,123145,803.5363177773173,744.7856788668718,328.5032434995705,126.5805230748526
170,127566,810.0018208246603,748.847982311874,337.6914087098009,130.77895816186756
175,131971,815.5186106301354,752.5856818357669,346.6384527576961,134.92421645958535
180,136452,821.3938581310535,756.4675105965067,355.6029006366695,139.10191091622585
185,140892,826.8313290129864,759.9916135625604,364.4257906433829,143.25867637138546
190,145310,831.210390161727,763.2248013416091,372.97392844500223,147.34919952855373
195,149760,835.9589211812823,766.4541787016618,381.52953487183373,151.4669219336477
200,154198,839.959984930813,769.4673015148345,389.86769825033474,155.53634683156636
205,158654,844.1848392666652,772.4086569165188,398.18043802440434,159.62089953058458
210,163066,847.0164791740956,775.0007697989598,406.1376034856946,163.60969318048288
215,167452,849.1419801429444,777.3474919309637,413.8640772931387,167.543147395313
220,171903,852.5047537401468,779.8832730144926,421.75374613419984,171.55231635104104
225,176328,855.0389657083211,782.1917919992088,429.3973103962407,175.50049283741453
230,180761,857.530464445868,784.4368764529936,436.9475947457658,179.43787612994024
235,185220,860.0946029336643,786.70278378978,444.4292809287663,183.37228223734573
240,189663,862.5176886959939,788.8119141365822,451.8005285531416,187.2893232585018
245,194034,863.2118879786763,790.5289372543513,458.7325920841402,191.07829235872364
250,198526,865.9614096051336,792.6623374566393,465.98643230206454,194.99253000689623
255,202947,867.4196867764912,794.4382282350945,472.89889456818594,198.81084414681862
260,207421,869.5129490454644,796.3482209670198,479.8524722166123,202.66008167479475
265,211882,871.1510031970532,798.1383184275907,486.6316145695294,206.46804929461825
270,216419,873.9533662530879,800.14302909117,493.56647000310636,210.34467065735615
275,220854,874.9325530231425,801.7122818409666,500.0561314348413,214.089011908615
280,225337,876.7769242491843,803.3917629636494,506.63356504282467,217.8779827337625
285,229762,877.1945383282762,804.8073007493468,512.8378264968292,221.55731965271207
290,234206,878.2503887463288,806.2388183111199,519.0783803167868,225.26280976264832
295,238610,878.0864487138786,807.4859927759169,524.9810814990195,228.86910073582868
300,242986,878.0155721880594,808.599392102213,530.802748158363,232.46095246087418
305,247410,878.4460872656492,809.8337443878147,536.6306681177982,236.06725372378872
310,251801,878.426411214272,810.9217416905411,542.2763125929324,239.62476673919198
