# time,value
5,0
10,3
15,0
20,0
25,0
30,1
35,0
40,1
45,1
50,1
55,0
60,1
65,1
70,0
75,1
80,1
85,1
90,1
95,0
100,0
105,1
110,1
115,1
120,1
125,1
130,0
135,1
140,1
145,1
150,0
155,1
160,1
165,1
170,1
175,1
180,1
185,1
190,1
195,0
200,0
205,0
210,1
215,1
220,1
225,1
230,1
235,1
240,1
245,1
250,1
255,0
260,0
265,0
270,1
275,1
280,0
285,1
290,0
295,0
300,0
305,1
310,1
315,1
320,1
325,0
330,1
335,1
340,0
345,1
350,0
355,0
360,0
365,1
370,0
375,1
380,1
385,1
390,1
395,1
400,1
405,0
410,1
415,1
420,1
425,0
430,1
435,0
440,1
445,1
450,0
455,1
460,1
465,1
470,1
475,0
480,1
485,1
490,0
495,0
500,1
505,1
510,1
515,1
520,1
525,1
530,1
535,1
540,1
545,0
550,1
555,1
560,1
565,1
570,1
575,1
580,1
585,1
590,1
595,1
600,1
605,0
610,1
615,1
620,1
625,1
630,0
635,1
640,1
645,1
650,0
655,0
660,0
665,1
670,0
675,0
680,1
685,0
