# time,value
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,8319
50,10296
55,12272
60,14248
65,16224
70,18200
75,20176
80,22152
85,24128
90,26104
95,28080
100,30056
105,32032
110,34008
115,35984
120,37959
125,39935
130,41909
135,43881
140,45857
145,46233
150,46329
155,46428
160,46529
165,46632
170,46738
175,46846
180,46956
185,47062
190,47060
195,47140
200,47230
205,47323
210,47433
215,47538
220,47582
225,47667
230,47756
235,47843
240,47938
245,48048
250,48159
255,48199
260,48294
265,48389
270,48481
275,48580
280,48676
285,48777
290,48880
295,48941
300,49035
305,49129
310,49225
315,49320
320,49412
325,49507
330,49605
335,49714
340,49820
345,49923
350,49988
355,50088
360,50190
365,50292
370,50390
375,50381
380,50467
385,50557
390,50658
395,50757
400,50855
405,50951
410,51047
415,51147
420,51253
425,51355
430,51368
435,51460
440,51558
445,51659
450,51753
455,51852
460,51950
465,52055
470,52152
475,52220
480,52319
485,52417
490,52515
495,52615
500,52719
505,52770
510,52863
515,52957
520,53049
525,53151
530,53244
535,53326
540,53421
545,53514
550,53611
555,53713
560,53811
565,53909
570,53990
575,54086
580,54177
585,54279
590,54381
595,54457
600,54552
605,54641
610,54736
615,54834
620,54934
625,55038
630,55114
635,55218
640,55315
645,55422
650,55526
655,55601
660,55700
665,55797
670,55895
675,55989
680,56079
685,56184
690,56257
695,56354
700,56452
705,56554
710,56660
715,56738
720,56831
725,56924
730,57025
735,57120
740,57224
745,57329
750,57431
755,57498
760,57597
765,57703
770,57806
775,57896
780,57995
785,58092
790,58191
795,58291
800,58387
805,58495
810,58604
815,58697
820,58795
825,58895
830,59002
835,59088
840,59186
845,59282
850,59378
855,59476
860,59578
865,59689
870,59776
875,59877
880,59976
885,60072
890,60163
895,60258
900,60350
905,60448
910,60545
915,60646
920,60753
925,60859
930,60955
935,61058
940,61162
945,61261
950,61368
955,61459
960,61558
965,61661
970,61759
975,61865
980,61968
985,62048
990,62144
995,62243
1000,62340
1005,62426
1010,62529
1015,62626
1020,62727
1025,62814
1030,62911
1035,63009
1040,63109
1045,63210
1050,63298
1055,63394
1060,63498
1065,63594
1070,63696
1075,63806
1080,63884
1085,63985
1090,64087
1095,64185
1100,64270
1105,64373
1110,64476
1115,64577
1120,64684
1125,64785
1130,64657
1135,64757
1140,64863
1145,64962
1150,65067
1155,65153
1160,65251
1165,65352
1170,65455
1176,65560
1181,65663
1186,65469
1191,65570
1196,65672
1201,65781
1206,65880
1211,65966
1216,66069
1221,66168
1226,66269
1231,66376
1236,66481
1241,66566
1246,66671
1251,66770
1256,66875
1261,66982
1266,67075
1271,67175
1276,67272
1281,67371
1286,67479
1291,67580
1296,67675
1301,67767
1306,67871
1311,67971
1316,68071
1321,68164
1326,68266
1331,68369
1336,68472
1341,68575
1346,68679
1351,68698
1356,68795
1361,68894
1366,69000
1371,69108
1376,69193
1381,69294
1386,69394
1391,69498
1396,69605
1401,69708
1406,69795
1411,69890
1416,69989
1421,70089
1426,70201
1431,70282
1436,70383
1441,70484
1446,70580
1451,70685
1456,70787
1461,70623
1466,70725
1471,70824
1476,70927
1481,71025
1486,71111
1491,71209
1496,71305
1501,71406
1506,71505
1511,71611
1516,71701
1521,71798
1526,71896
1531,71995
1536,72100
1541,72211
1546,72311
1551,72399
1556,72493
1561,72597
1566,72704
1571,72796
1576,72897
1581,72991
1586,73095
1591,73197
1596,73304
1601,73416
1606,73504
1611,73606
1616,73706
1621,73817
1626,73908
1631,74005
1636,74096
1641,74190
1646,74287
1651,74387
1656,74488
1661,74599
1666,74673
1671,74776
1676,74878
1681,74875
1686,74970
1691,75070
1696,75174
1701,75278
1706,75372
1711,75473
1716,75567
1721,75646
1726,75746
1731,75847
1736,75952
1741,76045
1746,76147
1751,76243
1756,76347
1761,76448
1766,76466
1771,76566
1776,76669
1781,76766
1786,76866
1791,76973
1796,77053
1801,77156
1806,77251
1811,77355
1816,77463
1821,77210
1826,77307
1831,77403
1836,77502
1841,77610
1846,77713
1851,77822
1856,77907
1861,78000
1866,78101
1871,78209
1876,78295
1881,78392
1886,78493
1891,78592
1896,78690
1901,78787
1906,78894
1911,78992
1916,79055
1921,79143
1926,79232
1931,79329
1936,79419
1941,79518
1946,79619
1951,79721
1956,79821
1961,79917
1966,80029
1971,80130
1976,80217
1981,80327
1986,80436
1991,79229
1996,79329
2001,79432
2006,79535
2011,79639
2016,79733
2021,79830
2026,79937
2031,80027
2036,80129
2041,80235
2046,80343
2051,80447
2056,80528
2061,80628
2066,80729
2071,80840
2076,80949
2081,81089
2086,81218
2091,81359
2096,81506
2101,81643
2106,81725
2111,81861
2116,81999
2121,82134
2126,82251
2131,82386
2136,82525
2141,82662
2146,82796
2151,82938
2156,83042
2161,83184
2166,83327
2171,83254
2176,83391
2181,83518
2186,83660
2191,83803
2196,83914
2201,84054
2206,84187
2211,84328
2216,84446
2221,84578
2226,84713
2231,84867
2236,85003
2241,85114
2246,85249
2251,85391
2256,85533
2261,85306
2266,85443
2271,85574
2276,85716
2281,85838
2286,86107
2291,86246
2297,86388
2302,86498
2307,86629
2312,86768
2317,86909
2322,87031
2327,87155
2332,87291
2337,87433
2342,87573
2347,87711
2352,87817
2357,87958
2362,88095
2367,86354
2372,86480
2377,86617
2382,86751
2387,86901
2392,87045
2397,87163
2402,87298
2407,87437
2412,87509
2417,87643
2422,87780
2427,87908
2432,88049
2437,88185
2442,88323
2447,88440
2452,88588
2457,88667
2462,88792
2467,88924
2472,89059
2477,89188
2482,89327
2487,89471
2492,89591
2497,89730
2502,89805
2507,89941
2512,90073
2517,90200
2522,90333
2527,90470
2532,90614
2537,90733
2542,90875
2547,91017
2552,91078
2557,91217
2562,91353
2567,91491
2572,91632
2577,91768
2582,91880
2587,92013
2592,92165
2597,92237
2602,92367
2607,92502
2612,92633
2617,92776
2622,92923
2627,93040
2632,93177
2637,93314
2642,93457
2647,93521
2652,93656
2657,93793
2662,93929
2667,94074
2672,94183
2677,94317
2682,94460
2687,94604
2692,94717
2697,94852
2702,94989
2707,95133
2712,95277
2717,95385
2722,95516
2727,95656
2732,95794
2737,95911
2742,96039
2747,96177
2752,96320
2757,96455
2762,96573
2767,96705
2772,96843
2777,96981
2782,97096
2787,97227
2792,97364
2797,97506
2802,97638
2807,97748
2812,97885
2817,98028
2822,98166
2827,98284
2832,98418
2837,98550
2842,98689
2847,98821
2852,98937
2857,99067
2862,99208
2867,99342
2872,99456
2877,99594
2882,99723
2887,99867
2892,100010
2897,100117
2902,100250
2907,100385
2912,100529
2917,100642
2922,100778
2927,100911
2932,101056
2937,101197
2942,101339
2947,101435
2952,101576
2957,101716
2962,98861
2967,98991
2972,99124
2977,99254
2982,99388
2987,99526
2992,99643
2997,99781
3002,99924
3007,100000
3012,100138
3017,100271
3022,100410
3027,100544
3032,100686
3037,100789
3042,100927
3047,101068
3052,101130
3057,101259
3062,101390
3067,101525
3072,101663
3077,101807
3082,101919
3087,102058
3092,102200
3097,102262
3102,102390
3107,102514
3112,102648
3117,102785
3122,102932
3127,103051
3132,103193
3137,103342
3142,103475
3147,103534
3152,103663
3157,103806
3162,103941
3167,104053
3172,104184
3177,104312
3182,104455
3187,104594
3192,104702
3197,104831
3202,104972
3207,105109
3212,105224
3217,105356
3222,105481
3227,105619
3232,105762
3237,105862
3242,105995
3247,106136
3252,106282
3257,102804
3262,102933
3267,103063
3272,103207
3277,103350
3282,103452
3287,103584
3292,103715
3297,103852
3302,103966
3307,104092
3312,104224
3317,104366
3322,104504
3327,104606
3332,104736
3337,104877
3342,105016
3347,105154
3352,105257
3357,105391
3362,105529
3367,105665
3372,105773
3377,105900
3382,106032
3387,106169
3392,106309
3397,106410
3402,106533
3407,106670
3412,106810
3417,106948
3422,107048
3427,107178
3432,107304
3437,107443
3442,107584
3447,107682
3452,107812
3457,107949
3462,108092
3467,108196
3472,108330
3477,108462
3482,108593
3487,108734
3492,108873
3497,108989
3502,109122
3507,109260
3512,109397
3517,109513
3522,109649
3527,109770
3532,109913
3537,110054
3542,110200
3547,110291
3552,110432
3557,110574
3562,110548
3567,110678
3572,110802
3577,110937
3582,111073
3587,111222
3592,111331
3597,111472
3602,111607
3607,111667
3612,111800
3617,111924
3622,112056
3627,112197
3632,112341
3637,112456
3642,112595
3647,112731
3652,112795
3657,112931
3662,113060
3667,113201
3672,113342
3677,113490
3682,113594
3687,113728
3692,113865
3697,113927
3702,114061
3707,114191
3712,114323
3717,114460
3722,114603
3727,114710
3732,114844
3737,114988
3742,115128
3748,115191
3753,115316
3758,115454
3763,115590
3768,115730
3773,115834
3778,115955
3783,116097
3788,116239
3793,116354
3798,116489
3803,116619
3808,116761
3813,116901
3818,117003
3823,117132
3828,117279
3833,117415
3838,117533
3843,117664
3848,117800
3853,117939
3858,118079
3863,118191
3868,118322
3873,118460
3878,118602
3883,118719
3888,118841
3893,118975
3898,119119
3903,119261
3908,119356
3913,119485
3918,119625
3923,119751
3928,119863
3933,119996
3938,120125
3943,120263
3948,120404
3953,120508
3958,120635
3963,120779
3968,120913
3973,121025
3978,121156
3983,121284
3988,121427
3993,121568
3998,121671
4003,121797
4008,121939
4013,122071
4018,122186
4023,122317
4028,122447
4033,122589
4038,122731
4043,122863
4048,122957
4053,123096
4058,123233
4063,118088
4068,118220
4073,118350
4078,118484
4083,118617
4088,118758
4093,118867
4098,119007
4103,119142
4108,119200
4113,119337
4118,119464
4123,119598
4128,119738
4133,119881
4138,119989
4143,120129
4148,120266
4153,120325
4158,120456
4163,120578
4168,120710
4173,120848
4178,120988
4183,121091
4188,121228
4193,121365
4198,121503
4203,121614
4208,121742
4213,121874
4218,122001
4223,122130
4228,122228
4233,122356
4238,122491
4243,122634
4248,122776
4253,122869
4258,123000
4263,123138
4268,123277
4273,123381
4278,123508
4283,123637
4288,123767
4293,123911
4298,124057
4303,124167
4308,124303
4313,124445
4318,124585
4323,124698
4328,124836
4333,124957
4338,125096
4343,125231
4348,125376
4353,125473
4358,125611
4363,125748
4368,125716
4373,125848
4378,125976
4383,126112
4388,126256
4393,126388
4398,126501
4403,126642
4408,126784
4413,126843
4418,126972
4423,127090
4428,127214
4433,127350
4438,127495
4443,127638
4448,127742
4453,127890
4458,128034
4463,128079
4468,128205
4473,128339
4478,128474
4483,128613
4488,128746
4493,128855
4498,128988
4503,129122
4508,129261
4513,129371
4518,129508
4523,129645
4528,129786
4533,129931
4538,130035
4543,130167
4548,130309
4553,130453
4558,130425
4563,130556
4568,130685
4573,130828
4578,130973
4583,131063
4588,131193
4593,131328
4598,131476
4603,131590
4608,131718
4613,131856
4618,131996
4623,132138
4628,132241
4633,132372
4638,132516
4643,132652
4648,132781
4653,132884
4658,133016
4663,133159
4668,133304
4673,133409
4678,133531
4683,133657
4688,133804
4693,133938
4698,134045
4703,134176
4708,134314
4713,134456
4718,134564
4723,134697
4728,134827
4733,134969
4738,135109
4743,135249
4748,135338
4753,135472
4758,135608
4763,134566
4768,134690
4773,134817
4778,134949
4783,135085
4788,135222
4793,135329
4798,135468
4803,135615
4808,135753
4813,135864
4818,135992
4823,136123
4828,136259
4833,136396
4838,136505
4843,136636
4848,136773
4853,136913
4858,136876
4863,136995
4868,137131
4873,137269
4878,137413
4883,137511
4888,137635
4893,137768
4898,137910
4903,138019
4908,138146
4913,138279
4918,138423
4923,138564
4928,138665
4933,138793
4938,138933
4943,139068
4948,139210
4953,139305
4958,139434
4963,139567
4968,139706
4973,139806
4978,139934
4983,140069
4988,140196
4993,140338
4998,140444
5003,140564
5008,140702
5013,140846
5018,140955
5023,141083
5028,141213
5033,141352
5038,141491
5043,141631
5048,141769
5053,141876
5058,142009
5063,142063
5068,142188
5073,142320
5078,142452
5083,142587
5088,142733
5093,142872
5098,142982
5103,143119
5108,143259
5113,143307
5118,143434
5123,143556
5128,143690
5133,143835
5138,143971
5143,144111
5148,144220
5153,144366
5158,144420
5163,144548
5168,144671
5173,144802
5178,144936
5183,145066
5188,145206
5193,145308
