# time,value
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,8320
50,10296
55,12272
60,14248
65,16224
70,18200
75,20176
80,22152
85,24128
90,26104
95,28080
100,30056
105,32032
110,34008
115,35984
120,37960
125,39936
130,41910
135,43881
140,45858
145,47830
150,49800
155,51761
160,53734
165,54988
170,56967
175,57129
180,57239
185,57345
190,57450
195,57557
200,57669
205,57771
210,57881
215,57908
220,57989
225,58074
230,58178
235,58282
240,58293
245,58379
250,58462
255,58551
260,58651
265,58763
270,58870
275,58917
280,59005
285,59096
290,59182
295,59266
300,59359
305,59451
310,59549
315,59655
320,59757
325,59823
330,59918
335,60016
340,60111
345,60202
350,60295
355,60393
360,60496
365,60601
370,60677
375,60775
380,60871
385,60968
390,61069
395,61168
400,61265
405,61362
410,61459
415,61542
420,61638
425,61732
430,61835
435,61903
440,61993
445,62086
450,62173
455,62266
460,62357
465,62461
470,62559
475,62632
480,62728
485,62824
490,62923
495,63024
500,63095
505,63184
510,63279
515,63374
520,63469
525,63571
530,63664
535,63742
540,63838
545,63932
550,64036
555,64142
560,64218
565,64308
570,64405
575,64503
580,64597
585,64699
590,64802
595,64881
600,64976
605,65067
610,65166
615,65271
620,65371
625,65456
630,65554
635,65659
640,65756
645,65864
650,65968
655,66039
660,66139
665,66238
670,66339
675,66438
680,66503
685,66601
690,66693
695,66790
700,66890
705,66995
710,67102
715,67181
720,67275
725,67368
730,67474
735,67575
740,67655
745,67753
750,67849
755,67942
760,68041
765,68150
770,68254
775,68344
780,68444
785,68543
790,68648
795,68754
800,68832
805,68934
810,69037
815,69142
820,69243
825,69343
830,69433
835,69531
840,69629
845,69725
850,69827
855,69931
860,70008
865,70112
870,70212
875,70317
880,70419
885,70493
890,70594
895,70690
900,70783
905,70881
910,70982
915,71090
920,71175
925,71276
930,71382
935,71490
940,71594
945,71693
950,71773
955,71878
960,71977
965,72083
970,72185
975,72271
980,72368
985,72468
990,72565
995,72665
1000,72766
1005,72851
1010,72956
1015,73051
1020,73154
1025,73259
1030,73314
1035,73411
1040,73510
1045,73610
1050,73720
1055,73820
1060,73901
1065,73996
1070,74096
1075,74204
1080,74308
1085,74393
1090,74494
1095,74590
1100,74684
1105,74789
1110,74896
1115,74989
1120,75094
1125,75194
1130,75297
1135,75402
1140,75499
1145,75594
1150,75695
1155,75796
1160,75899
1165,76004
1170,76030
1176,76131
1181,76229
1186,76339
1191,76446
1196,76538
1201,76642
1206,76736
1211,76840
1216,76948
1221,77054
1226,77138
1231,77242
1236,77340
1241,77440
1246,77551
1251,77655
1256,77367
1261,77469
1266,77572
1271,77678
1276,77779
1281,77355
1286,77458
1291,77553
1296,77656
1301,77751
1306,77861
1311,77948
1316,78042
1321,78143
1326,78245
1331,78355
1336,78439
1341,78538
1346,78636
1351,78733
1356,78833
1361,78936
1366,79021
1371,79123
1376,79222
1381,79328
1386,79432
1391,79519
1396,79621
1401,79719
1406,79817
1411,79915
1416,80019
1421,80107
1426,80213
1431,80310
1436,80413
1441,80520
1446,80621
1451,80702
1456,80799
1461,80898
1466,81003
1471,81107
1476,81191
1481,81285
1486,81388
1491,81487
1496,81585
1501,81692
1506,81779
1511,81880
1516,81981
1521,82079
1526,82169
1531,82268
1536,82369
1541,82474
1546,82571
1551,82658
1556,82752
1561,82854
1566,82956
1571,83047
1576,83149
1581,83244
1586,83348
1591,83451
1596,83556
1601,83644
1606,83741
1611,83843
1616,83945
1621,84055
1626,84147
1631,84244
1636,84335
1641,84429
1646,84527
1651,84632
1656,84714
1661,84819
1666,84918
1671,85021
1676,85124
1681,85205
1686,85300
1691,85401
1696,85506
1701,85596
1706,85690
1711,85790
1716,85880
1721,85979
1726,86080
1731,86167
1736,86267
1741,86369
1746,86473
1751,86576
1756,86665
1761,86766
1766,86866
1771,86967
1776,87073
1781,87101
1786,87198
1791,87300
1796,87403
1801,87495
1806,87591
1811,87693
1816,87797
1821,87878
1826,87972
1831,88070
1836,88171
1841,88275
1846,88375
1851,88458
1856,88561
1861,88656
1866,88756
1871,88865
1876,88969
1881,88665
1886,88765
1891,88866
1896,88966
1901,89052
1906,89152
1911,89246
1916,89342
1921,89431
1926,89516
1931,89600
1936,89701
1941,89801
1946,89903
1951,90011
1956,90097
1961,90195
1966,90301
1971,90397
1976,90506
1981,90617
1986,90707
1991,90811
1996,90913
2001,91021
2006,91116
2011,91220
2016,91314
2021,91408
2026,91510
2031,91614
2036,91723
2041,91804
2046,91906
2051,92008
2056,92112
2061,92055
2066,92156
2071,92266
2076,92373
2081,92507
2086,92655
2091,92782
2096,92925
2101,93063
2106,93150
2111,93287
2116,93423
2121,93552
2126,93690
2131,93833
2136,93959
2141,94096
2146,94230
2151,94372
2156,94448
2161,94585
2166,94721
2171,94867
2176,95013
2181,95118
2186,95259
2191,95402
2196,94659
2201,94799
2206,94925
2211,95060
2216,95200
2221,95341
2226,95463
2231,95617
2236,95753
2241,95836
2246,95970
2251,96104
2256,96242
2261,96388
2266,96511
2271,96640
2276,96784
2281,97052
2286,97184
2291,97317
2297,97460
2302,97602
2307,97710
2312,97842
2317,97984
2322,98130
2327,98239
2332,98375
2337,98512
2342,98652
2347,98790
2352,98906
2357,99042
2362,99180
2367,99328
2372,99439
2377,99577
2382,99713
2387,99862
2392,100007
2397,100120
2402,100250
2407,100390
2412,100531
2417,100652
2422,100789
2427,100918
2432,101059
2437,101196
2442,101334
2447,101441
2452,101590
2457,101737
2462,100436
2467,100568
2472,100704
2477,100835
2482,100975
2487,101086
2492,101225
2497,101364
2502,101505
2507,101626
2512,101759
2517,101886
2522,102027
2527,102164
2532,102276
2537,102413
2542,102556
2547,102698
2552,100649
2557,100789
2562,100927
2567,101072
2572,101212
2577,101314
2582,101440
2587,101575
2592,101727
2597,101840
2602,101970
2607,102105
2612,102242
2617,102385
2622,102496
2627,102630
2632,102767
2637,102904
2642,103047
2647,103154
2652,103291
2657,103432
2662,103568
2667,103687
2672,103821
2677,103957
2682,104100
2687,104244
2692,104349
2697,104486
2702,104631
2707,104774
2712,104891
2717,105025
2722,105157
2727,105297
2732,105434
2737,105544
2742,105673
2747,105818
2752,105961
2757,103466
2762,103600
2767,103733
2772,103872
2777,104010
2782,104114
2787,104241
2792,104384
2797,104526
2802,104630
2807,104764
2812,104902
2817,105045
2822,105183
2827,105289
2832,105421
2837,105559
2842,105699
2847,105830
2852,105942
2857,106073
2862,106213
2867,106347
2872,106458
2877,106595
2882,106723
2887,106865
2892,107006
2897,107111
2902,107244
2907,107379
2912,107522
2917,107632
2922,107766
2927,107900
2932,108043
2937,108184
2942,108324
2947,108417
2952,108558
2957,108699
2962,105706
2967,105834
2972,105966
2977,106095
2982,106228
2987,106366
2992,106481
2997,106619
3002,106760
3007,106907
3012,107027
3017,107159
3022,107299
3027,107433
3032,107574
3037,107665
3042,107796
3047,107935
3052,108067
3057,108034
3062,108163
3067,108299
3072,108437
3077,108580
3082,108675
3087,108807
3092,108948
3097,109082
3102,109188
3107,109310
3112,109443
3117,109577
3122,109723
3127,109827
3132,109963
3137,110111
3142,110244
3147,110384
3152,110482
3157,110619
3162,110753
3167,110892
3172,111002
3177,111128
3182,111264
3187,111403
3192,111546
3197,111645
3202,111777
3207,111912
3212,112055
3217,112166
3222,112288
3227,112419
3232,112561
3237,112696
3242,112837
3247,112932
3252,113076
3257,113216
3262,109573
3267,109698
3272,109832
3277,109968
3282,110110
3287,110251
3292,110354
3297,110488
3302,110631
3307,110683
3312,110811
3317,110945
3322,111075
3327,111215
3332,111356
3337,111469
3342,111606
3347,111743
3352,111803
3357,111936
3362,112063
3367,112190
3372,112328
3377,112464
3382,112576
3387,112713
3392,112852
3397,112911
3402,113031
3407,113161
3412,113293
3417,113430
3422,113569
3427,113680
3432,113804
3437,113944
3442,114084
3447,114221
3452,114322
3457,114451
3462,114593
3467,114727
3472,114841
3477,114971
3482,115097
3487,115237
3492,115376
3497,115481
3502,115606
3507,115743
3512,115879
3517,115992
3522,116128
3527,116247
3532,116391
3537,116531
3542,116676
3547,116763
3552,116903
3557,117044
3562,116863
3567,116992
3572,117115
3577,117251
3582,117386
3587,117535
3592,117642
3597,117782
3602,117916
3607,118053
3612,118168
3617,118290
3622,118422
3627,118560
3632,118704
3637,118807
3642,118940
3647,119075
3652,119213
3657,119178
3662,119303
3667,119444
3672,119584
3677,119730
3682,119818
3687,119943
3692,120080
3697,120216
3702,120328
3707,120456
3712,120586
3717,120723
3722,120865
3727,120957
3732,121083
3737,121225
3742,121364
3748,121512
3753,121604
3758,121738
3763,121874
3768,122013
3773,122124
3778,122243
3783,122377
3788,122516
3793,122659
3798,122761
3803,122891
3808,123033
3813,123173
3818,123281
3823,123409
3828,123547
3833,123682
3838,123829
3843,123970
3848,124064
3853,124201
3858,124340
3863,119363
3868,119489
3873,119618
3878,119750
3883,119897
3888,120027
3893,120138
3898,120279
3903,120421
3908,120556
3913,120662
3918,120792
3923,120909
3928,121047
3933,121189
3938,121287
3943,121415
3948,121552
3953,121694
3958,121632
3963,121763
3968,121889
3973,122031
3978,122170
3983,122261
3988,122394
3993,122532
3998,122673
4003,122773
4008,122902
4013,123023
4018,123163
4023,123303
4028,123441
4033,123552
4038,123690
4043,123820
4048,123962
4053,124002
4058,124128
4063,124260
4068,124402
4073,124541
4078,124636
4083,124758
4088,124898
4093,125034
4098,125140
4103,125263
4108,125393
4113,125539
4118,125674
4123,125770
4128,125898
4133,126038
4138,126175
4143,126315
4148,126407
4153,126536
4158,126677
4163,126807
4168,126914
4173,127039
4178,127168
4183,127295
4188,127436
4193,127573
4198,127680
4203,127812
4208,127949
4213,128090
4218,128188
4223,128307
4228,128433
4233,128568
4238,128704
4243,128846
4248,128937
4253,129065
4258,129205
4263,129344
4268,129449
4273,129572
4278,129698
4283,129832
4288,129965
4293,130067
4298,130201
4303,130338
4308,130479
4313,130588
4318,130716
4323,130847
4328,130992
4333,131121
4338,131216
4343,131340
4348,131480
4353,131621
4358,131761
4363,131864
4368,131992
4373,132133
4378,132270
4383,132383
4388,132514
4393,132637
4398,132774
4403,132915
4408,133015
4413,133141
4418,133277
4423,133404
4428,133506
4433,133631
4438,133764
4443,133902
4448,134039
4453,134186
4458,134277
4463,134406
4468,134541
4473,134046
4478,134175
4483,134302
4488,134423
4493,134557
4498,134695
4503,134798
4508,134931
4513,135067
4518,135212
4523,135325
4528,135454
4533,135587
4538,135727
4543,135866
4548,136008
4553,136098
4558,136238
4563,136378
4568,136319
4573,136448
4578,136579
4583,136700
4588,136838
4593,136975
4598,137090
4603,137232
4608,137367
4613,137422
4618,137553
4623,137684
4628,137817
4633,137958
4638,138102
4643,138236
4648,138331
4653,138473
4658,138524
4663,138654
4668,138788
4673,138912
4678,139034
4683,139168
4688,139315
4693,139414
4698,139558
4703,139698
4708,139739
4713,139867
4718,139993
4723,140128
4728,140265
4733,140407
4738,140515
4743,140651
4748,140789
4753,140924
4758,140958
4763,141080
4768,141206
4773,141341
4778,141483
4783,141574
4788,141699
4793,141829
4798,141971
4803,142117
4808,142207
4813,142335
4818,142471
4823,142608
4828,142712
4833,142836
4838,142972
4843,143109
4848,143246
4853,143386
4858,143472
4863,143598
4868,143740
4873,143879
4878,143987
4883,144116
4888,144240
4893,144372
4898,144512
4903,144607
4908,144733
4913,144873
4918,145017
4923,145158
4928,145255
4933,145383
4938,145522
4943,145657
4948,145798
4953,145889
4958,146016
4963,146147
4968,146285
4973,146382
4978,146507
4983,146640
4988,146768
4993,146909
4998,147010
5003,147129
5008,147265
5013,147408
5018,147548
5023,147640
5028,147768
5033,147907
5038,148045
5043,148183
5048,148273
5053,148400
5058,148532
5063,148666
5068,148767
5073,148898
5078,149027
5083,149168
5088,149312
5093,149404
5098,149535
5103,149671
5108,149810
5113,149916
5118,150042
5123,150162
5128,150300
5133,150444
5138,150580
5143,150719
5148,150825
5153,150969
5158,151103
5163,151142
5168,151262
5173,151391
5178,151527
5183,151656
5188,151795
5193,151900
