# time,value
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,8319
50,1979
55,1976
60,1976
65,1976
70,1976
75,1977
80,1976
85,843
90,88
95,106
100,103
105,105
110,107
115,99
120,105
125,104
130,104
135,97
140,96
145,93
150,98
155,99
160,101
165,103
170,107
175,108
180,111
185,105
190,105
195,107
200,112
205,104
210,110
215,106
220,108
225,107
230,107
235,104
240,111
245,114
250,112
255,111
260,114
265,113
270,107
275,113
280,109
285,110
290,105
295,98
300,109
305,105
310,109
315,106
320,103
325,105
330,108
335,111
340,107
345,103
350,103
355,109
360,113
365,112
370,108
375,109
380,105
385,109
390,111
395,109
400,107
405,107
410,105
415,110
420,107
425,102
430,112
435,103
440,109
445,110
450,104
455,109
460,108
465,114
470,107
475,113
480,114
485,107
490,107
495,110
500,114
505,105
510,111
515,111
520,110
525,111
530,102
535,116
540,113
545,110
550,113
555,115
560,106
565,106
570,111
575,114
580,106
585,110
590,111
595,114
600,112
605,103
610,110
615,112
620,108
625,112
630,112
635,119
640,112
645,116
650,111
655,113
660,113
665,113
670,111
675,107
680,97
685,111
690,104
695,111
700,113
705,113
710,113
715,112
720,106
725,106
730,114
735,108
740,112
745,111
750,109
755,104
760,111
765,117
770,110
775,115
780,113
785,110
790,111
795,114
800,107
805,115
810,115
815,117
820,111
825,106
830,113
835,109
840,110
845,106
850,109
855,110
860,112
865,117
870,110
875,113
880,109
885,100
890,113
895,106
900,103
905,110
910,106
915,114
920,112
925,112
930,118
935,114
940,108
945,104
950,113
955,117
960,110
965,113
970,109
975,115
980,108
985,111
990,108
995,109
1000,106
1005,105
1010,115
1015,106
1020,110
1025,112
1030,113
1035,107
1040,111
1045,111
1050,118
1055,106
1060,113
1065,107
1070,110
1075,116
1080,108
1085,112
1090,112
1095,106
1100,105
1105,114
1110,112
1115,114
1120,118
1125,111
1130,110
1135,111
1140,117
1145,106
1150,112
1155,111
1160,110
1165,111
1170,116
1176,114
1181,108
1186,118
1191,114
1196,113
1201,117
1206,104
1211,115
1216,115
1221,112
1226,114
1231,114
1236,109
1241,106
1246,117
1251,111
1256,114
1261,111
1266,116
1271,112
1276,108
1281,109
1286,117
1291,106
1296,114
1301,103
1306,116
1311,109
1316,105
1321,113
1326,112
1331,117
1336,113
1341,111
1346,111
1351,107
1356,108
1361,110
1366,112
1371,114
1376,112
1381,112
1386,112
1391,117
1396,115
1401,109
1406,108
1411,105
1416,110
1421,108
1426,117
1431,108
1436,112
1441,114
1446,107
1451,113
1456,108
1461,108
1466,114
1471,110
1476,110
1481,104
1486,114
1491,109
1496,109
1501,112
1506,109
1511,112
1516,110
1521,107
1526,110
1531,109
1536,112
1541,116
1546,106
1551,116
1556,105
1561,113
1566,112
1571,113
1576,114
1581,104
1586,117
1591,113
1596,113
1601,118
1606,110
1611,113
1616,109
1621,115
1626,112
1631,107
1636,102
1641,104
1646,106
1651,110
1656,107
1661,115
1666,111
1671,113
1676,107
1681,106
1686,106
1691,111
1696,117
1701,113
1706,104
1711,110
1716,99
1721,109
1726,111
1731,107
1736,110
1741,114
1746,113
1751,107
1756,113
1761,111
1766,110
1771,111
1776,116
1781,107
1786,110
1791,112
1796,112
1801,114
1806,107
1811,112
1816,114
1821,106
1826,107
1831,109
1836,111
1841,115
1846,108
1851,114
1856,115
1861,104
1866,110
1871,114
1876,110
1881,109
1886,113
1891,111
1896,109
1901,106
1906,112
1911,104
1916,107
1921,97
1926,93
1931,102
1936,113
1941,112
1946,112
1951,113
1956,111
1961,108
1966,118
1971,108
1976,116
1981,117
1986,116
1991,115
1996,113
2001,116
2006,114
2011,117
2016,104
2021,104
2026,114
2031,110
2036,114
2041,111
2046,114
2051,109
2056,110
2061,109
2066,113
2071,122
2076,118
2081,147
2086,155
2091,156
2096,157
2101,146
2106,149
2111,152
2116,151
2121,141
2126,146
2131,150
2136,154
2141,145
2146,141
2151,149
2156,149
2161,151
2166,150
2171,154
2176,154
2181,141
2186,155
2191,151
2196,151
2201,156
2206,140
2211,149
2216,148
2221,149
2226,151
2231,163
2236,144
2241,151
2246,150
2251,150
2256,149
2261,154
2266,155
2271,144
2276,151
2281,155
2286,148
2291,148
2297,151
2302,149
2307,148
2312,147
2317,150
2322,155
2327,140
2332,153
2337,152
2342,149
2347,145
2352,155
2357,151
2362,145
2367,157
2372,144
2377,154
2382,151
2387,158
2392,152
2397,151
2402,145
2407,147
2412,150
2417,152
2422,154
2427,145
2432,150
2437,143
2442,146
2447,152
2452,157
2457,157
2462,142
2467,148
2472,153
2477,144
2482,148
2487,152
2492,155
2497,148
2502,150
2507,157
2512,147
2517,143
2522,149
2527,145
2532,153
2537,154
2542,151
2547,151
2552,144
2557,160
2562,152
2567,154
2572,149
2577,146
2582,143
2587,143
2592,161
2597,148
2602,149
2607,151
2612,147
2617,152
2622,157
2627,151
2632,145
2637,146
2642,152
2647,149
2652,154
2657,150
2662,145
2667,155
2672,152
2677,152
2682,152
2687,152
2692,150
2697,153
2702,154
2707,153
2712,155
2717,151
2722,148
2727,149
2732,145
2737,155
2742,145
2747,155
2752,152
2757,144
2762,154
2767,148
2772,148
2777,147
2782,152
2787,146
2792,155
2797,152
2802,140
2807,154
2812,155
2817,153
2822,147
2827,155
2832,150
2837,148
2842,149
2847,140
2852,157
2857,149
2862,151
2867,143
2872,149
2877,155
2882,147
2887,153
2892,152
2897,149
2902,151
2907,144
2912,153
2917,149
2922,153
2927,152
2932,155
2937,150
2942,149
2947,148
2952,151
2957,150
2962,153
2967,147
2972,153
2977,147
2982,142
2987,146
2992,151
2997,152
3002,152
3007,159
3012,157
3017,153
3022,156
3027,143
3032,149
3037,136
3042,150
3047,150
3052,142
3057,149
3062,148
3067,153
3072,148
3077,153
3082,147
3087,152
3092,151
3097,143
3102,148
3107,139
3112,152
3117,147
3122,156
3127,155
3132,156
3137,159
3142,142
3147,149
3152,149
3157,158
3162,144
3167,149
3172,150
3177,145
3182,155
3187,149
3192,155
3197,147
3202,152
3207,146
3212,153
3217,151
3222,141
3227,150
3232,153
3237,147
3242,150
3247,153
3252,156
3257,151
3262,150
3267,148
3272,154
3277,153
3282,154
3287,150
3292,142
3297,147
3302,154
3307,146
3312,150
3317,155
3322,148
3327,152
3332,150
3337,153
3342,149
3347,148
3352,152
3357,155
3362,148
3367,145
3372,149
3377,145
3382,153
3387,149
3392,150
3397,149
3402,141
3407,150
3412,150
3417,149
3422,149
3427,151
3432,138
3437,149
3442,150
3447,146
3452,150
3457,149
3462,153
3467,144
3472,154
3477,151
3482,144
3487,150
3492,150
3497,153
3502,146
3507,148
3512,148
3517,151
3522,156
3527,137
3532,155
3537,151
3542,155
3547,146
3552,152
3557,152
3562,154
3567,150
3572,142
3577,154
3582,147
3587,158
3592,147
3597,154
3602,144
3607,147
3612,154
3617,142
3622,150
3627,152
3632,153
3637,153
3642,153
3647,146
3652,148
3657,157
3662,147
3667,159
3672,152
3677,157
3682,142
3687,147
3692,147
3697,146
3702,156
3707,148
3712,150
3717,149
3722,154
3727,143
3732,147
3737,155
3742,150
3748,158
3753,144
3758,157
3763,146
3768,151
3773,154
3778,140
3783,153
3788,152
3793,155
3798,155
3803,150
3808,153
3813,152
3818,151
3823,149
3828,158
3833,146
3838,158
3843,152
3848,157
3853,149
3858,150
3863,153
3868,149
3873,150
3878,152
3883,159
3888,139
3893,153
3898,156
3903,152
3908,148
3913,147
3918,153
3923,135
3928,151
3933,152
3938,150
3943,150
3948,150
3953,154
3958,146
3963,156
3968,143
3973,154
3978,151
3983,148
3988,156
3993,151
3998,152
4003,146
4008,153
4013,141
4018,154
4023,152
4028,151
4033,153
4038,152
4043,141
4048,154
4053,151
4058,148
4063,151
4068,155
4073,153
4078,151
4083,145
4088,151
4093,149
4098,152
4103,145
4108,152
4113,159
4118,149
4123,151
4128,153
4133,153
4138,149
4143,151
4148,148
4153,152
4158,153
4163,142
4168,151
4173,149
4178,150
4183,142
4188,151
4193,147
4198,148
4203,149
4208,150
4213,151
4218,139
4223,138
4228,147
4233,147
4238,148
4243,153
4248,153
4253,141
4258,152
4263,149
4268,148
4273,143
4278,147
4283,147
4288,144
4293,153
4298,156
4303,149
4308,150
4313,152
4318,149
4323,152
4328,156
4333,140
4338,149
4343,144
4348,154
4353,152
4358,150
4363,147
4368,147
4373,153
4378,148
4383,156
4388,153
4393,141
4398,149
4403,155
4408,152
4413,145
4418,147
4423,138
4428,141
4433,147
4438,154
4443,153
4448,146
4453,158
4458,155
4463,139
4468,146
4473,154
4478,154
4483,149
4488,142
4493,144
4498,148
4503,143
4508,148
4513,148
4518,156
4523,156
4528,151
4533,154
4538,151
4543,150
4548,153
4553,154
4558,152
4563,152
4568,146
4573,154
4578,155
4583,139
4588,149
4593,147
4598,159
4603,154
4608,148
4613,157
4618,153
4623,153
4628,152
4633,151
4638,155
4643,145
4648,139
4653,153
4658,153
4663,154
4668,156
4673,145
4678,139
4683,147
4688,158
4693,144
4698,155
4703,153
4708,151
4713,152
4718,146
4723,155
4728,148
4733,153
4738,150
4743,150
4748,148
4753,147
4758,146
4763,144
4768,146
4773,147
4778,153
4783,146
4788,147
4793,147
4798,153
4803,158
4808,148
4813,151
4818,149
4823,149
4828,148
4833,147
4838,159
4843,150
4848,149
4853,151
4858,155
4863,140
4868,154
4873,150
4878,155
4883,153
4888,145
4893,143
4898,153
4903,151
4908,149
4913,154
4918,157
4923,152
4928,157
4933,149
4938,151
4943,145
4948,153
4953,148
4958,150
4963,144
4968,149
4973,142
4978,149
4983,157
4988,139
4993,154
4998,159
5003,140
5008,150
5013,155
5018,153
5023,150
5028,150
5033,153
5038,148
5043,150
5048,148
5053,150
5058,142
5063,147
5068,146
5073,154
5078,151
5083,156
5088,155
5093,150
5098,154
5103,148
5108,150
5113,154
5118,150
5123,140
5128,153
5133,156
5138,146
5143,150
5148,152
5153,157
5158,145
5163,150
5168,142
5173,151
5178,154
5183,139
5188,151
5193,146
5198,142
5203,136
5208,156
5213,156
5218,146
5223,152
5228,148
5233,150
5239,155
5244,150
5249,149
5254,155
5259,155
5264,146
5269,145
5274,140
5279,157
5284,154
5289,148
5294,145
5299,150
5304,150
5309,151
5314,152
5319,141
5324,157
5329,147
5334,151
5339,151
5344,153
5349,145
5354,150
5359,157
5364,152
5369,152
5374,150
5379,155
5384,151
5389,149
5394,155
5399,144
5404,157
5409,150
5414,154
5419,144
5424,150
5429,153
5434,155
5439,142
5444,154
5449,148
5454,157
5459,154
5464,155
5469,148
5474,159
5479,152
5484,150
5489,139
5494,151
5499,150
5504,157
5509,145
5514,151
5519,148
5524,153
5529,149
5534,155
5539,156
5544,151
5549,150
5554,148
5559,143
5564,149
5569,151
5574,153
5579,149
5584,151
5589,150
5594,151
5599,144
5604,147
5609,151
5614,151
5619,149
5624,143
5629,154
5634,157
5639,149
5644,149
5649,146
5654,157
5659,151
5664,147
5669,146
5674,159
5679,155
5684,140
5689,155
5694,154
5699,153
5704,152
5709,151
5714,153
5719,135
5724,147
5729,153
5734,154
5739,152
5744,150
5749,148
5754,156
5759,148
5764,159
5769,151
5774,148
5779,148
5784,149
5789,156
5794,154
5799,154
5804,147
5809,156
5814,144
5819,156
5824,147
5829,154
5834,150
5839,150
5844,153
5849,154
5854,154
5859,154
5864,143
5869,155
5874,153
5879,151
5884,150
5889,151
5894,143
5899,155
5904,157
5909,143
5914,149
5919,148
5924,154
5929,147
5934,156
5939,154
5944,155
5949,139
5954,138
5959,150
5964,146
5969,157
5974,149
5979,157
5984,156
5989,149
5994,154
5999,150
6004,150
6009,148
6014,155
6019,145
6024,150
6029,151
6034,152
6039,147
6044,149
6049,156
6054,134
6059,152
6064,152
6069,152
6074,153
6079,152
6084,155
6089,150
6094,151
6099,137
6104,160
6109,155
6114,148
6119,151
6124,156
6129,154
6134,148
6139,154
6144,154
6149,154
6154,158
6159,150
6164,153
6169,149
6174,152
6179,146
6184,157
6189,145
6194,158
6199,149
6204,148
6209,146
6214,149
6219,156
