# time,value
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,198
50,56
55,93
60,91
65,100
70,103
75,103
80,101
85,101
90,88
95,105
100,103
105,104
110,107
115,98
120,105
125,104
130,104
135,97
140,116
145,116
150,116
155,116
160,116
165,116
170,116
175,116
180,116
185,116
190,116
195,116
200,116
205,116
210,116
215,116
220,116
225,116
230,116
235,116
240,116
245,116
250,116
255,116
260,116
265,116
270,116
275,116
280,116
285,116
290,116
295,116
300,116
305,116
310,116
315,116
320,116
325,116
330,116
335,116
340,116
345,116
350,116
355,116
360,116
365,116
370,116
375,116
380,116
385,116
390,116
395,116
400,116
405,116
410,116
415,116
420,116
425,116
430,116
435,116
440,116
445,116
450,116
455,116
460,116
465,116
470,116
475,116
480,116
485,116
490,116
495,116
500,116
505,116
510,116
515,116
520,116
525,116
530,116
535,116
540,116
545,116
550,116
555,116
560,116
565,116
570,116
575,116
580,116
585,116
590,116
595,116
600,116
605,116
610,116
615,116
620,116
625,116
630,116
635,116
640,116
645,116
650,116
655,116
660,116
665,116
670,116
675,116
680,116
685,116
690,116
695,116
700,116
705,116
710,116
715,116
720,116
725,116
730,116
735,116
740,116
745,116
750,116
755,116
760,116
765,116
770,116
775,116
780,116
785,116
790,116
795,116
800,116
805,116
810,116
815,116
820,116
825,116
830,116
835,116
840,116
845,116
850,116
855,116
860,116
865,116
870,116
875,116
880,116
885,116
890,116
895,116
900,116
905,116
910,116
915,116
920,116
925,116
930,116
935,116
940,116
945,116
950,116
955,116
960,116
965,116
970,116
975,116
980,116
985,116
990,116
995,116
1000,116
1005,116
1010,116
1015,116
1020,116
1025,116
1030,116
1035,116
1040,116
1045,116
1050,116
1055,116
1060,116
1065,116
1070,116
1075,116
1080,116
1085,116
1090,116
1095,116
1100,116
1105,116
1110,116
1115,116
1120,116
1125,116
1130,116
1135,116
1140,116
1145,116
1150,116
1155,116
1160,116
1165,116
1170,116
1176,116
1181,116
1186,116
1191,116
1196,116
1201,116
1206,116
1211,116
1216,116
1221,116
1226,116
1231,116
1236,116
1241,116
1246,116
1251,116
1256,116
1261,116
1266,116
1271,116
1276,116
1281,116
1286,116
1291,116
1296,116
1301,116
1306,116
1311,116
1316,116
1321,116
1326,116
1331,116
1336,116
1341,116
1346,116
1351,116
1356,116
1361,116
1366,116
1371,116
1376,116
1381,116
1386,116
1391,116
1396,116
1401,116
1406,116
1411,116
1416,116
1421,116
1426,116
1431,116
1436,116
1441,116
1446,116
1451,116
1456,116
1461,116
1466,116
1471,116
1476,116
1481,116
1486,116
1491,116
1496,116
1501,116
1506,116
1511,116
1516,116
1521,116
1526,116
1531,116
1536,116
1541,116
1546,116
1551,116
1556,116
1561,116
1566,116
1571,116
1576,116
1581,116
1586,116
1591,116
1596,116
1601,116
1606,116
1611,116
1616,116
1621,116
1626,116
1631,116
1636,116
1641,116
1646,116
1651,116
1656,116
1661,116
1666,116
1671,116
1676,116
1681,116
1686,116
1691,116
1696,116
1701,116
1706,116
1711,116
1716,116
1721,116
1726,116
1731,116
1736,116
1741,116
1746,116
1751,116
1756,116
1761,116
1766,116
1771,116
1776,116
1781,116
1786,116
1791,116
1796,116
1801,116
1806,116
1811,116
1816,116
1821,116
1826,116
1831,116
1836,116
1841,116
1846,116
1851,116
1856,116
1861,116
1866,116
1871,116
1876,116
1881,116
1886,116
1891,116
1896,116
1901,116
1906,116
1911,116
1916,116
1921,116
1926,116
1931,116
1936,116
1941,116
1946,116
1951,116
1956,116
1961,116
1966,116
1971,116
1976,116
1981,116
1986,116
1991,116
1996,116
2001,116
2006,116
2011,116
2016,116
2021,116
2026,116
2031,116
2036,116
2041,116
2046,116
2051,116
2056,116
2061,116
2066,116
2071,116
2076,116
2081,174
2086,174
2091,174
2096,174
2101,174
2106,174
2111,174
2116,174
2121,174
2126,174
2131,174
2136,174
2141,174
2146,174
2151,174
2156,174
2161,174
2166,174
2171,174
2176,174
2181,174
2186,174
2191,174
2196,174
2201,174
2206,174
2211,174
2216,174
2221,174
2226,174
2231,174
2236,174
2241,174
2246,174
2251,174
2256,174
2261,174
2266,174
2271,174
2276,174
2281,174
2286,174
2291,174
2297,174
2302,174
2307,174
2312,174
2317,174
2322,174
2327,174
2332,174
2337,174
2342,174
2347,174
2352,174
2357,174
2362,174
2367,174
2372,174
2377,174
2382,174
2387,174
2392,174
2397,174
2402,174
2407,174
2412,174
2417,174
2422,174
2427,174
2432,174
2437,174
2442,174
2447,174
2452,174
2457,174
2462,174
2467,174
2472,174
2477,174
2482,174
2487,174
2492,174
2497,174
2502,174
2507,174
2512,174
2517,174
2522,174
2527,174
2532,174
2537,174
2542,174
2547,174
2552,174
2557,174
2562,174
2567,174
2572,174
2577,174
2582,174
2587,174
2592,174
2597,174
2602,174
2607,174
2612,174
2617,174
2622,174
2627,174
2632,174
2637,174
2642,174
2647,174
2652,174
2657,174
2662,174
2667,174
2672,174
2677,174
2682,174
2687,174
2692,174
2697,174
2702,174
2707,174
2712,174
2717,174
2722,174
2727,174
2732,174
2737,174
2742,174
2747,174
2752,174
2757,174
2762,174
2767,174
2772,174
2777,174
2782,174
2787,174
2792,174
2797,174
2802,174
2807,174
2812,174
2817,174
2822,174
2827,174
2832,174
2837,174
2842,174
2847,174
2852,174
2857,174
2862,174
2867,174
2872,174
2877,174
2882,174
2887,174
2892,174
2897,174
2902,174
2907,174
2912,174
2917,174
2922,174
2927,174
2932,174
2937,174
2942,174
2947,174
2952,174
2957,174
2962,174
2967,174
2972,174
2977,174
2982,174
2987,174
2992,174
2997,174
3002,174
3007,174
3012,174
3017,174
3022,174
3027,174
3032,174
3037,174
3042,174
3047,174
3052,174
3057,174
3062,174
3067,174
3072,174
3077,174
3082,174
3087,174
3092,174
3097,174
3102,174
3107,174
3112,174
3117,174
3122,174
3127,174
3132,174
3137,174
3142,174
3147,174
3152,174
3157,174
3162,174
3167,174
3172,174
3177,174
3182,174
3187,174
3192,174
3197,174
3202,174
3207,174
3212,174
3217,174
3222,174
3227,174
3232,174
3237,174
3242,174
3247,174
3252,174
3257,174
3262,174
3267,174
3272,174
3277,174
3282,174
3287,174
3292,174
3297,174
3302,174
3307,174
3312,174
3317,174
3322,174
3327,174
3332,174
3337,174
3342,174
3347,174
3352,174
3357,174
3362,174
3367,174
3372,174
3377,174
3382,174
3387,174
3392,174
3397,174
3402,174
3407,174
3412,174
3417,174
3422,174
3427,174
3432,174
3437,174
3442,174
3447,174
3452,174
3457,174
3462,174
3467,174
3472,174
3477,174
3482,174
3487,174
3492,174
3497,174
3502,174
3507,174
3512,174
3517,174
3522,174
3527,174
3532,174
3537,174
3542,174
3547,174
3552,174
3557,174
3562,174
3567,174
3572,174
3577,174
3582,174
3587,174
3592,174
3597,174
3602,174
3607,174
3612,174
3617,174
3622,174
3627,174
3632,174
3637,174
3642,174
3647,174
3652,174
3657,174
3662,174
3667,174
3672,174
3677,174
3682,174
3687,174
3692,174
3697,174
3702,174
3707,174
3712,174
3717,174
3722,174
3727,174
3732,174
3737,174
3742,174
3748,174
3753,174
3758,174
3763,174
3768,174
3773,174
3778,174
3783,174
3788,174
3793,174
3798,174
3803,174
3808,174
3813,174
3818,174
3823,174
3828,174
3833,174
3838,174
3843,174
3848,174
3853,174
3858,174
3863,174
3868,174
3873,174
3878,174
3883,174
3888,174
3893,174
3898,174
3903,174
3908,174
3913,174
3918,174
3923,174
3928,174
3933,174
3938,174
3943,174
3948,174
3953,174
3958,174
3963,174
3968,174
3973,174
3978,174
3983,174
3988,174
3993,174
3998,174
4003,174
4008,174
4013,174
4018,174
4023,174
4028,174
4033,174
4038,174
4043,174
4048,174
4053,174
4058,174
4063,174
4068,174
4073,174
4078,174
4083,174
4088,174
4093,174
4098,174
4103,174
4108,174
4113,174
4118,174
4123,174
4128,174
4133,174
4138,174
4143,174
4148,174
4153,174
4158,174
4163,174
4168,174
4173,174
4178,174
4183,174
4188,174
4193,174
4198,174
4203,174
4208,174
4213,174
4218,174
4223,174
4228,174
4233,174
4238,174
4243,174
4248,174
4253,174
4258,174
4263,174
4268,174
4273,174
4278,174
4283,174
4288,174
4293,174
4298,174
4303,174
4308,174
4313,174
4318,174
4323,174
4328,174
4333,174
4338,174
4343,174
4348,174
4353,174
4358,174
4363,174
4368,174
4373,174
4378,174
4383,174
4388,174
4393,174
4398,174
4403,174
4408,174
4413,174
4418,174
4423,174
4428,174
4433,174
4438,174
4443,174
4448,174
4453,174
4458,174
4463,174
4468,174
4473,174
4478,174
4483,174
4488,174
4493,174
4498,174
4503,174
4508,174
4513,174
4518,174
4523,174
4528,174
4533,174
4538,174
4543,174
4548,174
4553,174
4558,174
4563,174
4568,174
4573,174
4578,174
4583,174
4588,174
4593,174
4598,174
4603,174
4608,174
4613,174
4618,174
4623,174
4628,174
4633,174
4638,174
4643,174
4648,174
4653,174
4658,174
4663,174
4668,174
4673,174
4678,174
4683,174
4688,174
4693,174
4698,174
4703,174
4708,174
4713,174
4718,174
4723,174
4728,174
4733,174
4738,174
4743,174
4748,174
4753,174
4758,174
4763,174
4768,174
4773,174
4778,174
4783,174
4788,174
4793,174
4798,174
4803,174
4808,174
4813,174
4818,174
4823,174
4828,174
4833,174
4838,174
4843,174
4848,174
4853,174
4858,174
4863,174
4868,174
4873,174
4878,174
4883,174
4888,174
4893,174
4898,174
4903,174
4908,174
4913,174
4918,174
4923,174
4928,174
4933,174
4938,174
4943,174
4948,174
4953,174
4958,174
4963,174
4968,174
4973,174
4978,174
4983,174
4988,174
4993,174
4998,174
5003,174
5008,174
5013,174
5018,174
5023,174
5028,174
5033,174
5038,174
5043,174
5048,174
5053,174
5058,174
5063,174
5068,174
5073,174
5078,174
5083,174
5088,174
5093,174
5098,174
5103,174
5108,174
5113,174
5118,174
5123,174
5128,174
5133,174
5138,174
5143,174
5148,174
5153,174
5158,174
5163,174
5168,174
5173,174
5178,174
5183,174
5188,174
5193,174
5198,174
5203,174
5208,174
5213,174
5218,174
5223,174
5228,174
5233,174
5239,174
5244,174
5249,174
5254,174
5259,174
5264,174
5269,174
5274,174
5279,174
5284,174
5289,174
5294,174
5299,174
5304,174
5309,174
5314,174
5319,174
5324,174
5329,174
5334,174
5339,174
5344,174
5349,174
5354,174
5359,174
5364,174
5369,174
5374,174
5379,174
5384,174
5389,174
5394,174
5399,174
5404,174
5409,174
5414,174
5419,174
5424,174
5429,174
5434,174
5439,174
5444,174
5449,174
5454,174
5459,174
5464,174
5469,174
5474,174
5479,174
5484,174
5489,174
5494,174
5499,174
5504,174
5509,174
5514,174
5519,174
5524,174
5529,174
5534,174
5539,174
5544,174
5549,174
5554,174
5559,174
5564,174
5569,174
5574,174
5579,174
5584,174
5589,174
5594,174
5599,174
5604,174
5609,174
5614,174
5619,174
5624,174
5629,174
5634,174
5639,174
5644,174
5649,174
5654,174
5659,174
5664,174
5669,174
5674,174
5679,174
5684,174
5689,174
5694,174
5699,174
5704,174
5709,174
5714,174
5719,174
5724,174
5729,174
5734,174
5739,174
5744,174
5749,174
5754,174
5759,174
5764,174
5769,174
5774,174
5779,174
5784,174
5789,174
5794,174
5799,174
5804,174
5809,174
5814,174
5819,174
5824,174
5829,174
5834,174
5839,174
5844,174
5849,174
5854,174
5859,174
5864,174
5869,174
5874,174
5879,174
5884,174
5889,174
5894,174
5899,174
5904,174
5909,174
5914,174
5919,174
5924,174
5929,174
5934,174
5939,174
5944,174
5949,174
5954,174
5959,174
5964,174
5969,174
5974,174
5979,174
5984,174
5989,174
5994,174
5999,174
6004,174
6009,174
6014,174
6019,174
6024,174
6029,174
6034,174
6039,174
6044,174
6049,174
6054,174
6059,174
6064,174
6069,174
6074,174
6079,174
6084,174
6089,174
6094,174
6099,174
6104,174
6109,174
6114,174
6119,174
6124,174
6129,174
6134,174
6139,174
6144,174
6149,174
6154,174
6159,174
6164,174
6169,174
6174,174
6179,174
6184,174
6189,174
6194,174
6199,174
6204,174
6209,174
6214,174
6219,174
6224,174
