# time,value
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,8319
50,1979
55,1976
60,1976
65,1976
70,1976
75,1977
80,1976
85,842
90,88
95,105
100,103
105,104
110,107
115,98
120,105
125,104
130,104
135,97
140,4680
145,93
150,5850
155,5850
160,81
165,83
170,88
175,90
180,94
185,7020
190,7020
195,89
200,93
205,88
210,95
215,91
220,95
225,9360
230,9360
235,91
240,97
245,100
250,98
255,99
260,102
265,101
270,11700
275,11700
280,98
285,99
290,94
295,89
300,12870
305,12870
310,91
315,88
320,89
325,12870
330,12870
335,93
340,88
345,86
350,88
355,12870
360,12870
365,94
370,90
375,91
380,97
385,14040
390,14040
395,91
400,90
405,92
410,89
415,99
420,15210
425,15210
430,96
435,88
440,93
445,99
450,15210
455,15210
460,93
465,98
470,92
475,98
480,16380
485,16380
490,93
495,95
500,99
505,92
510,17550
515,17550
520,96
525,97
530,89
535,102
540,18720
545,18720
550,18720
555,101
560,94
565,93
570,18720
575,18720
580,93
585,97
590,98
595,101
600,101
605,19890
610,19890
615,99
620,96
625,100
630,19890
635,19890
640,100
645,102
650,99
655,100
660,19890
665,19890
670,99
675,95
680,86
685,19890
690,19890
695,98
700,101
705,100
710,101
715,101
720,21060
725,21060
730,102
735,96
740,21060
745,21060
750,21060
755,93
760,99
765,105
770,99
775,22230
780,22230
785,100
790,99
795,103
800,22230
805,22230
810,103
815,106
820,99
825,96
830,23400
835,23400
840,100
845,96
850,98
855,23400
860,23400
865,22230
870,98
875,22230
880,99
885,22230
890,22230
895,96
900,93
905,98
910,22230
915,22230
920,101
925,100
930,22230
935,102
940,22230
945,22230
950,22230
955,105
960,100
965,22230
970,22230
975,103
980,97
985,100
990,97
995,23400
1000,98
1005,23400
1010,23400
1015,96
1020,100
1025,23400
1030,23400
1035,97
1040,100
1045,22230
1050,107
1055,22230
1060,22230
1065,97
1070,98
1075,22230
1080,22230
1085,21060
1090,100
1095,96
1100,22230
1105,22230
1110,98
1115,103
1120,105
1125,22230
1130,22230
1135,100
1140,105
1145,96
1150,100
1155,22230
1160,22230
1165,100
1170,104
1176,102
1181,22230
1186,22230
1191,103
1196,102
1201,104
1206,22230
1211,22230
1216,102
1221,100
1226,22230
1231,103
1236,22230
1241,22230
1246,22230
1251,100
1256,21060
1261,21060
1266,104
1271,100
1276,97
1281,97
1286,22230
1291,96
1296,22230
1301,22230
1306,104
1311,21060
1316,21060
1321,101
1326,100
1331,105
1336,101
1341,22230
1346,99
1351,22230
1356,22230
1361,100
1366,21060
1371,21060
1376,100
1381,100
1386,100
1391,106
1396,102
1401,99
1406,23400
1411,23400
1416,100
1421,22230
1426,22230
1431,97
1436,101
1441,102
1446,97
1451,22230
1456,98
1461,22230
1466,22230
1471,98
1476,21060
1481,21060
1486,102
1491,97
1496,97
1501,101
1506,22230
1511,101
1516,22230
1521,22230
1526,99
1531,100
1536,22230
1541,22230
1546,22230
1551,104
1556,95
1561,100
1566,22230
1571,22230
1576,103
1581,93
1586,104
1591,22230
1596,22230
1601,106
1606,100
1611,22230
1616,98
1621,22230
1626,22230
1631,96
1636,92
1641,22230
1646,22230
1651,22230
1656,97
1661,103
1666,22230
1671,101
1676,22230
1681,22230
1686,96
1691,100
1696,104
1701,22230
1706,22230
1711,100
1716,89
1721,98
1726,22230
1731,97
1736,22230
1741,22230
1746,22230
1751,96
1756,21060
1761,21060
1766,99
1771,100
1776,103
1781,97
1786,97
1791,22230
1796,22230
1801,102
1806,97
1811,22230
1816,22230
1821,95
1826,97
1831,22230
1836,100
1841,22230
1846,22230
1851,22230
1856,103
1861,94
1866,22230
1871,22230
1876,99
1881,99
1886,101
1891,100
1896,23400
1901,23400
1906,101
1911,22230
1916,96
1921,22230
1926,22230
1931,91
1936,102
1941,22230
1946,101
1951,22230
1956,22230
1961,97
1966,107
1971,96
1976,22230
1981,22230
1986,104
1991,103
1996,22230
2001,105
2006,22230
2011,22230
2016,94
2021,94
2026,101
2031,22230
2036,22230
2041,21060
2046,102
2051,21060
2056,98
2061,21060
2066,21060
2071,108
2076,106
2081,21060
2086,21060
2091,139
2096,141
2101,130
2106,21060
2111,21060
2116,135
2121,126
2126,21060
2131,21060
2136,138
2141,129
2146,127
2151,21060
2156,21060
2161,136
2166,134
2171,21060
2176,21060
2181,127
2186,138
2191,136
2196,21060
2201,21060
2206,125
2211,134
2216,21060
2221,21060
2226,135
2231,146
2236,130
2241,21060
2246,21060
2251,21060
2256,135
2261,19890
2266,19890
2271,128
2276,133
2281,141
2286,21060
2291,21060
2297,135
2302,19890
2307,19890
2312,131
2317,133
2322,138
2327,126
2332,21060
2337,21060
2342,21060
2347,19890
2352,19890
2357,134
2362,130
2367,139
2372,128
2377,21060
2382,21060
2387,142
2392,19890
2397,19890
2402,129
2407,131
2412,133
2417,138
2422,21060
2427,21060
2432,134
2437,19890
2442,19890
2447,19890
2452,139
2457,139
2462,129
2467,19890
2472,19890
2477,128
2482,132
2487,19890
2492,19890
2497,131
2502,134
2507,139
2512,19890
2517,19890
2522,132
2527,130
2532,19890
2537,19890
2542,19890
2547,135
2552,128
2557,19890
2562,19890
2567,137
2572,132
2577,130
2582,19890
2587,19890
2592,143
2597,132
2602,19890
2607,19890
2612,131
2617,136
2622,139
2627,19890
2632,19890
2637,130
2642,136
2647,18720
2652,18720
2657,132
2662,128
2667,139
2672,18720
2677,18720
2682,134
2687,135
2692,18720
2697,18720
2702,136
2707,135
2712,136
2717,18720
2722,18720
2727,132
2732,128
2737,18720
2742,18720
2747,18720
2752,135
2757,127
2762,18720
2767,18720
2772,130
2777,131
2782,133
2787,18720
2792,18720
2797,134
2802,123
2807,18720
2812,18720
2817,136
2822,129
2827,136
2832,18720
2837,18720
2842,18720
2847,124
2852,17550
2857,17550
2862,132
2867,125
2872,130
2877,139
2882,18720
2887,18720
2892,135
2897,17550
2902,17550
2907,126
2912,133
2917,130
2922,137
2927,18720
2932,18720
2937,132
2942,17550
2947,17550
2952,132
2957,132
2962,134
2967,131
2972,18720
2977,18720
2982,125
2987,17550
2992,17550
2997,134
3002,132
3007,140
3012,141
3017,18720
3022,18720
3027,126
3032,17550
3037,17550
3042,17550
3047,132
3052,124
3057,131
3062,17550
3067,17550
3072,130
3077,133
3082,17550
3087,17550
3092,133
3097,125
3102,129
3107,17550
3112,17550
3117,127
3122,136
3127,17550
3132,17550
3137,140
3142,124
3147,131
3152,17550
3157,17550
3162,126
3167,131
3172,17550
3177,17550
3182,136
3187,130
3192,136
3197,17550
3202,17550
3207,128
3212,133
3217,17550
3222,17550
3227,132
3232,133
3237,130
3242,17550
3247,17550
3252,136
3257,133
3262,17550
3267,17550
3272,135
3277,133
3282,135
3287,17550
3292,17550
3297,129
3302,135
3307,17550
3312,17550
3317,136
3322,129
3327,133
3332,17550
3337,17550
3342,17550
3347,129
3352,16380
3357,16380
3362,127
3367,126
3372,129
3377,129
3382,17550
3387,17550
3392,131
3397,16380
3402,16380
3407,130
3412,130
3417,129
3422,131
3427,17550
3432,17550
3437,131
3442,136
3447,16380
3452,16380
3457,129
3462,133
3467,126
3472,16380
3477,16380
3482,125
3487,130
3492,16380
3497,16380
3502,127
3507,128
3512,129
3517,16380
3522,16380
3527,119
3532,135
3537,16380
3542,16380
3547,16380
3552,131
3557,132
3562,16380
3567,16380
3572,124
3577,134
3582,128
3587,16380
3592,16380
3597,133
3602,125
3607,16380
3612,16380
3617,122
3622,130
3627,133
3632,16380
3637,16380
3642,16380
3647,126
3652,15210
3657,15210
3662,126
3667,137
3672,131
3677,138
3682,16380
3687,16380
3692,129
3697,132
3702,16380
3707,16380
3712,130
3717,128
3722,135
3727,131
3732,17550
3737,17550
3742,17550
3748,16380
3753,16380
3758,136
3763,126
3768,133
3773,133
3778,123
3783,17550
3788,17550
3793,16380
3798,16380
3803,130
3808,132
3813,131
3818,133
3823,131
3828,17550
3833,17550
3838,16380
3843,16380
3848,16380
3853,129
3858,130
3863,134
3868,132
3873,17550
3878,17550
3883,138
3888,16380
3893,16380
3898,135
3903,131
3908,129
3913,131
3918,17550
3923,17550
3928,132
3933,138
3938,17550
3943,17550
3948,17550
3953,135
3958,128
3963,17550
3968,17550
3973,135
3978,132
3983,130
3988,17550
3993,17550
3998,133
4003,128
4008,17550
4013,17550
4018,135
4023,133
4028,132
4033,17550
4038,17550
4043,17550
4048,134
4053,16380
4058,16380
4063,131
4068,134
4073,133
4078,134
4083,17550
4088,17550
4093,131
4098,16380
4103,16380
4108,132
4113,139
4118,128
4123,135
4128,17550
4133,17550
4138,130
4143,16380
4148,16380
4153,132
4158,132
4163,124
4168,131
4173,17550
4178,17550
4183,124
4188,16380
4193,16380
4198,128
4203,130
4208,130
4213,133
4218,17550
4223,17550
4228,129
4233,16380
4238,16380
4243,16380
4248,132
4253,122
4258,133
4263,16380
4268,16380
4273,125
4278,128
4283,133
4288,16380
4293,16380
4298,135
4303,130
4308,136
4313,16380
4318,16380
4323,132
4328,135
4333,16380
4338,16380
4343,16380
4348,133
4353,132
4358,16380
4363,16380
4368,127
4373,133
4378,129
4383,16380
4388,16380
4393,122
4398,129
4403,16380
4408,16380
4413,126
4418,127
4423,119
4428,16380
4433,16380
4438,134
4443,133
4448,15210
4453,15210
4458,132
4463,120
4468,127
4473,15210
4478,15210
4483,127
4488,121
4493,15210
4498,15210
4503,123
4508,126
4513,127
4518,15210
4523,15210
4528,131
4533,132
4538,15210
4543,15210
4548,15210
4553,132
4558,131
4563,15210
4568,15210
4573,132
4578,132
4583,120
4588,15210
4593,15210
4598,137
4603,132
4608,15210
4613,15210
4618,132
4623,131
4628,132
4633,15210
4638,15210
4643,15210
4648,119
4653,14040
4658,14040
4663,130
4668,133
4673,123
4678,120
4683,15210
4688,15210
4693,122
4698,139
4703,15210
4708,15210
4713,130
4718,126
4723,133
4728,15210
4733,15210
4738,128
4743,129
4748,14040
4753,14040
4758,124
4763,122
4768,125
4773,14040
4778,14040
4783,124
4788,125
4793,131
4798,14040
4803,14040
4808,124
4813,129
4818,135
4823,14040
4828,14040
4833,124
4838,135
4843,12870
4848,12870
4853,127
4858,129
4863,119
4868,12870
4873,12870
4878,130
4883,127
4888,130
4893,12870
4898,12870
4903,127
4908,124
4913,138
4918,12870
4923,12870
4928,130
4933,124
4938,137
4943,12870
4948,12870
4953,124
4958,125
4963,12870
4968,12870
4973,119
4978,124
4983,132
4988,124
4993,14040
4998,14040
5003,118
5008,132
5013,14040
5018,14040
5023,127
5028,127
5033,130
5038,135
5043,14040
5048,14040
5053,126
5058,129
5063,14040
5068,14040
5073,130
5078,129
5083,133
5088,140
5093,15210
5098,15210
5103,127
5108,136
5113,15210
5118,15210
5123,120
5128,132
5133,134
5138,134
5143,15210
5148,15210
5153,134
5158,14040
5163,14040
5168,120
5173,127
5178,131
5183,121
5188,15210
5193,15210
5198,122
5203,120
5208,15210
5213,15210
5218,125
5223,130
5228,128
5233,137
5239,16380
5244,16380
5249,16380
5254,15210
5259,15210
5264,125
5269,125
5274,119
5279,136
5284,134
5289,16380
5294,16380
5299,135
5304,15210
5309,15210
5314,130
5319,121
5324,136
5329,128
5334,16380
5339,16380
5344,16380
5349,15210
5354,15210
5359,135
5364,130
5369,131
5374,130
5379,135
5384,16380
5389,16380
5394,15210
5399,15210
5404,135
5409,128
5414,133
5419,124
5424,131
5429,16380
5434,16380
5439,15210
5444,15210
5449,15210
5454,134
5459,132
5464,134
5469,131
5474,16380
5479,16380
5484,130
5489,15210
5494,15210
5499,129
5504,135
5509,125
5514,132
5519,16380
5524,16380
5529,129
5534,15210
5539,15210
5544,15210
5549,129
5554,126
5559,126
5564,15210
5569,15210
5574,132
5579,127
5584,15210
5589,15210
5594,128
5599,124
5604,126
5609,15210
5614,15210
5619,128
5624,123
5629,15210
5634,15210
5639,128
5644,127
5649,126
5654,15210
5659,15210
5664,126
5669,125
5674,15210
5679,15210
5684,120
5689,132
5694,133
5699,15210
5704,15210
5709,130
5714,132
