# time,value
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,8319
50,1977
55,1976
60,1976
65,1976
70,1976
75,1976
80,1976
85,1976
90,1976
95,1976
100,1976
105,1976
110,1976
115,1976
120,1975
125,1976
130,1974
135,1972
140,2292
145,376
150,96
155,99
160,101
165,103
170,106
175,108
180,9168
185,9168
190,79
195,80
200,90
205,93
210,11460
215,11460
220,86
225,85
230,89
235,87
240,95
245,13752
250,13752
255,92
260,95
265,95
270,92
275,99
280,96
285,18336
290,18336
295,86
300,94
305,94
310,96
315,95
320,92
325,95
330,98
335,25212
340,25212
345,25212
350,93
355,22920
360,102
365,22920
370,22920
375,89
380,86
385,90
390,22920
395,99
400,22920
405,96
410,22920
415,100
420,22920
425,22920
430,101
435,92
440,98
445,22920
450,94
455,99
460,98
465,25212
470,25212
475,95
480,99
485,25212
490,98
495,25212
500,25212
505,87
510,93
515,94
520,92
525,27504
530,27504
535,98
540,95
545,93
550,97
555,102
560,29796
565,29796
570,96
575,96
580,91
585,29796
590,29796
595,98
600,95
605,89
610,95
615,98
620,32088
625,32088
630,97
635,104
640,97
645,32088
650,32088
655,97
660,99
665,97
670,98
675,94
680,34380
685,34380
690,92
695,97
700,98
705,34380
710,34380
715,98
720,93
725,93
730,101
735,95
740,36672
745,36672
750,36672
755,92
760,99
765,36672
770,36672
775,103
780,99
785,97
790,99
795,100
800,96
805,41256
810,41256
815,105
820,98
825,41256
830,41256
835,97
840,98
845,38964
850,96
855,98
860,41256
865,41256
870,98
875,101
880,41256
885,41256
890,101
895,95
900,92
905,98
910,97
915,101
920,45840
925,45840
930,106
935,103
940,45840
945,45840
950,45840
955,106
960,99
965,45840
970,98
975,45840
980,45840
985,100
990,96
995,45840
1000,45840
1005,95
1010,103
1015,45840
1020,45840
1025,96
1030,97
1035,45840
1040,100
1045,45840
1050,102
1055,96
1060,45840
1065,96
1070,45840
1075,45840
1080,98
1085,101
1090,45840
1095,45840
1100,43548
1105,103
1110,43548
1115,101
1120,43548
1125,43548
1130,100
1135,100
1140,106
1145,43548
1150,43548
1155,41256
1160,98
1165,41256
1170,103
1176,41256
1181,41256
1186,106
1191,101
1196,102
1201,41256
1206,41256
1211,103
1216,103
1221,99
1226,101
1231,43548
1236,43548
1241,96
1246,105
1251,99
1256,43548
1261,43548
1266,104
1271,100
1276,97
1281,99
1286,45840
1291,45840
1296,43548
1301,92
1306,104
1311,45840
1316,45840
1321,102
1326,43548
1331,103
1336,43548
1341,43548
1346,43548
1351,97
1356,97
1361,99
1366,43548
1371,43548
1376,101
1381,41256
1386,100
1391,104
1396,43548
1401,43548
1406,97
1411,95
1416,99
1421,43548
1426,43548
1431,97
1436,41256
1441,101
1446,96
1451,41256
1456,41256
1461,97
1466,102
1471,99
1476,41256
1481,41256
1486,102
1491,98
1496,96
1501,101
1506,43548
1511,43548
1516,100
1521,41256
1526,98
1531,99
1536,43548
1541,43548
1546,43548
1551,104
1556,94
1561,43548
1566,43548
1571,41256
1576,101
1581,94
1586,104
1591,102
1596,45840
1601,45840
1606,98
1611,102
1616,45840
1621,45840
1626,43548
1631,97
1636,91
1641,94
1646,45840
1651,100
1656,45840
1661,45840
1666,99
1671,43548
1676,43548
1681,96
1686,95
1691,100
1696,104
1701,45840
1706,94
1711,45840
1716,45840
1721,98
1726,100
1731,45840
1736,45840
1741,103
1746,43548
1751,96
1756,43548
1761,43548
1766,95
1771,100
1776,43548
1781,97
1786,43548
1791,43548
1796,101
1801,41256
1806,95
1811,41256
1816,41256
1821,94
1826,38964
1831,96
1836,99
1841,41256
1846,41256
1851,41256
1856,102
1861,93
1866,41256
1871,41256
1876,97
1881,97
1886,41256
1891,99
1896,41256
1901,97
1906,41256
1911,41256
1916,96
1921,88
1926,41256
1931,41256
1936,100
1941,99
1946,38964
1951,102
1956,100
1961,96
1966,41256
1971,41256
1976,104
1981,38964
1986,38964
1991,102
1996,100
2001,103
2006,103
2011,104
2016,94
2021,43548
2026,43548
2031,100
2036,102
2041,43548
2046,43548
2051,43548
2056,97
2061,100
2066,101
2071,111
2076,45840
2081,45840
2086,43548
2091,141
2096,43548
2101,43548
2106,135
2111,136
2116,43548
2121,43548
2126,131
2131,135
2136,139
2141,43548
2146,43548
2151,43548
2156,132
2161,41256
2166,41256
2171,137
2176,137
2181,127
2186,41256
2191,41256
2196,134
2201,140
2206,41256
2211,41256
2216,133
2221,132
2226,135
2231,41256
2236,41256
2241,134
2246,135
2251,38964
2256,38964
2261,137
2266,137
2271,38964
2276,38964
2281,137
2286,132
2291,38964
2297,38964
2302,134
2307,131
2312,38964
2317,38964
2322,138
2327,124
2332,136
2337,38964
2342,38964
2347,38964
2352,138
2357,36672
2362,36672
2367,138
2372,126
2377,137
2382,134
2387,38964
2392,38964
2397,135
2402,36672
2407,36672
2412,131
2417,134
2422,137
2427,128
2432,38964
2437,38964
2442,38964
2447,36672
2452,36672
2457,138
2462,125
2467,132
2472,135
2477,129
2482,38964
2487,38964
2492,36672
2497,36672
2502,133
2507,136
2512,132
2517,127
2522,133
2527,38964
2532,38964
2537,36672
2542,36672
2547,36672
2552,128
2557,139
2562,136
2567,138
2572,38964
2577,38964
2582,128
2587,36672
2592,36672
2597,130
2602,130
2607,135
2612,131
2617,38964
2622,38964
2627,133
2632,36672
2637,36672
2642,36672
2647,132
2652,135
2657,137
2662,36672
2667,36672
2672,134
2677,134
2682,36672
2687,36672
2692,130
2697,135
2702,137
2707,36672
2712,36672
2717,134
2722,131
2727,36672
2732,36672
2737,134
2742,128
2747,138
2752,36672
2757,36672
2762,135
2767,132
2772,36672
2777,36672
2782,132
2787,131
2792,137
2797,36672
2802,36672
2807,135
2812,137
2817,36672
2822,36672
2827,135
2832,134
2837,132
2842,36672
2847,36672
2852,140
2857,130
2862,36672
2867,36672
2872,131
2877,138
2882,129
2887,36672
2892,36672
2897,132
2902,133
2907,36672
2912,36672
2917,130
2922,136
2927,133
2932,36672
2937,36672
2942,36672
2947,130
2952,34380
2957,34380
2962,132
2967,130
2972,133
2977,130
2982,36672
2987,36672
2992,134
2997,34380
3002,34380
3007,138
3012,138
3017,133
3022,139
3027,36672
3032,36672
3037,120
3042,34380
3047,34380
3052,124
3057,129
3062,131
3067,135
3072,36672
3077,36672
3082,129
3087,34380
3092,34380
3097,125
3102,128
3107,124
3112,134
3117,36672
3122,36672
3127,136
3132,34380
3137,34380
3142,34380
3147,130
3152,129
3157,34380
3162,34380
3167,130
3172,131
3177,128
3182,34380
3187,34380
3192,135
3197,129
3202,34380
3207,34380
3212,133
3217,132
3222,125
3227,34380
3232,34380
3237,127
3242,133
3247,32088
3252,32088
3257,131
3262,129
3267,130
3272,32088
3277,32088
3282,131
3287,132
3292,32088
3297,32088
3302,133
3307,126
3312,132
3317,32088
3322,32088
3327,131
3332,130
3337,32088
3342,32088
3347,32088
3352,132
3357,134
3362,32088
3367,32088
3372,127
3377,127
3382,132
3387,32088
3392,32088
3397,130
3402,123
3407,137
3412,32088
3417,32088
3422,129
3427,130
3432,32088
3437,32088
3442,32088
3447,127
3452,130
3457,32088
3462,32088
3467,123
3472,134
3477,132
3482,131
3487,34380
3492,34380
3497,134
3502,133
3507,34380
3512,34380
3517,134
3522,136
3527,121
3532,34380
3537,34380
3542,34380
3547,127
3552,32088
3557,32088
3562,133
3567,130
3572,124
3577,135
3582,34380
3587,34380
3592,128
3597,32088
3602,32088
3607,127
3612,133
3617,124
3622,132
3627,34380
3632,34380
3637,133
3642,32088
3647,32088
3652,130
3657,136
3662,129
3667,141
3672,34380
3677,34380
3682,123
3687,32088
3692,32088
3697,128
3702,134
3707,130
3712,132
3717,34380
3722,34380
3727,125
3732,32088
3737,32088
3742,32088
3748,138
3753,125
3758,138
3763,32088
3768,32088
3773,133
3778,121
3783,32088
3788,32088
3793,135
3798,135
3803,130
3808,32088
3813,32088
3818,131
3823,129
3828,32088
3833,32088
3838,138
3843,131
3848,136
3853,32088
3858,32088
3863,131
3868,131
3873,32088
3878,32088
3883,136
3888,122
3893,134
3898,32088
3903,32088
3908,126
3913,129
3918,32088
3923,32088
3928,130
3933,133
3938,129
3943,32088
3948,32088
3953,133
3958,127
3963,32088
3968,32088
3973,132
3978,131
3983,128
3988,32088
3993,32088
3998,132
4003,126
4008,32088
4013,32088
4018,134
4023,131
4028,130
4033,32088
4038,32088
4043,32088
4048,133
4053,29796
4058,29796
4063,130
4068,132
4073,130
4078,134
4083,32088
4088,32088
4093,128
4098,29796
4103,29796
4108,130
4113,137
4118,127
4123,134
4128,32088
4133,32088
4138,128
4143,29796
4148,29796
4153,130
4158,131
4163,122
4168,132
4173,32088
4178,32088
4183,122
4188,137
4193,32088
4198,32088
4203,130
4208,128
4213,132
4218,32088
4223,32088
4228,125
4233,128
4238,32088
4243,32088
4248,32088
4253,122
4258,131
4263,32088
4268,32088
4273,123
4278,127
4283,129
4288,130
4293,34380
4298,34380
4303,130
4308,136
4313,34380
4318,34380
4323,131
4328,138
4333,121
4338,34380
4343,34380
4348,34380
4353,133
4358,32088
4363,32088
4368,128
4373,132
4378,128
4383,136
4388,34380
4393,34380
4398,131
4403,32088
4408,32088
4413,125
4418,129
4423,118
4428,124
4433,34380
4438,34380
4443,34380
4448,133
4453,32088
4458,32088
4463,120
4468,126
4473,134
4478,135
4483,34380
4488,34380
4493,126
4498,133
4503,34380
4508,34380
4513,128
4518,137
4523,137
4528,34380
4533,34380
4538,131
4543,132
4548,32088
4553,32088
4558,132
4563,131
4568,129
4573,32088
4578,32088
4583,119
4588,130
4593,32088
4598,32088
4603,134
4608,128
4613,138
4618,32088
4623,32088
4628,132
4633,131
4638,32088
4643,32088
4648,32088
4653,133
4658,132
4663,32088
4668,32088
4673,125
4678,122
4683,126
4688,32088
4693,32088
4698,135
4703,131
4708,32088
4713,32088
4718,127
4723,133
4728,130
4733,32088
4738,32088
4743,32088
4748,129
4753,29796
4758,29796
4763,124
4768,124
4773,127
4778,132
4783,32088
4788,32088
4793,126
4798,139
4803,32088
4808,32088
4813,131
4818,128
4823,131
4828,32088
4833,32088
4838,137
4843,131
4848,29796
4853,29796
4858,133
4863,119
4868,136
4873,29796
4878,29796
4883,131
4888,124
4893,29796
4898,29796
4903,130
4908,127
4913,133
4918,29796
4923,29796
4928,133
4933,128
4938,29796
4943,29796
4948,29796
4953,126
4958,129
4963,29796
4968,29796
4973,120
4978,128
4983,135
4988,29796
4993,29796
4998,137
5003,120
5008,29796
5013,29796
5018,130
5023,128
5028,130
5033,139
5038,32088
5043,32088
5048,32088
5053,29796
5058,29796
5063,125
5068,125
5073,132
5078,132
5083,135
5088,32088
5093,32088
5098,139
5103,29796
5108,29796
5113,130
5118,127
5123,122
5128,134
5133,32088
5138,32088
5143,32088
5148,29796
5153,29796
5158,125
5163,128
5168,123
5173,131
5178,134
5183,32088
5188,32088
5193,130
5198,29796
5203,29796
5208,133
5213,133
5218,126
5223,133
5228,32088
5233,32088
5239,133
5244,29796
5249,29796
5254,134
5259,132
5264,127
5269,127
5274,32088
5279,32088
5284,133
5289,134
5294,32088
5299,32088
5304,129
5309,131
5314,132
5319,32088
5324,32088
5329,129
5334,129
5339,32088
5344,32088
5349,32088
5354,130
5359,135
5364,32088
5369,32088
5374,130
5379,133
5384,133
5389,32088
5394,32088
5399,125
5404,136
5409,32088
5414,32088
5419,125
5424,128
5429,135
5434,32088
5439,32088
5444,32088
5449,128
5454,29796
5459,29796
5464,131
5469,128
5474,136
5479,134
5484,32088
5489,32088
5494,131
5499,29796
5504,29796
5509,122
5514,130
5519,127
5524,133
5529,32088
5534,32088
5539,135
5544,29796
5549,29796
5554,126
5559,122
5564,129
5569,130
5574,32088
5579,32088
5584,131
5589,29796
5594,29796
5599,124
5604,125
5609,132
5614,130
5619,32088
5624,32088
5629,134
5634,29796
5639,29796
5644,29796
5649,124
5654,134
5659,133
5664,29796
5669,29796
5674,136
5679,133
5684,29796
5689,29796
5694,131
5699,132
5704,131
