# time,value
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,198
50,56
55,93
60,91
65,100
70,103
75,103
80,101
85,101
90,88
95,105
100,103
105,104
110,107
115,98
120,105
125,104
130,104
135,97
140,102
145,102
150,102
155,102
160,102
165,102
170,102
175,204
180,204
185,204
190,204
195,204
200,204
205,204
210,204
215,204
220,204
225,204
230,204
235,204
240,208
245,208
250,208
255,208
260,208
265,208
270,208
275,208
280,208
285,208
290,208
295,208
300,104
305,104
310,208
315,208
320,208
325,208
330,208
335,208
340,214
345,214
350,214
355,107
360,107
365,214
370,214
375,214
380,214
385,214
390,214
395,214
400,214
405,214
410,107
415,107
420,107
425,107
430,107
435,107
440,107
445,107
450,107
455,107
460,107
465,214
470,214
475,214
480,214
485,214
490,214
495,107
500,107
505,214
510,214
515,214
520,214
525,214
530,214
535,214
540,218
545,218
550,218
555,218
560,218
565,218
570,109
575,109
580,218
585,218
590,218
595,218
600,218
605,218
610,218
615,218
620,218
625,218
630,218
635,218
640,220
645,220
650,220
655,220
660,220
665,220
670,220
675,220
680,220
685,110
690,110
695,110
700,110
705,220
710,220
715,220
720,220
725,220
730,110
735,110
740,110
745,110
750,110
755,110
760,110
765,110
770,220
775,220
780,220
785,220
790,220
795,220
800,220
805,220
810,220
815,220
820,220
825,220
830,110
835,110
840,111
845,111
850,111
855,111
860,111
865,111
870,222
875,222
880,222
885,222
890,111
895,111
900,111
905,111
910,111
915,111
920,111
925,222
930,222
935,222
940,222
945,222
950,222
955,222
960,222
965,222
970,222
975,222
980,222
985,222
990,111
995,111
1000,111
1005,111
1010,111
1015,111
1020,111
1025,111
1030,111
1035,111
1040,111
1045,111
1050,111
1055,111
1060,111
1065,111
1070,111
1075,111
1080,111
1085,111
1090,111
1095,111
1100,111
1105,111
1110,111
1115,222
1120,222
1125,222
1130,222
1135,111
1140,111
1145,111
1150,111
1155,111
1160,111
1165,111
1170,111
1176,111
1181,111
1186,111
1191,111
1196,222
1201,222
1206,222
1211,222
1216,222
1221,222
1226,222
1231,222
1236,222
1241,222
1246,222
1251,222
1256,222
1261,222
1266,222
1271,222
1276,222
1281,222
1286,111
1291,111
1296,111
1301,111
1306,111
1311,111
1316,111
1321,111
1326,111
1331,222
1336,222
1341,222
1346,222
1351,222
1356,111
1361,111
1366,111
1371,111
1376,222
1381,222
1386,222
1391,222
1396,222
1401,222
1406,222
1411,111
1416,111
1421,111
1426,111
1431,111
1436,111
1441,111
1446,111
1451,111
1456,111
1461,111
1466,111
1471,111
1476,111
1481,111
1486,111
1491,111
1496,111
1501,111
1506,111
1511,111
1516,111
1521,111
1526,111
1531,111
1536,111
1541,111
1546,111
1551,111
1556,111
1561,111
1566,111
1571,111
1576,111
1581,222
1586,222
1591,222
1596,222
1601,222
1606,222
1611,222
1616,111
1621,111
1626,111
1631,222
1636,222
1641,111
1646,111
1651,111
1656,111
1661,111
1666,111
1671,111
1676,111
1681,111
1686,111
1691,111
1696,111
1701,111
1706,222
1711,222
1716,111
1721,111
1726,111
1731,111
1736,111
1741,111
1746,111
1751,111
1756,111
1761,111
1766,111
1771,111
1776,111
1781,111
1786,111
1791,111
1796,111
1801,111
1806,222
1811,222
1816,222
1821,222
1826,222
1831,111
1836,111
1841,111
1846,111
1851,111
1856,111
1861,222
1866,222
1871,111
1876,111
1881,111
1886,111
1891,111
1896,111
1901,111
1906,111
1911,111
1916,111
1921,111
1926,111
1931,111
1936,111
1941,111
1946,111
1951,111
1956,111
1961,111
1966,111
1971,111
1976,111
1981,111
1986,222
1991,222
1996,222
2001,222
2006,222
2011,222
2016,222
2021,222
2026,111
2031,111
2036,111
2041,112
2046,112
2051,112
2056,112
2061,112
2066,112
2071,112
2076,224
2081,224
2086,224
2091,224
2096,224
2101,224
2106,224
2111,224
2116,224
2121,224
2126,224
2131,224
2136,224
2141,272
2146,272
2151,272
2156,272
2161,272
2166,272
2171,272
2176,272
2181,272
2186,272
2191,272
2196,272
2201,272
2206,272
2211,272
2216,272
2221,272
2226,272
2231,272
2236,272
2241,296
2246,296
2251,296
2256,296
2261,296
2266,296
2271,296
2276,296
2281,296
2286,296
2291,296
2297,148
2302,148
2307,296
2312,296
2317,148
2322,148
2327,296
2332,296
2337,296
2342,296
2347,296
2352,296
2357,296
2362,296
2367,296
2372,296
2377,296
2382,296
2387,296
2392,296
2397,296
2402,296
2407,296
2412,148
2417,148
2422,148
2427,296
2432,296
2437,296
2442,296
2447,296
2452,296
2457,296
2462,296
2467,296
2472,148
2477,148
2482,148
2487,148
2492,148
2497,296
2502,296
2507,296
2512,296
2517,296
2522,148
2527,148
2532,148
2537,148
2542,148
2547,296
2552,296
2557,296
2562,296
2567,296
2572,296
2577,296
2582,296
2587,148
2592,148
2597,148
2602,148
2607,148
2612,296
2617,296
2622,296
2627,296
2632,296
2637,296
2642,296
2647,148
2652,148
2657,296
2662,296
2667,296
2672,296
2677,296
2682,296
2687,296
2692,296
2697,296
2702,296
2707,296
2712,296
2717,296
2722,296
2727,296
2732,296
2737,298
2742,298
2747,149
2752,149
2757,298
2762,298
2767,298
2772,298
2777,149
2782,149
2787,149
2792,149
2797,149
2802,298
2807,298
2812,298
2817,298
2822,298
2827,298
2832,298
2837,298
2842,298
2847,298
2852,149
2857,149
2862,149
2867,149
2872,149
2877,149
2882,149
2887,149
2892,149
2897,298
2902,298
2907,298
2912,298
2917,298
2922,298
2927,298
2932,298
2937,298
2942,298
2947,298
2952,298
2957,298
2962,298
2967,298
2972,298
2977,298
2982,298
2987,149
2992,149
2997,149
3002,298
3007,298
3012,298
3017,298
3022,298
3027,298
3032,298
3037,298
3042,298
3047,298
3052,298
3057,298
3062,149
3067,149
3072,149
3077,149
3082,149
3087,149
3092,149
3097,298
3102,298
3107,149
3112,149
3117,149
3122,149
3127,149
3132,298
3137,298
3142,298
3147,298
3152,298
3157,298
3162,298
3167,298
3172,149
3177,149
3182,149
3187,149
3192,149
3197,149
3202,149
3207,149
3212,149
3217,149
3222,298
3227,298
3232,149
3237,149
3242,149
3247,298
3252,298
3257,298
3262,298
3267,298
3272,298
3277,298
3282,298
3287,298
3292,298
3297,149
3302,149
3307,149
3312,149
3317,149
3322,149
3327,149
3332,149
3337,298
3342,298
3347,298
3352,149
3357,149
3362,298
3367,298
3372,149
3377,149
3382,149
3387,149
3392,149
3397,149
3402,298
3407,298
3412,298
3417,298
3422,298
3427,149
3432,149
3437,149
3442,149
3447,149
3452,149
3457,149
3462,149
3467,149
3472,149
3477,149
3482,298
3487,298
3492,298
3497,298
3502,298
3507,298
3512,149
3517,149
3522,149
3527,298
3532,298
3537,298
3542,298
3547,298
3552,298
3557,298
3562,298
3567,298
3572,298
3577,298
3582,298
3587,298
3592,298
3597,298
3602,298
3607,298
3612,149
3617,149
3622,149
3627,149
3632,298
3637,298
3642,298
3647,298
3652,298
3657,149
3662,149
3667,149
3672,149
3677,298
3682,298
3687,298
3692,149
3697,149
3702,149
3707,149
3712,149
3717,149
3722,149
3727,149
3732,149
3737,149
3742,149
3748,149
3753,298
3758,298
3763,298
3768,298
3773,298
3778,298
3783,298
3788,298
3793,298
3798,298
3803,298
3808,298
3813,298
3818,298
3823,298
3828,298
3833,298
3838,298
3843,298
3848,298
3853,298
3858,298
3863,298
3868,298
3873,298
3878,149
3883,149
3888,298
3893,298
3898,298
3903,298
3908,298
3913,298
3918,149
3923,149
3928,149
3933,149
3938,298
3943,298
3948,298
3953,298
3958,298
3963,298
3968,298
3973,298
3978,298
3983,298
3988,298
3993,298
3998,298
4003,298
4008,298
4013,298
4018,298
4023,298
4028,298
4033,298
4038,298
4043,298
4048,298
4053,298
4058,298
4063,298
4068,298
4073,298
4078,298
4083,298
4088,298
4093,298
4098,298
4103,298
4108,298
4113,298
4118,298
4123,298
4128,298
4133,298
4138,298
4143,298
4148,298
4153,298
4158,298
4163,298
4168,298
4173,298
4178,298
4183,298
4188,298
4193,298
4198,298
4203,149
4208,149
4213,149
4218,149
4223,149
4228,149
4233,149
4238,149
4243,149
4248,149
4253,298
4258,298
4263,298
4268,298
4273,298
4278,149
4283,149
4288,149
4293,149
4298,149
4303,298
4308,298
4313,298
4318,298
4323,298
4328,298
4333,298
4338,298
4343,298
4348,149
4353,149
4358,298
4363,298
4368,298
4373,149
4378,149
4383,149
4388,149
4393,298
4398,298
4403,149
4408,149
4413,298
4418,298
4423,149
4428,149
4433,149
4438,149
4443,149
4448,149
4453,149
4458,149
4463,298
4468,298
4473,149
4478,149
4483,298
4488,298
4493,149
4498,149
4503,149
4508,149
4513,149
4518,149
4523,149
4528,298
4533,298
4538,298
4543,298
4548,298
4553,298
4558,298
4563,298
4568,298
4573,298
4578,298
4583,298
4588,298
4593,149
4598,149
4603,149
4608,298
4613,298
4618,298
4623,298
4628,298
4633,298
4638,300
4643,300
4648,300
4653,150
4658,150
4663,300
4668,300
4673,300
4678,300
4683,150
4688,150
4693,150
4698,150
4703,150
4708,300
4713,300
4718,300
4723,300
4728,300
4733,300
4738,300
4743,300
4748,300
4753,150
4758,150
4763,150
4768,150
4773,150
4778,150
4783,150
4788,150
4793,150
4798,150
4803,150
4808,300
4813,300
4818,300
4823,300
4828,150
4833,150
4838,150
4843,150
4848,150
4853,150
4858,150
4863,150
4868,150
4873,150
4878,150
4883,150
4888,300
4893,300
4898,150
4903,150
4908,300
4913,300
4918,300
4923,300
4928,300
4933,300
4938,300
4943,300
4948,150
4953,150
4958,150
4963,150
4968,150
4973,150
4978,150
4983,150
4988,150
4993,150
4998,150
5003,300
5008,300
5013,300
5018,300
5023,300
5028,300
5033,150
5038,150
5043,150
5048,150
5053,150
5058,150
5063,150
5068,150
5073,150
5078,150
5083,300
5088,300
5093,300
5098,300
5103,300
5108,300
5113,300
5118,300
5123,300
5128,150
5133,150
5138,300
5143,300
5148,300
5153,150
5158,150
5163,150
5168,150
5173,150
5178,150
5183,300
5188,300
5193,150
5198,150
5203,150
5208,150
5213,150
5218,300
5223,300
5228,300
5233,300
5239,300
5244,300
5249,300
5254,150
5259,150
5264,300
5269,300
5274,150
5279,150
5284,150
5289,300
5294,300
5299,150
5304,150
5309,150
5314,150
5319,300
5324,300
5329,300
5334,300
5339,150
5344,150
5349,150
5354,150
5359,150
5364,150
5369,300
5374,300
5379,150
5384,150
5389,300
5394,300
5399,300
5404,300
5409,300
5414,300
5419,300
5424,300
5429,150
5434,150
5439,300
5444,300
5449,300
5454,300
5459,300
5464,300
5469,300
5474,300
5479,300
5484,300
5489,300
5494,150
5499,150
5504,150
5509,150
5514,150
5519,150
5524,150
5529,150
5534,150
5539,150
5544,150
5549,300
5554,300
5559,150
5564,150
5569,150
5574,150
5579,300
5584,300
5589,150
5594,150
5599,150
5604,150
5609,150
5614,150
5619,150
5624,150
5629,150
5634,150
5639,300
5644,300
5649,300
5654,150
5659,150
5664,300
5669,300
5674,150
5679,150
5684,300
5689,300
5694,300
5699,300
5704,300
5709,300
5714,300
5719,300
5724,300
5729,150
5734,150
5739,300
5744,300
5749,300
5754,300
5759,300
5764,300
5769,300
5774,300
5779,300
5784,150
5789,150
5794,150
5799,300
5804,300
5809,300
5814,300
5819,300
5824,300
5829,300
5834,300
5839,300
5844,300
5849,300
5854,300
5859,300
5864,300
5869,300
5874,300
5879,300
5884,300
5889,150
5894,150
5899,150
5904,150
5909,300
5914,300
5919,150
5924,150
5929,150
5934,150
5939,150
5944,150
5949,300
5954,300
5959,150
5964,150
5969,150
5974,150
5979,150
5984,150
5989,300
5994,300
5999,300
6004,300
6009,150
6014,150
6019,150
6024,150
6029,150
6034,150
6039,300
6044,300
6049,300
6054,300
6059,300
6064,300
6069,300
6074,300
6079,300
6084,300
6089,300
6094,300
6099,150
6104,150
6109,150
6114,300
6119,300
6124,300
6129,300
6134,300
6139,300
6144,300
6149,300
6154,300
6159,300
6164,300
6169,300
6174,300
6179,300
6184,300
6189,300
6194,300
6199,300
6204,300
6209,150
6214,150
6219,150
6224,150
