# time,value
5,0
10,0
15,0
20,0
25,1
30,1
35,1
40,1
45,1
50,1
55,1
60,1
65,1
70,1
75,1
80,1
85,1
90,2
95,2
100,3
105,3
110,4
115,4
120,4
125,4
130,4
135,4
140,4
145,5
150,5
155,4
160,4
165,5
170,5
175,6
180,6
185,6
190,5
195,5
200,6
205,6
210,7
215,7
220,8
225,8
230,7
235,7
240,7
245,8
250,8
255,9
260,9
265,10
270,10
275,9
280,9
285,10
290,10
295,11
300,11
305,10
310,10
315,11
320,11
325,11
330,10
335,10
340,10
345,11
350,11
355,11
360,10
365,10
370,11
375,11
380,12
385,12
390,11
395,11
400,12
405,12
410,13
415,13
420,13
425,12
430,12
435,13
440,13
445,13
450,13
455,12
460,12
465,13
470,13
475,14
480,14
485,13
490,13
495,14
500,14
505,15
510,15
515,14
520,14
525,15
530,15
535,16
540,16
545,16
550,15
555,15
560,16
565,16
570,16
575,15
580,15
585,16
590,16
595,17
600,17
605,17
610,16
615,16
620,17
625,17
630,17
635,16
640,16
645,16
650,17
655,17
660,17
665,16
670,16
675,17
680,17
685,17
690,16
695,16
700,17
705,17
710,18
715,18
720,18
725,17
730,17
735,18
740,18
745,18
750,17
755,17
760,18
765,18
770,19
775,19
780,18
785,18
790,19
795,19
800,19
805,18
810,18
815,19
820,19
825,20
830,20
835,19
840,19
845,19
850,20
855,20
860,19
865,19
870,19
875,19
880,19
885,19
890,18
895,18
900,19
905,19
910,19
915,18
920,18
925,19
930,19
935,19
940,19
945,19
950,18
955,18
960,19
965,19
970,18
975,18
980,19
985,19
990,20
995,20
1000,20
1005,20
1010,19
1015,19
1020,20
1025,20
1030,19
1035,19
1040,19
1045,19
1050,19
1055,19
1060,18
1065,18
1070,19
1075,19
1080,18
1085,18
1090,18
1095,19
1100,19
1105,18
1110,18
1115,19
1120,19
1125,19
1130,18
1135,18
1140,18
1145,19
1150,19
1155,19
1160,18
1165,18
1170,19
1176,19
1181,19
1186,18
1191,18
1196,19
1201,19
1206,19
1211,18
1216,18
1221,19
1226,19
1231,19
1236,19
1241,19
1246,18
1251,18
1256,18
1261,17
1266,17
1271,18
1276,18
1281,19
1286,19
1291,19
1296,19
1301,18
1306,18
1311,18
1316,17
1321,17
1326,18
1331,18
1336,19
1341,19
1346,19
1351,19
1356,18
1361,18
1366,18
1371,17
1376,17
1381,18
1386,18
1391,19
1396,19
1401,20
1406,20
1411,19
1416,19
1421,19
1426,18
1431,18
1436,19
1441,19
1446,19
1451,19
1456,19
1461,19
1466,18
1471,18
1476,18
1481,17
1486,17
1491,18
1496,18
1501,19
1506,19
1511,19
1516,19
1521,18
1526,18
1531,19
1536,19
1541,19
