# time,value
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,1
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,1134
90,1888
95,1871
100,1874
105,1872
110,1869
115,517
120,0
125,1
130,0
135,1
140,0
145,10
150,1
155,0
160,19
165,20
170,18
175,17
180,16
185,5
190,0
195,18
200,19
205,15
210,15
215,14
220,13
225,9
230,0
235,13
240,14
245,14
250,12
255,12
260,11
265,13
270,1
275,0
280,11
285,11
290,11
295,9
300,8
305,8
310,18
315,18
320,15
325,9
330,9
335,19
340,18
345,17
350,15
355,9
360,10
365,18
370,18
375,16
380,10
385,9
390,8
395,18
400,16
405,14
410,16
415,11
420,8
425,7
430,16
435,15
440,15
445,11
450,9
455,7
460,16
465,16
470,14
475,15
480,8
485,7
490,14
495,16
500,14
505,13
510,10
515,6
520,15
525,14
530,12
535,14
540,9
545,7
550,6
555,13
560,12
565,12
570,8
575,6
580,14
585,13
590,12
595,13
600,12
605,5
610,7
615,13
620,12
625,12
630,7
635,6
640,12
645,14
650,12
655,12
660,9
665,7
670,12
675,12
680,10
685,10
690,6
695,13
700,13
705,11
710,12
715,11
720,6
725,6
730,12
735,13
740,10
745,6
750,5
755,11
760,12
765,11
770,11
775,10
780,6
785,11
790,12
795,11
800,9
805,7
810,12
815,11
820,11
825,10
830,8
835,5
840,10
845,10
850,12
855,9
860,6
865,10
870,12
875,10
880,10
885,9
890,6
895,10
900,10
905,12
910,8
915,5
920,11
925,12
930,10
935,12
940,7
945,5
950,6
955,12
960,11
965,9
970,5
975,12
980,11
985,10
990,12
995,9
1000,10
1005,5
1010,5
1015,10
1020,11
1025,5
1030,5
1035,10
1040,12
1045,10
1050,11
1055,9
1060,10
1065,11
1070,12
1075,9
1080,8
1085,10
1090,12
1095,10
1100,9
1105,10
1110,15
1115,12
1120,12
1125,10
1130,8
1135,11
1140,12
1145,10
1150,10
1155,8
1160,5
1165,11
1170,13
1176,11
1181,7
1186,6
1191,12
1196,11
1201,12
1206,9
1211,9
1216,13
1221,13
1226,9
1231,11
1236,6
1241,5
1246,6
1251,12
1256,10
1261,7
1266,12
1271,12
1276,10
1281,11
1286,10
1291,10
1296,9
1301,6
1306,11
1311,10
1316,6
1321,12
1326,12
1331,12
1336,11
1341,10
1346,11
1351,8
1356,5
1361,11
1366,9
1371,6
1376,12
1381,12
1386,11
1391,12
1396,11
1401,10
1406,7
1411,5
1416,11
1421,9
1426,6
1431,11
1436,11
1441,12
1446,10
1451,10
1456,10
1461,9
1466,5
1471,13
1476,8
1481,5
1486,12
1491,12
1496,12
1501,11
1506,9
1511,11
1516,8
1521,5
1526,11
1531,10
1536,4
1541,6
1546,5
1551,12
1556,10
1561,12
1566,10
1571,9
1576,12
1581,11
1586,12
1591,10
1596,8
1601,12
1606,11
1611,10
1616,11
1621,8
1626,6
1631,11
1636,11
1641,9
1646,9
1651,5
1656,10
1661,12
1666,9
1671,13
1676,9
1681,5
1686,11
1691,11
1696,12
1701,8
1706,5
1711,10
1716,10
1721,10
1726,10
1731,12
1736,5
1741,7
1746,5
1751,10
1756,10
1761,6
1766,10
1771,11
1776,13
1781,10
1786,13
1791,10
1796,8
1801,11
1806,11
1811,10
1816,5
1821,11
1826,10
1831,9
1836,11
1841,10
1846,9
1851,6
1856,12
1861,11
1866,8
1871,6
1876,11
1881,10
1886,12
1891,11
1896,9
1901,9
1906,11
1911,9
1916,12
1921,8
1926,6
1931,11
1936,12
1941,10
1946,11
1951,8
1956,6
1961,11
1966,11
1971,11
1976,8
1981,6
1986,12
1991,12
1996,9
2001,11
2006,7
2011,7
2016,10
2021,11
2026,11
2031,7
2036,5
2041,10
2046,11
2051,9
2056,13
2061,8
2066,7
2071,14
2076,11
2081,13
2086,7
2091,17
2096,16
2101,15
2106,11
2111,7
2116,17
2121,16
2126,7
2131,7
2136,16
2141,16
2146,14
2151,9
2156,8
2161,15
2166,16
2171,9
2176,8
2181,14
2186,17
2191,15
2196,9
2201,7
2206,15
2211,15
2216,8
2221,10
2226,16
2231,17
2236,14
2241,8
2246,8
2251,8
2256,15
2261,8
2266,9
2271,16
2276,18
2281,15
2286,7
2291,8
2297,16
2302,8
2307,9
2312,16
2317,17
2322,16
2327,16
2332,7
2337,8
2342,8
2347,9
2352,9
2357,17
2362,16
2367,16
2372,17
2377,13
2382,9
2387,16
2392,11
2397,7
2402,16
2407,16
2412,16
2417,16
2422,7
2427,8
2432,16
2437,11
2442,7
2447,8
2452,18
2457,17
2462,14
2467,7
2472,10
2477,16
2482,16
2487,8
2492,9
2497,17
2502,16
2507,17
2512,9
2517,9
2522,17
2527,15
2532,9
2537,9
2542,8
2547,16
2552,15
2557,10
2562,8
2567,17
2572,17
2577,15
2582,9
2587,8
2592,18
2597,15
2602,10
2607,9
2612,16
2617,16
2622,17
2627,9
2632,8
2637,16
2642,15
2647,10
2652,9
2657,18
2662,17
2667,16
2672,9
2677,9
2682,18
2687,18
2692,9
2697,8
2702,18
2707,18
2712,18
2717,10
2722,8
2727,17
2732,17
2737,10
2742,8
2747,10
2752,17
2757,17
2762,11
2767,9
2772,18
2777,16
2782,19
2787,9
2792,9
2797,18
2802,16
2807,11
2812,10
2817,17
2822,18
2827,19
2832,8
2837,9
2842,9
2847,16
2852,10
2857,9
2862,19
2867,18
2872,19
2877,16
2882,10
2887,9
2892,17
2897,12
2902,9
2907,18
2912,20
2917,19
2922,16
2927,10
2932,9
2937,18
2942,10
2947,10
2952,19
2957,18
2962,19
2967,16
2972,10
2977,8
2982,16
2987,11
2992,10
2997,18
3002,20
3007,19
3012,16
3017,10
3022,9
3027,17
3032,10
3037,9
3042,9
3047,18
3052,18
3057,18
3062,10
3067,9
3072,18
3077,20
3082,12
3087,9
3092,18
3097,18
3102,18
3107,11
3112,10
3117,19
3122,20
3127,12
3132,10
3137,19
3142,18
3147,18
3152,10
3157,10
3162,18
3167,18
3172,11
3177,9
3182,19
3187,19
3192,19
3197,12
3202,9
3207,18
3212,20
3217,10
3222,9
3227,18
3232,20
3237,17
3242,12
3247,10
3252,20
3257,17
3262,11
3267,9
3272,19
3277,20
3282,19
3287,9
3292,9
3297,18
3302,19
3307,11
3312,10
3317,19
3322,19
3327,19
3332,10
3337,9
3342,10
3347,19
3352,11
3357,10
3362,21
3367,19
3372,20
3377,16
3382,11
3387,9
3392,19
3397,13
3402,9
3407,20
3412,20
3417,20
3422,17
3427,12
3432,9
3437,18
3442,14
3447,10
3452,10
3457,20
3462,20
3467,18
3472,10
3477,10
3482,19
3487,20
3492,11
3497,10
3502,19
3507,20
3512,19
3517,13
3522,11
3527,18
3532,20
3537,13
3542,10
3547,10
3552,21
3557,20
3562,13
3567,10
3572,18
3577,20
3582,19
3587,13
3592,9
3597,21
3602,19
3607,12
3612,10
3617,20
3622,20
3627,19
3632,13
3637,10
3642,10
3647,20
3652,11
3657,12
3662,21
3667,22
3672,21
3677,19
3682,11
3687,10
3692,18
3697,14
3702,10
3707,10
3712,20
3717,22
3722,17
3727,14
3732,9
3737,9
3742,9
3748,13
3753,10
3758,21
3763,20
3768,18
3773,20
3778,16
3783,10
3788,10
3793,13
3798,10
3803,20
3808,21
3813,21
3818,17
3823,18
3828,10
3833,9
3838,12
3843,10
3848,11
3853,20
3858,20
3863,18
3868,18
3873,9
3878,9
3883,22
3888,12
3893,10
3898,21
3903,21
3908,18
3913,17
3918,10
3923,8
3928,20
3933,14
3938,9
3943,9
3948,10
3953,18
3958,18
3963,12
3968,9
3973,20
3978,18
3983,17
3988,11
3993,11
3998,18
4003,19
4008,10
4013,9
4018,19
4023,20
4028,17
4033,11
4038,10
4043,9
4048,18
4053,13
4058,9
4063,20
4068,21
4073,19
4078,17
4083,9
4088,10
4093,19
4098,12
4103,10
4108,20
4113,20
4118,20
4123,18
4128,10
4133,8
4138,19
4143,12
4148,10
4153,20
4158,21
4163,17
4168,21
4173,9
4178,9
4183,19
4188,12
4193,10
4198,20
4203,19
4208,19
4213,18
4218,10
4223,9
4228,19
4233,13
4238,11
4243,10
4248,21
4253,18
4258,18
4263,11
4268,10
4273,18
4278,20
4283,14
4288,9
4293,10
4298,21
4303,18
4308,14
4313,10
4318,10
4323,20
4328,19
4333,12
4338,10
4343,9
4348,20
4353,20
4358,12
4363,10
4368,20
4373,21
4378,17
4383,14
4388,11
4393,19
4398,19
4403,13
4408,10
4413,19
4418,20
4423,19
4428,11
4433,11
4438,20
4443,20
4448,13
4453,11
4458,23
4463,19
4468,19
4473,12
4478,10
4483,23
4488,21
4493,13
4498,9
4503,20
4508,22
4513,20
4518,14
4523,11
4528,21
4533,22
4538,13
4543,10
4548,10
4553,22
4558,21
4563,13
4568,9
4573,23
4578,23
4583,18
4588,11
4593,11
4598,22
4603,22
4608,13
4613,11
4618,22
4623,22
4628,21
4633,10
4638,11
4643,10
4648,20
4653,13
4658,12
4663,24
4668,23
4673,21
4678,20
4683,10
4688,11
4693,22
4698,17
4703,12
4708,10
4713,22
4718,20
4723,21
4728,12
4733,11
4738,22
4743,21
4748,13
4753,11
4758,22
4763,22
4768,21
4773,11
4778,12
4783,22
4788,22
4793,17
4798,11
4803,12
4808,24
4813,22
4818,14
4823,12
4828,11
4833,23
4838,25
4843,13
4848,13
4853,24
4858,26
4863,21
4868,13
4873,12
4878,25
4883,27
4888,14
4893,12
4898,13
4903,24
4908,25
4913,16
4918,13
4923,13
4928,27
4933,25
4938,14
4943,12
4948,13
4953,23
4958,25
4963,13
4968,13
4973,24
4978,25
4983,24
4988,16
4993,12
4998,11
5003,22
5008,19
5013,12
5018,13
5023,22
5028,24
5033,22
5038,14
5043,11
5048,11
5053,24
5058,14
5063,12
5068,11
5073,24
5078,22
5083,22
5088,15
5093,11
5098,11
5103,21
5108,16
5113,10
5118,12
5123,20
5128,21
5133,20
5138,14
5143,11
5148,10
5153,23
5158,13
5163,11
5168,22
5173,24
5178,22
5183,20
5188,9
5193,12
5198,20
5203,17
5208,10
5213,12
5218,21
5223,22
5228,19
5233,15
5239,9
5244,10
5249,10
5254,14
5259,10
5264,21
5269,20
5274,20
5279,22
5284,18
5289,11
5294,10
5299,16
5304,9
5309,11
5314,22
5319,20
5324,21
5329,19
5334,11
5339,10
5344,10
5349,13
5354,11
5359,22
5364,22
5369,21
5374,20
5379,19
5384,11
5389,9
5394,13
5399,10
5404,22
5409,22
5414,21
5419,20
5424,19
5429,10
5434,11
5439,11
5444,11
5449,12
5454,23
5459,22
5464,21
5469,17
5474,12
5479,10
5484,20
5489,10
5494,11
5499,21
5504,22
5509,20
5514,19
5519,11
5524,10
5529,20
5534,14
5539,11
5544,11
5549,21
5554,22
5559,17
5564,11
5569,11
5574,21
5579,22
5584,12
5589,11
5594,23
5599,20
5604,21
5609,10
5614,12
5619,21
5624,20
5629,13
5634,11
5639,21
5644,22
5649,20
5654,13
5659,11
5664,21
5669,21
5674,11
5679,11
5684,20
5689,23
5694,21
5699,11
5704,13
5709,21
5714,22
5719,9
5724,10
5729,22
5734,22
5739,21
5744,12
5749,10
5754,22
5759,20
5764,9
5769,12
5774,22
5779,21
5784,21
5789,11
5794,12
5799,22
5804,21
5809,11
5814,10
5819,22
5824,21
5829,21
5834,11
5839,12
5844,11
5849,22
5854,11
5859,12
5864,22
5869,24
5874,22
5879,20
5884,11
5889,10
5894,20
5899,16
5904,12
5909,10
5914,20
5919,22
5924,21
5929,13
5934,12
5939,22
5944,22
5949,10
5954,10
5959,23
5964,22
5969,23
5974,11
5979,13
5984,23
5989,23
5994,13
5999,11
6004,23
6009,23
6014,22
6019,14
6024,9
6029,12
6034,22
6039,16
6044,10
6049,12
6054,20
6059,24
6064,21
6069,12
6074,12
6079,23
6084,23
6089,14
6094,11
6099,11
6104,24
6109,24
6114,14
6119,11
6124,12
6129,24
6134,21
6139,14
6144,12
6149,12
6154,24
6159,23
6164,12
6169,12
6174,23
6179,22
6184,24
6189,12
6194,12
6199,22
6204,23
6209,14
6214,11
6219,12
