# time,value
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,900
60,1885
65,1876
70,1873
75,1874
80,1875
85,742
90,0
95,1
100,0
105,1
110,0
115,1
120,0
125,0
130,0
135,0
140,0
145,0
150,1
155,25
160,25
165,21
170,22
175,18
180,19
185,14
190,15
195,14
200,1
205,1
210,16
215,16
220,14
225,13
230,12
235,12
240,11
245,11
250,12
255,5
260,1
265,12
270,10
275,11
280,10
285,9
290,9
295,17
300,19
305,16
310,17
315,10
320,8
325,8
330,16
335,16
340,16
345,13
350,8
355,9
360,17
365,17
370,16
375,17
380,8
385,9
390,16
395,14
400,15
405,15
410,12
415,7
420,8
425,12
430,16
435,12
440,13
445,7
450,7
455,14
460,15
465,14
470,14
475,8
480,8
485,13
490,14
495,12
500,15
505,8
510,7
515,13
520,13
525,12
530,12
535,10
540,6
545,7
550,12
555,13
560,11
565,7
570,5
575,13
580,12
585,11
590,13
595,11
600,5
605,6
610,11
615,12
620,11
625,6
630,5
635,13
640,12
645,12
650,11
655,10
660,5
665,12
670,12
675,10
680,9
685,4
690,6
695,11
700,12
705,11
710,11
715,6
720,5
725,10
730,10
735,10
740,10
745,5
750,6
755,10
760,11
765,12
770,8
775,6
780,12
785,10
790,11
795,12
800,7
805,5
810,11
815,11
820,11
825,9
830,5
835,10
840,11
845,10
850,10
855,9
860,6
865,10
870,11
875,11
880,8
885,4
890,11
895,10
900,9
905,11
910,9
915,6
920,11
925,10
930,13
935,8
940,4
945,6
950,11
955,12
960,10
965,8
970,5
975,11
980,11
985,11
990,11
995,8
1000,4
1005,10
1010,11
1015,10
1020,9
1025,6
1030,11
1035,10
1040,10
1045,10
1050,10
1055,11
1060,9
1065,10
1070,11
1075,10
1080,4
1085,10
1090,11
1095,11
1100,9
1105,6
1110,9
1115,12
1120,11
1125,10
1130,7
1135,10
1140,11
1145,10
1150,12
1155,7
1160,5
1165,10
1170,12
1176,11
1181,7
1186,6
1191,11
1196,10
1201,12
1206,10
1211,8
1216,5
1221,10
1226,13
1231,11
1236,6
1241,5
1246,6
1251,10
1256,13
1261,9
1266,7
1271,11
1276,12
1281,10
1286,12
1291,9
1296,8
1301,10
1306,10
1311,9
1316,15
1321,12
1326,10
1331,12
1336,11
1341,10
1346,9
1351,4
1356,10
1361,9
1366,5
1371,11
1376,11
1381,10
1386,13
1391,10
1396,13
1401,7
1406,5
1411,11
1416,8
1421,5
1426,13
1431,11
1436,12
1441,12
1446,11
1451,10
1456,8
1461,11
1466,10
1471,9
1476,11
1481,11
1486,11
1491,11
1496,11
1501,11
1506,9
1511,5
1516,10
1521,10
1526,5
1531,4
1536,12
1541,11
1546,10
1551,10
1556,10
1561,11
1566,5
1571,4
1576,10
1581,9
1586,11
1591,12
1596,9
1601,10
1606,15
1611,16
1616,15
1621,11
1626,10
1631,8
1636,10
1641,10
1646,9
1651,10
1656,5
1661,6
1666,12
1671,10
1676,9
1681,13
1686,11
1691,11
1696,11
1701,10
1706,9
1711,14
1716,10
1721,11
1726,10
1731,4
1736,10
1741,11
1746,11
1751,9
1756,9
1761,10
1766,10
1771,10
1776,12
1781,9
1786,6
1791,11
1796,10
1801,11
1806,8
1811,6
1816,12
1821,10
1826,13
1831,12
1836,7
1841,5
1846,5
1851,11
1856,11
1861,9
1866,6
1871,12
1876,10
1881,9
1886,13
1891,11
1896,9
1901,4
1906,10
1911,10
1916,10
1921,5
1926,3
1931,9
1936,11
1941,11
1946,11
1951,9
1956,7
1961,10
1966,11
1971,11
1976,8
1981,6
1986,11
1991,10
1996,13
2001,10
2006,8
2011,12
2016,10
2021,10
2026,11
2031,5
2036,5
2041,10
2046,12
2051,10
2056,9
2061,4
2066,10
2071,13
2076,11
2081,14
2086,7
2091,8
2096,14
2101,12
2106,15
2111,14
2116,14
2121,13
2126,15
2131,8
2136,7
2141,9
2146,7
2151,7
2156,14
2161,17
2166,14
2171,14
2176,8
2181,6
2186,16
2191,7
2196,8
2201,15
2206,14
2211,15
2216,13
2221,8
2226,16
2231,15
2236,7
2241,7
2246,8
2251,14
2256,14
2261,7
2266,8
2271,14
2276,16
2281,15
2286,8
2291,14
2297,16
2302,6
2307,8
2312,15
2317,14
2322,16
2327,7
2332,8
2337,16
2342,14
2347,7
2352,8
2357,16
2362,14
2367,15
2372,8
2377,8
2382,15
2387,17
2392,7
2397,8
2402,16
2407,15
2412,16
2417,7
2422,9
2427,15
2432,15
2437,8
2442,8
2447,7
2452,17
2457,17
2462,7
2467,8
2472,16
2477,15
2482,16
2487,8
2492,8
2497,15
2502,15
2507,10
2512,6
2517,15
2522,16
2527,14
2532,9
2537,8
2542,8
2547,16
2552,9
2557,9
2562,17
2567,18
2572,15
2577,16
2582,7
2587,7
2592,17
2597,8
2602,8
2607,17
2612,17
2617,16
2622,16
2627,7
2632,7
2637,16
2642,11
2647,7
2652,18
2657,16
2662,15
2667,15
2672,8
2677,8
2682,16
2687,9
2692,9
2697,16
2702,18
2707,16
2712,15
2717,7
2722,9
2727,15
2732,8
2737,10
2742,8
2747,17
2752,17
2757,14
2762,8
2767,8
2772,17
2777,16
2782,10
2787,8
2792,16
2797,18
2802,14
2807,10
2812,8
2817,17
2822,17
2827,9
2832,7
2837,17
2842,17
2847,16
2852,7
2857,9
2862,18
2867,15
2872,10
2877,7
2882,17
2887,18
2892,16
2897,8
2902,8
2907,16
2912,17
2917,10
2922,7
2927,17
2932,18
2937,16
2942,8
2947,8
2952,17
2957,17
2962,10
2967,7
2972,17
2977,17
2982,15
2987,8
2992,9
2997,18
3002,16
3007,10
3012,8
3017,17
3022,20
3027,14
3032,8
3037,7
3042,9
3047,16
3052,8
3057,9
3062,17
3067,18
3072,16
3077,17
3082,8
3087,8
3092,17
3097,10
3102,9
3107,16
3112,17
3117,17
3122,17
3127,8
3132,9
3137,17
3142,10
3147,7
3152,19
3157,18
3162,16
3167,16
3172,9
3177,8
3182,16
3187,11
3192,10
3197,17
3202,18
3207,16
3212,16
3217,8
3222,8
3227,16
3232,11
3237,9
3242,8
3247,18
3252,18
3257,15
3262,9
3267,9
3272,18
3277,18
3282,11
3287,7
3292,18
3297,16
3302,18
3307,8
3312,9
3317,18
3322,18
3327,11
3332,8
3337,18
3342,17
3347,18
3352,8
3357,9
3362,16
3367,18
3372,9
3377,8
3382,19
3387,17
3392,17
3397,9
3402,9
3407,17
3412,17
3417,12
3422,9
3427,18
3432,16
3437,16
3442,10
3447,9
3452,18
3457,17
3462,10
3467,9
3472,18
3477,18
3482,16
3487,9
3492,9
3497,18
3502,17
3507,10
3512,10
3517,17
3522,18
3527,14
3532,11
3537,9
3542,9
3547,17
3552,11
3557,9
3562,20
3567,18
3572,17
3577,17
3582,10
3587,8
3592,18
3597,12
3602,9
3607,18
3612,19
3617,17
3622,17
3627,10
3632,8
3637,19
3642,14
3647,9
3652,8
3657,20
3662,18
3667,16
3672,10
3677,9
3682,19
3687,18
3692,10
3697,8
3702,20
3707,19
3712,18
3717,11
3722,11
3727,17
3732,19
3737,11
3742,10
3748,8
3753,18
3758,20
3763,11
3768,11
3773,19
3778,19
3783,17
3788,11
3793,8
3798,20
3803,19
3808,11
3813,10
3818,20
3823,18
3828,18
3833,9
3838,9
3843,10
3848,19
3853,10
3858,10
3863,21
3868,19
3873,19
3878,19
3883,10
3888,7
3893,20
3898,14
3903,10
3908,20
3913,18
3918,21
3923,15
3928,10
3933,8
3938,19
3943,14
3948,10
3953,10
3958,20
3963,20
3968,18
3973,10
3978,10
3983,20
3988,21
3993,11
3998,10
4003,18
4008,21
4013,17
4018,13
4023,10
4028,21
4033,21
4038,12
4043,8
4048,11
4053,19
4058,20
4063,12
4068,10
4073,21
4078,19
4083,19
4088,11
4093,10
4098,20
4103,19
4108,12
4113,11
4118,21
4123,19
4128,20
4133,11
4138,9
4143,9
4148,20
4153,12
4158,11
4163,21
4168,21
4173,21
4178,20
4183,9
4188,9
4193,20
4198,14
4203,10
4208,11
4213,20
4218,18
4223,18
4228,13
4233,9
4238,20
4243,22
4248,12
4253,10
4258,23
4263,20
4268,19
4273,10
4278,9
4283,22
4288,21
4293,13
4298,11
4303,21
4308,22
4313,20
4318,12
4323,11
4328,24
4333,20
4338,11
4343,10
4348,11
4353,22
4358,22
4363,10
4368,11
4373,22
4378,22
4383,19
4388,13
4393,10
4398,22
4403,22
4408,12
4413,10
4418,21
4423,21
4428,17
4433,13
4438,11
4443,11
4448,20
4453,16
4458,11
4463,10
4468,21
4473,22
4478,21
4483,10
4488,11
4493,20
4498,21
4503,12
4508,11
4513,22
4518,21
4523,21
4528,13
4533,11
4538,21
4543,22
4548,11
4553,12
4558,23
4563,23
4568,19
4573,12
4578,11
4583,22
4588,22
4593,15
4598,12
4603,12
4608,23
4613,24
4618,14
4623,12
4628,11
4633,23
4638,24
4643,12
4648,11
4653,25
4658,26
4663,22
4668,13
4673,13
4678,23
4683,26
4688,15
4693,12
4698,12
4703,26
4708,25
4713,14
4718,12
4723,14
4728,23
4733,26
4738,13
4743,13
4748,11
4753,24
4758,24
4763,15
4768,12
4773,13
4778,25
4783,24
4788,15
4793,12
4798,13
4803,26
4808,26
4813,14
4818,12
4823,13
4828,26
4833,24
4838,14
4843,11
4848,13
4853,25
4858,26
4863,12
4868,13
4873,25
4878,26
4883,23
4888,14
4893,11
4898,12
4903,23
4908,17
4913,12
4918,11
4923,24
4928,24
4933,21
4938,13
4943,11
4948,12
4953,22
4958,15
4963,12
4968,11
4973,23
4978,22
4983,23
4988,13
4993,11
4998,12
5003,20
5008,16
5013,12
5018,11
5023,21
5028,22
5033,21
5038,10
5043,11
5048,10
5053,22
5058,11
5063,12
5068,22
5073,24
5078,22
5083,21
5088,10
5093,12
5098,22
5103,14
5108,10
5113,12
5118,22
5123,20
5128,19
5133,14
5138,9
5143,11
5148,21
5153,13
5158,10
5163,23
5168,22
5173,22
5178,21
5183,9
5188,11
5193,22
5198,16
5203,8
5208,12
5213,24
5218,21
5223,20
5228,13
5233,10
5239,23
5244,20
5249,13
5254,10
5259,24
5264,22
5269,19
5274,12
5279,12
5284,24
5289,22
5294,14
5299,10
5304,12
5309,23
5314,24
5319,12
5324,13
5329,22
5334,24
5339,22
5344,13
5349,11
5354,23
5359,24
5364,12
5369,13
5374,22
5379,25
5384,21
5389,12
5394,11
5399,22
5404,24
5409,14
5414,12
5419,11
5424,25
5429,23
5434,12
5439,10
5444,12
5449,22
5454,24
5459,13
5464,13
5469,22
5474,24
5479,23
5484,12
5489,9
5494,24
5499,22
5504,15
5509,12
5514,11
5519,23
5524,24
5529,14
5534,11
5539,12
5544,11
5549,23
5554,12
5559,12
5564,25
5569,25
5574,23
5579,23
5584,11
5589,12
5594,23
5599,16
5604,12
5609,10
5614,24
5619,22
5624,21
5629,15
5634,11
5639,11
5644,10
5649,15
5654,12
5659,12
5664,23
5669,22
5674,22
5679,20
5684,10
5689,11
5694,22
5699,16
5704,11
5709,10
5714,21
5719,20
5724,20
5729,12
5734,11
5739,22
5744,20
5749,14
5754,11
5759,8
5764,24
5769,22
5774,11
5779,10
5784,22
5789,21
5794,21
5799,12
5804,11
5809,22
5814,20
5819,12
5824,10
5829,23
5834,21
5839,20
5844,11
5849,10
5854,22
5859,22
5864,10
5869,12
5874,22
5879,21
5884,21
5889,11
5894,10
5899,21
5904,23
5909,11
5914,11
5919,22
5924,21
5929,19
5934,13
5939,11
5944,10
5949,20
5954,12
5959,11
5964,24
5969,24
5974,22
5979,20
5984,12
5989,10
5994,22
5999,13
6004,12
6009,22
6014,25
6019,19
6024,22
6029,11
6034,11
6039,21
6044,15
6049,11
6054,11
6059,22
6064,24
6069,20
6074,12
6079,11
6084,24
6089,25
6094,12
6099,10
6104,24
6109,24
6114,21
6119,13
6124,12
6129,23
6134,23
6139,12
6144,11
6149,12
6154,24
6159,22
6164,13
6169,12
6174,22
6179,22
6184,24
6189,12
6194,12
6199,22
6204,23
6209,13
6214,11
6219,25
