# time,value
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,0
60,0
65,0
70,1
75,0
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
210,0
215,0
220,0
225,0
230,0
235,0
240,0
245,0
250,0
255,0
260,0
265,0
270,0
275,0
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,1
340,0
345,0
350,0
355,0
360,0
365,0
370,1
375,0
380,0
385,0
390,0
395,0
400,0
405,0
410,0
415,0
420,0
425,0
430,0
435,0
440,0
445,0
450,0
455,0
460,0
465,0
470,0
475,0
480,0
485,0
490,0
495,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,0
540,0
545,0
550,0
555,0
560,0
565,0
570,0
575,0
580,0
585,0
590,0
595,0
600,0
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
785,0
790,0
795,0
800,0
805,0
810,0
815,0
820,0
825,0
830,0
835,0
840,0
845,0
850,0
855,0
860,0
865,0
870,0
875,0
880,0
885,0
890,0
895,0
900,0
905,0
910,0
915,0
920,0
925,0
930,0
935,0
940,0
945,0
950,0
955,0
960,0
965,0
970,0
975,0
980,0
985,0
990,0
995,0
1000,0
1005,0
1010,0
1015,0
1020,0
1025,0
1030,0
1035,0
1040,0
1045,0
1050,0
1055,0
1060,0
1065,0
1070,0
1075,0
1080,0
1085,0
1090,0
1095,0
1100,0
1105,0
1110,0
1115,0
1120,0
1125,0
1130,0
1135,0
1140,0
1145,0
1150,0
1155,0
1160,0
1165,0
1170,0
1176,0
1181,0
1186,0
1191,0
1196,0
1201,0
1206,0
1211,0
1216,0
1221,0
1226,0
1231,0
1236,0
1241,0
1246,0
1251,0
1256,0
1261,0
1266,0
1271,0
1276,0
1281,0
1286,0
1291,0
1296,0
1301,0
1306,0
1311,0
1316,0
1321,0
1326,0
1331,0
1336,0
1341,0
1346,0
1351,0
1356,0
1361,0
1366,0
1371,0
1376,0
1381,0
1386,0
1391,0
1396,0
1401,0
1406,0
1411,0
1416,0
1421,0
1426,0
1431,0
1436,0
1441,0
1446,0
1451,0
1456,0
1461,0
1466,0
1471,0
1476,0
1481,0
1486,0
1491,0
1496,0
1501,0
1506,0
1511,0
1516,0
1521,0
1526,0
1531,0
1536,0
1541,0
1546,0
1551,0
1556,0
1561,0
1566,0
1571,0
1576,0
1581,0
1586,0
1591,0
1596,0
1601,0
1606,0
1611,0
1616,1
1621,0
1626,0
1631,0
1636,0
1641,0
1646,0
1651,0
1656,0
1661,0
1666,0
1671,0
1676,0
1681,0
1686,0
1691,0
1696,0
1701,0
1706,0
1711,0
1716,0
1721,0
1726,0
1731,0
1736,0
1741,0
1746,0
1751,0
1756,0
1761,0
1766,0
1771,0
1776,1
1781,0
1786,0
1791,0
1796,0
1801,0
1806,0
1811,0
1816,0
1821,0
1826,0
1831,0
1836,0
1841,0
1846,0
1851,0
1856,0
1861,0
1866,0
1871,0
1876,0
1881,1
1886,0
1891,0
1896,0
1901,0
1906,0
1911,0
1916,0
1921,0
1926,0
1931,0
1936,0
1941,0
1946,0
1951,0
1956,0
1961,0
1966,0
1971,0
1976,0
1981,0
1986,0
1991,0
1996,0
2001,0
2006,0
2011,0
2016,0
2021,0
2026,0
2031,0
2036,0
2041,0
2046,0
2051,0
2056,0
2061,0
2066,0
2071,0
2076,0
2081,0
2086,0
2091,0
2096,0
2101,0
2106,0
2111,0
2116,0
2121,0
2126,0
2131,0
2136,0
2141,0
2146,0
2151,0
2156,0
2161,0
2166,2
2171,0
2176,0
2181,0
2186,0
2191,0
2196,0
2201,0
2206,0
2211,0
2216,0
2221,0
2226,0
2231,0
2236,0
2241,0
2246,0
2251,0
2256,0
2261,0
2266,0
2271,0
2276,0
2281,0
2286,0
2291,0
2297,0
2302,0
2307,0
2312,0
2317,0
2322,0
2327,0
2332,0
2337,0
2342,0
2347,0
2352,0
2357,0
2362,1
2367,0
2372,0
2377,0
2382,0
2387,0
2392,0
2397,0
2402,0
2407,0
2412,0
2417,0
2422,0
2427,0
2432,1
2437,0
2442,0
2447,0
2452,0
2457,0
2462,0
2467,0
2472,0
2477,0
2482,0
2487,0
2492,0
2497,0
2502,0
2507,0
2512,0
2517,0
2522,0
2527,0
2532,0
2537,0
2542,0
2547,0
2552,0
2557,0
2562,0
2567,0
2572,0
2577,0
2582,0
2587,0
2592,0
2597,0
2602,0
2607,0
2612,0
2617,0
2622,0
2627,0
2632,0
2637,0
2642,0
2647,0
2652,0
2657,0
2662,0
2667,0
2672,0
2677,0
2682,0
2687,0
2692,0
2697,0
2702,0
2707,0
2712,0
2717,0
2722,0
2727,1
2732,0
2737,0
2742,0
2747,0
2752,0
2757,0
2762,0
2767,0
2772,0
2777,0
2782,0
2787,0
2792,0
2797,0
2802,0
2807,0
2812,0
2817,0
2822,0
2827,0
2832,1
2837,0
2842,0
2847,0
2852,1
2857,0
2862,0
2867,0
2872,0
2877,0
2882,0
2887,0
2892,0
2897,0
2902,0
2907,0
2912,0
2917,0
2922,0
2927,0
2932,0
2937,0
2942,0
2947,0
2952,0
2957,0
2962,0
2967,0
2972,0
2977,0
2982,0
2987,0
2992,0
2997,0
3002,0
3007,0
3012,0
3017,0
3022,0
3027,0
3032,0
3037,0
3042,0
3047,0
3052,0
3057,0
3062,0
3067,0
3072,0
3077,0
3082,0
3087,0
3092,0
3097,0
3102,0
3107,0
3112,1
3117,0
3122,0
3127,0
3132,0
3137,0
3142,0
3147,0
3152,0
3157,0
3162,0
3167,0
3172,1
3177,0
3182,0
3187,0
3192,0
3197,0
3202,0
3207,0
3212,0
3217,0
3222,0
3227,0
3232,0
3237,0
3242,0
3247,0
3252,0
3257,0
3262,0
3267,0
3272,0
3277,0
3282,0
3287,0
3292,0
3297,0
3302,0
3307,0
3312,0
3317,0
3322,0
3327,0
3332,0
3337,0
3342,0
3347,0
3352,0
3357,0
3362,0
3367,0
3372,0
3377,0
3382,0
3387,0
3392,0
3397,0
3402,0
3407,0
3412,0
3417,0
3422,0
3427,0
3432,0
3437,0
3442,0
3447,0
3452,0
3457,0
3462,0
3467,0
3472,0
3477,0
3482,0
3487,0
3492,0
3497,0
3502,0
3507,0
3512,1
3517,0
3522,0
3527,0
3532,0
3537,0
3542,0
3547,0
3552,0
3557,0
3562,0
3567,0
3572,0
3577,0
3582,0
3587,0
3592,0
3597,0
3602,0
3607,0
3612,1
3617,0
3622,0
3627,0
3632,0
3637,0
3642,0
3647,0
3652,0
3657,0
3662,0
3667,0
3672,0
3677,0
3682,0
3687,0
3692,0
3697,0
3702,0
3707,0
3712,0
3717,0
3722,0
3727,0
3732,0
3737,0
3742,0
3748,0
3753,0
3758,0
3763,0
3768,0
3773,0
3778,0
3783,0
3788,0
3793,0
3798,0
3803,0
3808,0
3813,0
3818,0
3823,0
3828,0
3833,0
3838,0
3843,0
3848,0
3853,0
3858,0
3863,0
3868,0
3873,0
3878,0
3883,0
3888,0
3893,0
3898,0
3903,0
3908,0
3913,0
3918,0
3923,0
3928,0
3933,0
3938,0
3943,0
3948,0
3953,0
3958,0
3963,0
3968,0
3973,0
3978,0
3983,0
3988,0
3993,0
3998,0
4003,0
4008,0
4013,0
4018,0
4023,0
4028,0
4033,0
4038,0
4043,0
4048,0
4053,0
4058,0
4063,0
4068,0
4073,0
4078,0
4083,0
4088,0
4093,0
4098,0
4103,0
4108,0
4113,0
4118,0
4123,0
4128,0
4133,0
4138,0
4143,0
4148,0
4153,0
4158,0
4163,0
4168,0
4173,0
4178,0
4183,0
4188,0
4193,0
4198,0
4203,0
4208,0
4213,0
4218,0
4223,0
4228,0
4233,0
4238,0
4243,0
4248,0
4253,0
4258,0
4263,0
4268,0
4273,0
4278,0
4283,0
4288,0
4293,0
4298,0
4303,0
4308,0
4313,0
4318,0
4323,0
4328,0
4333,0
4338,0
4343,0
4348,0
4353,0
4358,0
4363,0
4368,0
4373,0
4378,0
4383,0
4388,0
4393,0
4398,0
4403,0
4408,0
4413,0
4418,0
4423,0
4428,0
4433,0
4438,0
4443,0
4448,0
4453,0
4458,0
4463,0
4468,0
4473,0
4478,0
4483,0
4488,0
4493,0
4498,0
4503,0
4508,0
4513,0
4518,0
4523,0
4528,0
4533,0
4538,0
4543,0
4548,0
4553,0
4558,0
4563,0
4568,0
4573,0
4578,0
4583,0
4588,0
4593,0
4598,0
4603,0
4608,0
4613,1
4618,0
4623,0
4628,0
4633,0
4638,0
4643,0
4648,0
4653,0
4658,0
4663,0
4668,0
4673,0
4678,0
4683,0
4688,0
4693,0
4698,0
4703,0
4708,0
4713,0
4718,0
4723,0
4728,0
4733,0
4738,0
4743,0
4748,0
4753,0
4758,0
4763,0
4768,0
4773,0
4778,0
4783,0
4788,0
4793,1
4798,0
4803,0
4808,0
4813,0
4818,0
4823,1
4828,0
4833,0
4838,0
4843,0
4848,0
4853,0
4858,0
4863,0
4868,0
4873,0
4878,0
4883,0
4888,0
4893,0
4898,0
4903,0
4908,0
4913,0
4918,0
4923,0
4928,0
4933,0
4938,0
4943,0
4948,0
4953,0
4958,0
4963,0
4968,0
4973,0
4978,0
4983,0
4988,0
4993,0
4998,0
5003,0
5008,0
5013,0
5018,0
5023,0
5028,0
5033,0
5038,0
5043,0
5048,0
5053,0
5058,0
5063,0
5068,0
5073,0
5078,0
5083,0
5088,0
5093,0
5098,0
5103,0
5108,0
5113,0
5118,0
5123,0
5128,2
5133,0
5138,0
5143,0
5148,0
5153,0
5158,0
5163,0
5168,0
5173,1
5178,0
5183,0
5188,0
5193,1
5198,0
5203,0
5208,0
5213,0
5218,0
5223,0
5228,0
5233,0
5239,0
5244,0
5249,0
5254,0
5259,0
5264,0
5269,0
5274,0
5279,0
5284,0
5289,0
5294,0
5299,0
5304,0
5309,0
5314,0
5319,0
5324,0
5329,0
5334,0
5339,0
5344,0
5349,0
5354,0
5359,0
5364,0
5369,0
5374,0
5379,0
5384,0
5389,0
5394,0
5399,0
5404,0
5409,0
5414,0
5419,0
5424,0
5429,0
5434,0
5439,0
5444,0
5449,0
5454,0
5459,0
5464,0
5469,0
5474,0
5479,0
5484,0
5489,0
5494,0
5499,0
5504,0
5509,0
5514,0
5519,0
5524,0
5529,0
5534,0
5539,0
5544,0
5549,0
5554,0
5559,1
5564,0
5569,0
5574,0
5579,0
5584,0
5589,0
5594,0
5599,0
5604,0
5609,0
5614,0
5619,0
5624,0
5629,0
5634,0
5639,0
5644,0
5649,0
5654,0
5659,0
5664,0
5669,0
5674,0
5679,0
5684,0
5689,0
5694,0
5699,0
5704,0
5709,0
5714,0
5719,0
5724,0
5729,0
5734,0
5739,0
5744,0
5749,0
5754,0
5759,1
5764,0
5769,0
5774,0
5779,0
5784,0
5789,0
5794,0
5799,0
5804,0
5809,0
5814,0
5819,0
5824,0
5829,0
5834,0
5839,0
5844,0
5849,0
5854,0
5859,0
5864,0
5869,0
5874,0
5879,0
5884,0
5889,0
5894,0
5899,0
5904,0
5909,0
5914,0
5919,0
5924,0
5929,0
5934,0
5939,0
5944,0
5949,0
5954,0
5959,0
5964,0
5969,0
5974,0
5979,0
5984,0
5989,0
5994,0
5999,0
6004,0
6009,0
6014,0
6019,0
6024,0
6029,0
6034,0
6039,0
6044,0
6049,0
6054,0
6059,0
6064,0
6069,0
6074,0
6079,0
6084,0
6089,0
6094,0
6099,0
6104,0
6109,0
6114,0
6119,0
6124,0
6129,0
6134,0
6139,0
6144,0
6149,0
6154,0
6159,0
6164,0
6169,0
6174,0
6179,0
6184,0
6189,0
6194,0
6199,0
6204,0
6209,0
6214,2
6219,0
6224,0
