# time,value
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,0
60,3
65,1
70,0
75,0
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,2
135,1
140,0
145,0
150,2
155,0
160,0
165,3
170,0
175,1818
180,1866
185,1874
190,1871
195,1873
200,1723
205,0
210,0
215,26
220,27
225,21
230,3
235,0
240,28
245,28
250,28
255,22
260,13
265,0
270,0
275,23
280,21
285,19
290,17
295,14
300,15
305,13
310,11
315,0
320,0
325,13
330,13
335,12
340,12
345,12
350,10
355,11
360,10
365,7
370,11
375,11
380,9
385,11
390,10
395,10
400,10
405,9
410,8
415,10
420,10
425,8
430,9
435,18
440,18
445,18
450,16
455,16
460,16
465,10
470,8
475,17
480,17
485,10
490,9
495,8
500,18
505,16
510,16
515,16
520,14
525,9
530,8
535,16
540,16
545,16
550,9
555,8
560,14
565,15
570,15
575,16
580,11
585,8
590,7
595,14
600,16
605,12
610,10
615,7
620,7
625,14
630,14
635,14
640,14
645,8
650,7
655,14
660,14
665,13
670,10
675,7
680,12
685,14
690,12
695,14
700,12
705,7
710,6
715,14
720,12
725,12
730,8
735,6
740,14
745,13
750,13
755,11
760,12
765,6
770,6
775,13
780,13
785,10
790,6
795,6
800,12
805,12
810,12
815,12
820,9
825,5
830,12
835,11
840,12
845,10
850,6
855,6
860,12
865,13
870,10
875,8
880,6
885,10
890,12
895,10
900,10
905,10
910,6
915,5
920,12
925,11
930,11
935,6
940,5
945,5
950,12
955,12
960,10
965,7
970,6
975,12
980,11
985,10
990,10
995,8
1000,5
1005,10
1010,10
1015,11
1020,8
1025,6
1030,12
1035,10
1040,11
1045,11
1050,8
1055,6
1060,11
1065,11
1070,10
1075,7
1080,5
1085,11
1090,11
1095,10
1100,10
1105,9
1110,6
1115,10
1120,12
1125,10
1130,8
1135,6
1140,10
1145,11
1150,10
1155,11
1160,7
1165,6
1170,10
1176,12
1181,11
1186,8
1191,6
1196,10
1201,12
1206,10
1211,12
1216,7
1221,5
1226,13
1231,10
1236,12
1241,6
1246,6
1251,6
1256,12
1261,10
1266,13
1271,6
1276,6
1281,13
1286,13
1291,11
1296,12
1301,7
1306,6
1311,11
1316,11
1321,12
1326,10
1331,5
1336,12
1341,11
1346,13
1351,11
1356,8
1361,6
1366,12
1371,12
1376,13
1381,6
1386,7
1391,12
1396,12
1401,11
1406,10
1411,7
1416,5
1421,11
1426,11
1431,11
1436,9
1441,5
1446,6
1451,11
1456,11
1461,10
1466,9
1471,5
1476,11
1481,10
1486,11
1491,10
1496,9
1501,5
1506,11
1511,11
1516,10
1521,9
1526,11
1531,10
1536,10
1541,11
1546,9
1551,14
1556,10
1561,10
1566,10
1571,13
1576,11
1581,9
1586,11
1591,10
1596,9
1601,10
1606,11
1611,11
1616,7
1621,6
1626,10
1631,10
1636,10
1641,9
1646,9
1651,5
1656,10
1661,11
1666,11
1671,9
1676,5
1681,10
1686,10
1691,10
1696,10
1701,14
1706,10
1711,10
1716,9
1721,9
1726,10
1731,11
1736,10
1741,11
1746,9
1751,4
1756,11
1761,10
1766,10
1771,10
1776,8
1781,10
1786,11
1791,10
1796,10
1801,11
1806,10
1811,10
1816,10
1821,15
1826,13
1831,10
1836,10
1841,11
1846,9
1851,10
1856,12
1861,8
1866,10
1871,5
1876,6
1881,11
1886,11
1891,10
1896,8
1901,10
1906,12
1911,10
1916,10
1921,8
1926,8
1931,11
1936,11
1941,11
1946,10
1951,6
1956,10
1961,10
1966,12
1971,10
1976,8
1981,6
1986,11
1991,11
1996,10
2001,8
2006,10
2011,12
2016,10
2021,9
2026,11
2031,7
2036,5
2041,10
2046,12
2051,7
2056,5
2061,11
2066,11
2071,12
2076,11
2081,13
2086,7
2091,16
2096,14
2101,7
2106,15
2111,15
2116,14
2121,13
2126,7
2131,7
2136,14
2141,8
2146,7
2151,7
2156,16
2161,14
2166,14
2171,8
2176,7
2181,14
2186,14
2191,8
2196,17
2201,16
2206,14
2211,14
2216,8
2221,7
2226,15
2231,9
2236,8
2241,15
2246,16
2251,16
2256,12
2261,8
2266,15
2271,16
2276,7
2281,16
2286,15
2291,15
2297,8
2302,8
2307,15
2312,15
2317,8
2322,8
2327,15
2332,16
2337,15
2342,9
2347,8
2352,17
2357,15
2362,7
2367,8
2372,16
2377,16
2382,14
2387,9
2392,8
2397,15
2402,15
2407,7
2412,8
2417,16
2422,16
2427,15
2432,9
2437,7
2442,8
2447,15
2452,8
2457,10
2462,15
2467,16
2472,16
2477,13
2482,8
2487,18
2492,16
2497,9
2502,9
2507,16
2512,17
2517,15
2522,8
2527,8
2532,17
2537,17
2542,8
2547,9
2552,17
2557,18
2562,15
2567,9
2572,9
2577,16
2582,18
2587,8
2592,9
2597,18
2602,18
2607,16
2612,10
2617,9
2622,18
2627,18
2632,8
2637,9
2642,9
2647,18
2652,17
2657,9
2662,9
2667,18
2672,18
2677,16
2682,9
2687,9
2692,17
2697,16
2702,9
2707,10
2712,18
2717,18
2722,16
2727,9
2732,9
2737,18
2742,16
2747,10
2752,9
2757,18
2762,19
2767,15
2772,9
2777,9
2782,19
2787,20
2792,12
2797,10
2802,17
2807,19
2812,17
2817,10
2822,9
2827,19
2832,18
2837,11
2842,9
2847,9
2852,19
2857,18
2862,11
2867,9
2872,18
2877,19
2882,17
2887,11
2892,11
2897,18
2902,18
2907,9
2912,10
2917,18
2922,20
2927,16
2932,11
2937,10
2942,10
2947,18
2952,10
2957,9
2962,20
2967,20
2972,19
2977,18
2982,9
2987,9
2992,18
2997,14
3002,11
3007,10
3012,19
3017,19
3022,16
3027,9
3032,9
3037,18
3042,19
3047,11
3052,10
3057,20
3062,20
3067,17
3072,10
3077,10
3082,21
3087,20
3092,10
3097,9
3102,20
3107,18
3112,19
3117,13
3122,10
3127,21
3132,20
3137,11
3142,9
3147,10
3152,20
3157,21
3162,10
3167,10
3172,20
3177,19
3182,19
3187,10
3192,10
3197,20
3202,20
3207,11
3212,10
3217,20
3222,19
3227,19
3232,11
3237,10
3242,10
3247,20
3252,12
3257,11
3262,21
3267,23
3272,19
3277,18
3282,10
3287,10
3292,19
3297,13
3302,11
3307,21
3312,22
3317,21
3322,18
3327,10
3332,10
3337,20
3342,12
3347,11
3352,22
3357,22
3362,21
3367,18
3372,9
3377,10
3382,20
3387,12
3392,11
3397,22
3402,21
3407,20
3412,18
3417,10
3422,9
3427,21
3432,14
3437,8
3442,12
3447,9
3452,20
3457,20
3462,11
3467,9
3472,21
3477,21
3482,18
3487,10
3492,10
3497,20
3502,21
3507,11
3512,10
3517,20
3522,20
3527,18
3532,11
3537,10
3542,10
3547,20
3552,12
3557,11
3562,22
3567,21
3572,19
3577,18
3582,10
3587,10
3592,20
3597,14
3602,10
3607,9
3612,20
3617,20
3622,18
3627,12
3632,10
3637,20
3642,20
3647,11
3652,11
3657,22
3662,22
3667,18
3672,10
3677,12
3682,20
3687,22
3692,10
3697,11
3702,22
3707,20
3712,20
3717,11
3722,11
3727,21
3732,20
3737,12
3742,12
3748,11
3753,20
3758,23
3763,10
3768,10
3773,22
3778,20
3783,20
3788,13
3793,12
3798,22
3803,20
3808,11
3813,10
3818,22
3823,21
3828,20
3833,11
3838,11
3843,11
3848,21
3853,12
3858,11
3863,23
3868,24
3873,20
3878,20
3883,11
3888,10
3893,22
3898,15
3903,10
3908,11
3913,20
3918,22
3923,18
3928,12
3933,11
3938,21
3943,22
3948,13
3953,12
3958,22
3963,25
3968,17
3973,11
3978,11
3983,23
3988,24
3993,13
3998,11
4003,22
4008,24
4013,20
4018,14
4023,11
4028,12
4033,22
4038,14
4043,11
4048,12
4053,24
4058,22
4063,19
4068,13
4073,12
4078,23
4083,22
4088,11
4093,12
4098,25
4103,22
4108,22
4113,13
4118,12
4123,23
4128,24
4133,13
4138,11
4143,12
4148,22
4153,23
4158,12
4163,10
4168,23
4173,23
4178,21
4183,14
4188,11
4193,10
4198,20
4203,17
4208,11
4213,10
4218,20
4223,19
4228,20
4233,13
4238,11
4243,11
4248,21
4253,13
4258,11
4263,11
4268,22
4273,20
4278,20
4283,13
4288,10
4293,22
4298,22
4303,11
4308,10
4313,22
4318,21
4323,20
4328,11
4333,10
4338,22
4343,20
4348,14
4353,11
4358,10
4363,21
4368,20
4373,11
4378,10
4383,22
4388,22
4393,18
4398,12
4403,13
4408,22
4413,19
4418,11
4423,9
4428,20
4433,21
4438,21
4443,15
4448,10
4453,11
4458,21
4463,10
4468,11
4473,23
4478,25
4483,21
4488,21
4493,10
4498,10
4503,20
4508,15
4513,11
4518,11
4523,22
4528,21
4533,21
4538,11
4543,11
4548,11
4553,21
4558,12
4563,11
4568,22
4573,24
4578,24
4583,17
4588,12
4593,10
4598,23
4603,12
4608,12
4613,24
4618,22
4623,22
4628,20
4633,10
4638,11
4643,11
4648,12
4653,12
4658,24
4663,24
4668,22
4673,20
4678,18
4683,11
4688,11
4693,14
4698,12
4703,11
4708,24
4713,24
4718,20
4723,19
4728,11
4733,11
4738,21
4743,14
4748,11
4753,11
4758,23
4763,22
4768,20
4773,11
4778,11
4783,23
4788,22
4793,16
4798,11
4803,11
4808,24
4813,23
4818,12
4823,12
4828,22
4833,23
4838,22
4843,14
4848,12
4853,11
4858,24
4863,13
4868,12
4873,11
4878,24
4883,23
4888,20
4893,12
4898,13
4903,24
4908,22
4913,14
4918,13
4923,11
4928,23
4933,22
4938,12
4943,10
4948,12
4953,23
4958,23
4963,13
4968,11
4973,22
4978,24
4983,22
4988,12
4993,12
4998,25
5003,21
5008,15
5013,11
5018,12
5023,24
5028,21
5033,13
5038,11
5043,12
5048,24
5053,23
5058,11
5063,11
5068,23
5073,22
5078,22
5083,14
5088,12
5093,23
5098,23
5103,12
5108,11
5113,24
5118,23
5123,20
5128,15
5133,11
5138,10
5143,11
5148,15
5153,13
5158,12
5163,22
5168,22
5173,22
5178,17
5183,10
5188,11
5193,20
5198,15
5203,10
5208,11
5213,23
5218,22
5223,21
5228,10
5233,11
5239,23
5244,20
5249,12
5254,11
5259,23
5264,22
5269,18
5274,11
5279,12
5284,22
5289,24
5294,13
5299,11
5304,23
5309,23
5314,22
5319,12
5324,12
5329,23
5334,22
5339,15
5344,12
5349,11
5354,22
5359,24
5364,12
5369,12
5374,23
5379,24
5384,22
5389,12
5394,12
5399,22
5404,24
5409,11
5414,12
5419,22
5424,23
5429,22
5434,14
5439,11
5444,12
5449,22
5454,15
5459,12
5464,11
5469,23
5474,24
5479,21
5484,13
5489,10
5494,24
5499,23
5504,13
5509,11
5514,24
5519,22
5524,23
5529,11
5534,12
5539,23
5544,24
5549,13
5554,13
5559,23
5564,25
5569,23
5574,13
5579,12
5584,25
5589,26
5594,12
5599,12
5604,24
5609,27
5614,22
5619,15
5624,12
5629,12
5634,23
5639,15
5644,13
5649,12
5654,25
5659,26
5664,19
5669,12
5674,14
5679,25
5684,24
5689,14
5694,12
5699,26
5704,25
5709,23
5714,13
5719,11
5724,26
5729,24
5734,14
5739,12
5744,13
5749,12
5754,26
5759,14
5764,13
5769,13
5774,24
5779,25
5784,23
5789,14
5794,13
5799,26
5804,24
5809,13
5814,11
5819,26
5824,25
5829,23
5834,14
5839,12
5844,10
5849,13
5854,16
5859,13
5864,12
5869,24
5874,26
5879,23
5884,20
5889,11
5894,11
5899,23
5904,18
5909,11
5914,11
5919,22
5924,24
5929,21
5934,13
5939,11
5944,12
5949,22
5954,13
5959,11
5964,11
5969,24
5974,23
5979,24
5984,13
5989,11
5994,23
5999,23
6004,11
6009,12
6014,25
6019,22
6024,21
6029,13
6034,12
6039,22
6044,22
6049,15
6054,10
6059,13
6064,24
6069,23
6074,13
6079,13
6084,24
6089,23
6094,20
6099,10
6104,12
6109,24
6114,22
6119,14
6124,12
6129,11
6134,24
6139,22
6144,13
6149,13
6154,26
6159,24
6164,20
6169,12
6174,13
6179,24
6184,25
6189,14
6194,13
6199,12
6204,24
6209,24
6214,15
6219,13
