# time,count
10,1
15,1
20,1
25,1
30,1
35,1
40,1
45,1
50,1
55,1
60,1
65,1
70,1
75,1
80,1
85,1
90,1
95,1
100,1
105,1
110,1
115,1
120,2
125,2
130,3
135,3
140,13
145,14
150,14
155,13
160,13
165,12
170,12
175,11
180,11
185,11
190,10
195,10
200,11
205,11
210,10
215,10
220,11
225,11
230,10
235,10
240,10
245,10
250,9
255,9
260,10
265,10
270,10
275,9
280,9
285,10
290,10
295,10
300,10
305,9
310,9
315,10
320,10
325,10
330,11
335,11
340,11
345,10
350,10
355,10
360,10
365,9
370,9
375,10
380,10
385,10
390,10
395,10
400,10
405,9
410,9
415,10
420,10
425,10
430,9
435,9
440,9
445,10
450,10
455,11
460,11
465,11
470,10
475,10
480,10
485,10
490,11
495,11
500,11
505,10
510,10
515,11
520,11
525,10
530,10
535,11
540,11
545,11
550,12
555,12
560,12
565,11
570,11
575,12
580,12
585,11
590,11
595,12
600,12
605,13
610,13
615,14
620,14
625,13
630,13
635,14
640,14
645,14
650,13
655,13
660,14
665,14
670,15
675,15
680,15
685,14
690,14
695,15
700,15
705,15
710,14
715,14
720,15
725,15
730,16
735,16
740,16
745,16
750,15
755,15
760,16
765,16
770,15
775,15
780,16
785,16
790,17
795,17
800,18
805,18
810,17
815,17
820,18
825,18
830,17
835,17
840,17
845,18
850,18
855,19
860,19
865,18
870,18
875,19
880,19
885,19
890,18
895,18
900,19
905,19
910,20
915,20
920,19
925,19
930,19
935,19
940,19
945,18
950,18
955,19
960,19
965,20
970,20
975,19
980,19
985,20
990,20
995,21
1000,21
1005,20
1010,20
1015,20
1020,20
1025,19
1030,19
1035,20
1040,20
1045,20
1050,19
1055,19
1060,20
1065,20
1070,20
1075,19
1080,19
1085,19
1090,19
1095,19
1100,18
1105,18
1110,19
1115,19
1120,20
1125,20
1130,19
1135,19
1140,19
1145,19
1150,19
1155,18
1160,18
1165,19
1170,19
1176,18
1181,18
1186,19
1191,19
1196,19
1201,19
1206,18
1211,18
1216,19
1221,19
1226,19
1231,18
1236,18
1241,18
1246,19
1251,19
1256,19
1261,18
1266,18
1271,18
1276,18
1281,18
1286,17
1291,17
1296,18
1301,18
1306,19
1311,19
1316,18
1321,18
1326,19
1331,19
1336,19
1341,19
1346,18
1351,18
1356,19
1361,19
1366,19
1371,18
1376,18
1381,18
1386,19
1391,19
1396,19
1401,18
1406,18
1411,19
1416,19
1421,19
1426,18
1431,18
1436,19
1441,19
1446,19
1451,19
1456,18
1461,18
1466,19
1471,19
1476,19
1481,18
1486,18
1491,19
1496,19
1501,19
1506,18
1511,18
1516,18
1521,18
1526,19
1531,19
1536,18
1541,18
1546,18
1551,19
1556,19
1561,18
1566,18
1571,19
1576,19
1581,20
1586,20
1591,19
1596,19
1601,20
1606,20
1611,20
1616,19
1621,19
1626,19
1631,20
1636,20
1641,20
1646,19
1651,19
1656,18
1661,18
1666,19
1671,19
1676,19
1681,20
1686,20
1691,21
1696,21
1701,20
1706,20
1711,19
1716,19
1721,19
1726,20
1731,20
1736,21
1741,21
1746,21
1751,20
1756,20
1761,19
1766,19
1771,20
1776,20
1781,21
1786,21
1791,20
1796,20
1801,21
1806,21
1811,21
1816,20
1821,20
1826,20
1831,20
1836,20
1841,20
1846,19
1851,19
1856,20
1861,20
1866,20
1871,19
1876,19
1881,20
1886,20
1891,20
1896,19
1901,19
1906,19
1911,20
1916,20
1921,19
1926,19
1931,20
1936,20
1941,20
1946,19
1951,19
1956,19
1961,19
1966,20
1971,20
1976,19
1981,19
1986,19
1991,19
1996,18
2001,18
2006,19
2011,19
2016,20
2021,20
2026,19
2031,19
2036,18
2041,18
2046,18
2051,19
2056,19
2061,20
2066,20
2071,20
2076,19
2081,19
2086,19
2091,18
2096,18
2101,19
2106,19
2111,20
2116,20
2121,19
2126,19
2131,19
2136,18
2141,18
2146,18
2151,19
2156,19
2161,18
2166,18
2171,19
2176,19
2181,18
2186,18
2191,19
2196,19
2201,19
2206,18
2211,18
2216,19
2221,19
2226,18
2231,18
2236,19
2241,19
2246,19
2251,18
2256,18
2261,19
2266,19
2271,18
2276,18
2281,19
2286,19
2291,18
2297,18
2302,19
2307,19
2312,18
2317,18
2322,19
2327,19
2332,19
2337,19
2342,18
2347,18
2352,18
2357,17
2362,17
2367,18
2372,18
2377,19
2382,19
2387,18
2392,18
2397,18
2402,17
2407,17
2412,18
2417,18
2422,19
2427,19
2432,18
2437,18
2442,18
2447,17
2452,17
2457,18
2462,18
2467,19
2472,19
2477,18
2482,18
2487,18
2492,17
2497,17
2502,18
2507,18
2512,19
2517,19
2522,18
2527,18
2532,18
2537,18
2542,17
2547,17
2552,18
2557,18
2562,17
2567,17
2572,18
2577,18
2582,18
2587,17
2592,17
2597,18
2602,18
2607,17
2612,17
2617,18
2622,18
2627,18
2632,17
2637,17
2642,17
2647,17
2652,16
2657,16
2662,17
2667,17
2672,17
2677,16
2682,16
2687,17
2692,17
2697,16
2702,16
2707,17
2712,17
2717,17
2722,16
2727,16
2732,17
2737,17
2742,17
2747,16
2752,16
2757,17
2762,17
2767,16
2772,16
2777,17
2782,17
2787,17
2792,16
2797,16
2802,17
2807,17
2812,16
2817,16
2822,17
2827,17
2832,17
2837,17
2842,16
2847,16
2852,16
2857,15
2862,15
2867,16
2872,16
2877,17
2882,17
2887,16
2892,16
2897,16
2902,15
2907,15
2912,16
2917,16
2922,17
2927,17
2932,16
2937,16
2942,16
2947,15
2952,15
2957,16
2962,16
2967,17
2972,17
2977,16
2982,16
2987,16
2992,15
2997,15
3002,16
3007,16
3012,17
3017,17
3022,16
3027,16
3032,16
3037,16
3042,15
3047,15
3052,16
3057,16
3062,16
3067,15
3072,15
3077,16
3082,16
3087,15
3092,15
3097,16
3102,16
3107,16
3112,15
3117,15
3122,16
3127,16
3132,15
3137,15
3142,15
3147,16
3152,16
3157,15
3162,15
3167,16
3172,16
3177,15
3182,15
3187,16
3192,16
3197,16
3202,15
3207,15
3212,16
3217,16
3222,15
3227,15
3232,16
3237,16
3242,16
3247,15
3252,15
3257,16
3262,16
3267,15
3272,15
3277,16
3282,16
3287,16
3292,15
3297,15
3302,16
3307,16
3312,15
3317,15
3322,16
3327,16
3332,16
3337,16
3342,15
3347,15
3352,15
3357,14
3362,14
3367,15
3372,15
3377,16
3382,16
3387,15
3392,15
3397,15
3402,14
3407,14
3412,15
3417,15
3422,16
3427,16
3432,15
3437,15
3442,15
3447,15
3452,14
3457,14
3462,15
3467,15
3472,15
3477,14
3482,14
3487,15
3492,15
3497,14
3502,14
3507,15
3512,15
3517,15
3522,14
3527,14
3532,15
3537,15
3542,15
3547,14
3552,14
3557,15
3562,15
3567,14
3572,14
3577,15
3582,15
3587,15
3592,14
3597,14
3602,15
3607,15
3612,14
3617,14
3622,15
3627,15
3632,15
3637,15
3642,14
3647,14
3652,14
3657,13
3662,13
3667,14
3672,14
3677,15
3682,15
3687,14
3692,14
3697,14
3702,13
3707,13
3712,14
3717,14
3722,15
3727,15
3732,14
3737,14
3742,14
3748,14
3753,13
3758,13
3763,14
3768,14
3773,14
3778,13
3783,13
3788,14
3793,14
3798,13
3803,13
3808,14
3813,14
3818,14
3823,13
3828,13
3833,14
3838,14
3843,14
3848,13
3853,13
3858,14
3863,14
3868,13
3873,13
3878,14
3883,14
3888,14
3893,13
3898,13
3903,14
3908,14
3913,13
3918,13
3923,14
3928,14
3933,14
3938,14
3943,13
3948,13
3953,13
3958,12
3963,12
3968,13
3973,13
3978,14
3983,14
3988,13
3993,13
3998,14
4003,14
4008,13
4013,13
4018,14
4023,14
4028,14
4033,13
4038,13
4043,13
4048,14
4053,14
4058,13
4063,13
4068,14
4073,14
4078,13
4083,13
4088,14
4093,14
4098,14
4103,13
4108,13
4113,14
4118,14
4123,13
4128,13
4133,14
4138,14
4143,14
4148,13
4153,13
4158,14
4163,14
4168,13
4173,13
4178,14
4183,14
4188,14
4193,13
4198,13
4203,14
4208,14
4213,13
4218,13
4223,14
4228,14
4233,15
4238,15
4243,15
4248,14
4253,14
4258,14
4263,13
4268,13
4273,14
4278,14
4283,15
4288,15
4293,14
4298,14
4303,14
4308,13
4313,13
4318,14
4323,14
4328,15
4333,15
4338,15
4343,14
4348,14
4353,14
4358,13
4363,13
4368,14
4373,14
4378,15
4383,15
4388,14
4393,14
4398,15
4403,15
4408,14
4413,14
4418,15
4423,15
4428,16
4433,16
4438,16
4443,15
4448,15
4453,15
4458,14
4463,14
4468,15
4473,15
4478,16
4483,16
4488,15
4493,15
4498,15
4503,14
4508,14
4513,15
4518,15
4523,16
4528,16
4533,15
4538,15
4543,15
4548,14
4553,14
4558,15
4563,15
4568,16
4573,16
4578,15
4583,15
4588,15
4593,14
4598,14
4603,15
4608,15
4613,16
4618,16
4623,15
4628,15
4633,15
4638,15
4643,14
4648,14
4653,15
4658,15
4663,15
4668,14
4673,14
4678,15
4683,15
4688,14
4693,14
4698,15
4703,15
4708,15
4713,14
