# time,count
10,1
15,1
20,1
25,1
30,1
35,1
40,1
45,1
50,1
55,1
60,1
65,2
70,2
75,2
80,2
85,2
90,2
95,2
100,2
105,2
110,2
115,2
120,2
125,2
130,2
135,3
140,3
145,3
150,2
155,2
160,1
165,1
170,1
175,1
180,2
185,2
190,3
195,3
200,4
205,4
210,3
215,3
220,4
225,4
230,4
235,3
240,3
245,3
250,4
255,4
260,5
265,5
270,4
275,4
280,5
285,5
290,6
295,6
300,7
305,7
310,8
315,8
320,7
325,7
330,8
335,8
340,8
345,9
350,9
355,10
360,10
365,9
370,9
375,10
380,10
385,10
390,10
395,10
400,11
405,11
410,10
415,10
420,11
425,11
430,10
435,10
440,10
445,11
450,11
455,12
460,12
465,12
470,11
475,11
480,12
485,12
490,12
495,11
500,11
505,12
510,12
515,13
520,13
525,13
530,12
535,12
540,12
545,13
550,13
555,12
560,12
565,13
570,13
575,14
580,14
585,14
590,13
595,13
600,14
605,14
610,15
615,15
620,14
625,14
630,15
635,15
640,15
645,15
650,14
655,14
660,15
665,15
670,15
675,14
680,14
685,15
690,15
695,16
700,16
705,16
710,15
715,15
720,16
725,16
730,16
735,15
740,15
745,15
750,16
755,16
760,17
765,17
770,16
775,16
780,17
785,17
790,17
795,16
800,16
805,17
810,17
815,18
820,18
825,17
830,17
835,18
840,18
845,18
850,18
855,17
860,17
865,18
870,18
875,18
880,17
885,17
890,18
895,18
900,19
905,19
910,19
915,18
920,18
925,19
930,19
935,19
940,19
945,18
950,18
955,19
960,19
965,19
970,18
975,18
980,19
985,19
990,20
995,20
1000,19
1005,19
1010,19
1015,19
1020,19
1025,18
1030,18
1035,19
1040,19
1045,19
1050,19
1055,18
1060,18
1065,19
1070,19
1075,19
1080,18
1085,18
1090,19
1095,19
1100,20
1105,20
1110,19
1115,19
1120,19
1125,20
1130,20
1135,19
1140,19
1145,19
1150,19
1155,19
1160,19
1165,18
1170,18
1176,18
1181,19
1186,19
1191,18
1196,18
1201,18
1206,19
1211,19
1216,19
1221,18
1226,18
1231,18
1236,18
1241,18
1246,18
1251,17
1256,17
1261,17
1266,17
1271,17
1276,16
1281,16
1286,17
1291,17
1296,18
1301,18
1306,17
1311,17
1316,18
1321,18
1326,18
1331,17
1336,17
1341,17
1346,18
1351,18
1356,18
1361,17
1366,17
1371,18
1376,18
1381,18
1386,17
1391,17
1396,18
1401,18
1406,19
1411,19
1416,18
1421,18
1426,19
1431,19
1436,19
1441,19
1446,18
1451,18
1456,19
1461,19
1466,19
1471,18
1476,18
1481,19
1486,19
1491,20
1496,20
1501,19
1506,19
1511,20
1516,20
1521,19
1526,19
1531,20
1536,20
1541,20
1546,19
1551,19
1556,20
1561,20
1566,19
1571,19
1576,20
1581,20
1586,20
1591,20
1596,19
1601,19
1606,19
1611,20
1616,20
1621,19
1626,19
1631,19
1636,20
1641,20
1646,20
1651,19
1656,19
1661,20
1666,20
1671,20
1676,19
1681,19
1686,20
1691,20
1696,19
1701,19
1706,20
1711,20
1716,21
1721,21
1726,20
1731,20
1736,21
1741,21
1746,21
1751,20
1756,20
1761,20
1766,20
1771,20
1776,19
1781,19
1786,20
1791,20
1796,19
1801,19
1806,20
1811,20
1816,19
1821,19
1826,20
1831,20
1836,20
1841,20
1846,19
1851,19
1856,19
1861,19
1866,19
1871,19
1876,18
1881,18
1886,19
1891,19
1896,18
1901,18
1906,19
1911,19
1916,20
1921,20
1926,19
1931,19
1936,20
1941,20
1946,20
1951,19
1956,19
1961,19
1966,20
1971,20
1976,20
1981,19
1986,19
1991,20
1996,20
2001,19
2006,19
2011,19
2016,20
2021,20
2026,20
2031,20
2036,19
2041,19
2046,19
2051,19
2056,18
2061,18
2066,19
2071,19
2076,20
2081,20
2086,19
2091,19
2096,19
2101,18
2106,18
2111,19
2116,19
2121,20
2126,20
2131,19
2136,19
2141,19
2146,19
2151,18
2156,18
2161,19
2166,19
2171,19
2176,18
2181,18
2186,18
2191,17
2196,17
2201,18
2206,18
2211,19
2216,19
2221,18
2226,18
2231,18
2236,17
2241,17
2246,17
2251,18
2256,18
2261,17
2266,17
2271,18
2276,18
2281,17
2286,18
2291,18
2297,18
2302,17
2307,17
2312,18
2317,18
2322,17
2327,17
2332,18
2337,18
2342,18
2347,17
2352,17
2357,18
2362,18
2367,17
2372,17
2377,18
2382,18
2387,18
2392,17
2397,17
2402,18
2407,18
2412,17
2417,17
2422,18
2427,18
2432,18
2437,18
2442,17
2447,17
2452,17
2457,16
2462,16
2467,17
2472,17
2477,17
2482,16
2487,16
2492,17
2497,17
2502,16
2507,16
2512,17
2517,17
2522,17
2527,16
2532,16
2537,16
2542,16
2547,15
2552,15
2557,16
2562,16
2567,16
2572,15
2577,15
2582,16
2587,16
2592,15
2597,15
2602,16
2607,16
2612,16
2617,15
2622,15
2627,16
2632,16
2637,16
2642,15
2647,15
2652,16
2657,16
2662,15
2667,15
2672,16
2677,16
2682,16
2687,15
2692,15
2697,16
2702,16
2707,15
2712,15
2717,16
2722,16
2727,16
2732,15
2737,15
2742,15
2747,15
2752,14
2757,14
2762,15
2767,15
2772,15
2777,14
2782,14
2787,15
2792,15
2797,14
2802,14
2807,15
2812,15
2817,15
2822,14
2827,14
2832,15
2837,15
2842,15
2847,14
2852,14
2857,15
2862,15
2867,14
2872,14
2877,15
2882,15
2887,15
2892,14
2897,14
2902,15
2907,15
2912,14
2917,14
2922,15
2927,15
2932,15
2937,15
2942,14
2947,14
2952,14
2957,13
2962,13
2967,14
2972,14
2977,15
2982,15
2987,14
2992,14
2997,15
3002,15
3007,14
3012,14
3017,15
3022,15
3027,15
3032,14
3037,14
3042,14
3047,14
3052,13
3057,13
3062,14
3067,14
3072,14
3077,13
3082,13
3087,14
3092,14
3097,13
3102,13
3107,14
3112,14
3117,14
3122,13
3127,13
3132,14
3137,14
3142,14
3147,13
3152,13
3157,14
3162,14
3167,13
3172,13
3177,14
3182,14
3187,14
3192,13
3197,13
3202,14
3207,14
3212,13
3217,13
3222,14
3227,14
3232,14
3237,14
3242,13
3247,13
3252,13
3257,12
3262,12
3267,13
3272,13
3277,14
3282,14
3287,13
3292,13
3297,13
3302,12
3307,12
3312,13
3317,13
3322,14
3327,14
3332,13
3337,13
3342,13
3347,12
3352,12
3357,13
3362,13
3367,14
3372,14
3377,13
3382,13
3387,13
3392,12
3397,12
3402,13
3407,13
3412,14
3417,14
3422,13
3427,13
3432,14
3437,14
3442,14
3447,13
3452,13
3457,14
3462,14
3467,13
3472,13
3477,14
3482,14
3487,14
3492,13
3497,13
3502,14
3507,14
3512,13
3517,13
3522,14
3527,14
3532,14
3537,14
3542,13
3547,13
3552,13
3557,12
3562,12
3567,13
3572,13
3577,14
3582,14
3587,13
3592,13
3597,14
3602,14
3607,13
3612,13
3617,14
3622,14
3627,14
3632,13
3637,13
3642,13
3647,13
3652,12
3657,12
3662,13
3667,13
3672,13
3677,12
3682,12
3687,13
3692,13
3697,12
3702,12
3707,13
3712,13
3717,13
3722,12
3727,12
3732,13
3737,13
3742,13
3748,12
3753,12
3758,13
3763,13
3768,12
3773,12
3778,13
3783,13
3788,13
3793,12
3798,12
3803,13
3808,13
3813,12
3818,12
3823,13
3828,13
3833,13
3838,13
3843,12
3848,12
3853,12
3858,11
3863,11
3868,12
3873,12
3878,13
3883,13
3888,12
3893,12
3898,13
3903,13
3908,12
3913,12
3918,13
3923,13
3928,13
3933,12
3938,12
3943,12
3948,12
3953,11
3958,11
3963,12
3968,12
3973,12
3978,11
3983,11
3988,12
3993,12
3998,11
4003,11
4008,12
4013,12
4018,13
4023,13
4028,12
4033,12
4038,12
4043,12
4048,11
4053,11
4058,12
4063,12
4068,12
4073,11
4078,11
4083,12
4088,12
4093,11
4098,11
4103,12
4108,12
4113,12
4118,11
4123,11
4128,12
4133,12
4138,12
4143,11
4148,11
4153,12
4158,12
4163,11
4168,11
4173,12
4178,12
4183,13
4188,13
4193,12
4198,12
4203,13
4208,13
4213,12
4218,12
4223,13
4228,13
4233,13
4238,13
4243,12
4248,12
4253,13
4258,13
4263,12
4268,12
4273,13
4278,13
4283,13
4288,12
4293,12
4298,13
4303,13
4308,12
4313,12
4318,13
4323,13
4328,13
4333,12
4338,12
4343,12
4348,13
4353,13
4358,12
4363,12
4368,13
4373,13
4378,12
4383,12
4388,13
4393,13
4398,13
4403,12
4408,12
4413,13
4418,13
4423,12
4428,12
4433,13
4438,13
4443,13
4448,13
4453,12
4458,12
4463,12
4468,11
4473,11
4478,12
4483,12
4488,13
4493,13
4498,12
4503,12
4508,13
4513,13
4518,12
4523,12
4528,13
4533,13
4538,13
4543,13
4548,12
4553,12
4558,12
4563,11
4568,11
4573,12
4578,12
4583,13
4588,13
4593,12
4598,12
4603,12
4608,11
4613,11
4618,12
4623,12
4628,13
4633,13
4638,13
4643,12
4648,12
4653,11
4658,11
4663,12
4668,12
4673,13
4678,13
4683,13
4688,12
4693,12
4698,12
4703,11
4708,11
4713,12
