# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
25,4329,68.04220315044589,171.7882055350932,14.065792797803514,4.714669347832883
30,17856,263.73811952611584,590.7572317227008,55.4125164583485,18.625355721921025
35,28228,417.49765788343956,801.2713832648221,90.64125290409318,30.63737280315055
40,38122,542.8921896855725,947.5227635627501,121.96547177083339,41.46927093296653
45,48115,658.388657231777,1063.5856399359095,152.79839251341835,52.25002294394002
50,57625,763.195345453333,1145.094931131432,182.82087036124855,62.870217183840325
55,66085,831.4617963998202,1194.4621515633603,206.52576633355505,71.48033240075868
60,74201,894.5578034070368,1229.9123389760719,229.89835760437177,80.06269081786233
65,82314,952.7208700589581,1259.904456259995,252.90777388571004,88.60525787765191
70,90429,1006.1695102014747,1285.6501851937358,275.52365513056185,97.09606569590582
75,98542,1055.472561970723,1307.9545438926675,297.7921744117788,105.54869739147756
80,106161,1094.772926004103,1321.3263381285185,318.4397636434105,113.53455670146838
85,112367,1105.5531036292605,1316.581204361898,333.49991768593634,119.71772889382454
90,118606,1117.6621288811552,1312.7241110444334,348.7640314422044,126.018445537089
95,124849,1128.163325247801,1309.3170992681687,363.6436232199528,132.23993403651085
100,131099,1137.71295449234,1306.3160764268562,378.2541370132375,138.419198331217
105,137306,1146.6269664771523,1303.1278330130156,392.6496059284854,144.5730928057047
110,142863,1145.2495742883107,1294.399040515349,404.82701883883794,150.02918356042855
115,147219,1123.3697623896521,1276.02980529546,412.5420976127815,154.02679555873453
120,151594,1103.3513014786704,1259.3421678254322,420.15279731558974,158.0100163917456
125,155973,1085.1093306158616,1244.0161962460738,427.6740660185028,161.98335791030095
130,160312,1067.8461736994793,1229.561725051888,434.9718478072694,165.90144560094444
135,164658,1051.7234358435803,1216.227138233952,442.0994222342056,169.7812060342663
140,168039,1023.8730316323814,1196.6956034270697,446.41834090024554,172.73753526028017
145,170482,980.9470341184846,1172.3174184286654,447.0890967266712,174.47859708129403
150,172954,942.1888012488417,1149.7632390209392,447.9008285592864,176.2609825535415
155,175444,906.5774789274466,1128.7813479995982,448.7090607725289,178.03681743055594
160,177918,873.5896050890447,1109.009379942026,449.45765415301247,179.7873014868472
165,180433,843.9908785160104,1090.6760305453704,450.3492427073147,181.5801650241556
170,181729,799.8561247049887,1066.1385575660042,447.73195993691496,182.19190769319601
175,182408,746.4732884278839,1039.6117218213794,442.5166753663421,181.91494492605054
180,183033,696.8789745618378,1014.2549930000591,437.2884205905571,181.60627566276142
185,183674,651.4099142627499,990.210678381732,432.17963835762276,181.31039677809733
190,184342,609.912172754687,967.7091927128978,427.22471676169,181.03942574580586
195,184996,571.6044785238693,946.2876957765768,422.32524714228043,180.7610916910274
200,185619,535.959920482624,925.7842863174137,417.4241159018329,180.45659888924231
205,186274,503.48516628632837,906.4335052889588,412.6701074201331,180.1759536318409
210,186893,473.2231632617871,887.8322110475269,407.91533876549914,179.87027046224574
215,187560,445.8605099157862,870.3159989493877,403.33833080121116,179.5995217358431
220,188202,420.3018667255805,853.4814515257995,398.75763710276345,179.3036802689607
225,188826,397.0426376861142,837.3133948158512,394.30554695941044,179.02720629515562
230,189462,375.46721163195343,821.8983510734544,389.8906805919897,178.7400756947989
235,190112,355.6488436317232,807.1989941512389,385.5553969656656,178.45675190240863
240,190813,338.23061181682374,793.3248208135569,381.4603604459751,178.23150731724206
245,191461,321.7413225276568,779.800287600042,377.33714335866784,177.97537773974182
250,192122,306.68238183547055,766.8680616397464,373.30521702004137,177.7284233718245
255,192830,293.38717665898514,754.624609933009,369.4556323853394,177.52161823260704
260,193485,280.4034148925245,742.5808809125713,365.51430745396294,177.26388139654023
265,194139,268.4897596325629,731.0546402171929,361.64473831219004,177.00978852251802
270,194812,257.64060547233487,720.0251607494577,357.8622674873172,176.7648595744319
275,195478,247.78683072035776,709.3702713098556,354.16876108002697,176.53015181313833
280,196134,238.38510683822886,699.0592653378169,350.4668830700007,176.27347573013736
285,196794,229.95897893162697,689.1240830589609,346.87247165090923,176.033734097236
290,197379,220.99124211657136,679.2722508068227,343.086236725031,175.71111035909485
295,197989,212.91642823582916,669.8383020911958,339.3989455595597,175.4024623398895
300,198652,206.49468120135148,660.8961276070452,335.98085963823775,175.16533019276184
