# time,value
5,NaN
10,NaN
15,NaN
20,NaN
25,NaN
30,Infinity
35,Infinity
40,Infinity
46,Infinity
51,Infinity
56,Infinity
61,Infinity
66,Infinity
71,Infinity
76,Infinity
81,Infinity
86,Infinity
91,Infinity
96,Infinity
101,Infinity
106,Infinity
111,Infinity
116,Infinity
121,Infinity
126,Infinity
131,Infinity
136,Infinity
141,Infinity
146,Infinity
151,Infinity
156,Infinity
161,Infinity
166,Infinity
171,Infinity
176,Infinity
181,Infinity
186,Infinity
191,Infinity
196,Infinity
201,Infinity
206,Infinity
211,Infinity
216,Infinity
221,Infinity
226,Infinity
231,Infinity
236,Infinity
241,Infinity
246,Infinity
251,Infinity
256,Infinity
261,Infinity
266,Infinity
271,Infinity
276,Infinity
281,Infinity
286,Infinity
291,Infinity
296,Infinity
302,Infinity
307,Infinity
312,Infinity
317,Infinity
322,Infinity
327,Infinity
332,Infinity
337,Infinity
342,Infinity
347,Infinity
352,Infinity
357,Infinity
362,Infinity
367,Infinity
372,Infinity
377,Infinity
382,Infinity
387,Infinity
392,Infinity
397,Infinity
402,Infinity
407,Infinity
412,Infinity
417,Infinity
422,Infinity
427,Infinity
432,Infinity
437,Infinity
442,Infinity
447,Infinity
452,Infinity
457,Infinity
462,Infinity
467,Infinity
472,Infinity
477,Infinity
482,Infinity
487,Infinity
492,Infinity
497,Infinity
502,Infinity
507,Infinity
512,Infinity
517,Infinity
522,Infinity
527,Infinity
532,Infinity
537,Infinity
542,Infinity
547,Infinity
552,Infinity
557,Infinity
562,Infinity
567,Infinity
572,Infinity
577,Infinity
582,Infinity
587,Infinity
592,Infinity
597,Infinity
602,Infinity
607,Infinity
612,Infinity
617,Infinity
622,Infinity
627,Infinity
632,Infinity
637,Infinity
642,Infinity
647,Infinity
652,Infinity
657,Infinity
662,Infinity
667,Infinity
672,Infinity
677,Infinity
682,Infinity
687,Infinity
692,Infinity
697,Infinity
702,Infinity
707,Infinity
712,Infinity
717,Infinity
722,Infinity
727,Infinity
732,Infinity
737,Infinity
742,Infinity
747,Infinity
752,Infinity
757,Infinity
762,Infinity
767,Infinity
772,Infinity
777,Infinity
782,Infinity
787,Infinity
792,Infinity
797,Infinity
802,Infinity
807,Infinity
812,Infinity
817,Infinity
822,Infinity
827,Infinity
832,Infinity
837,Infinity
842,Infinity
847,Infinity
852,Infinity
857,Infinity
862,Infinity
867,Infinity
872,Infinity
877,Infinity
882,Infinity
887,Infinity
892,Infinity
897,Infinity
902,Infinity
907,Infinity
912,Infinity
917,Infinity
922,Infinity
927,Infinity
932,Infinity
937,Infinity
942,Infinity
947,Infinity
952,Infinity
957,Infinity
962,Infinity
967,Infinity
972,Infinity
977,Infinity
982,Infinity
987,Infinity
992,Infinity
997,Infinity
1002,Infinity
1007,Infinity
1012,Infinity
1017,Infinity
1022,Infinity
1027,Infinity
1032,Infinity
1037,Infinity
1042,Infinity
1047,Infinity
1052,Infinity
1057,Infinity
1062,Infinity
1067,Infinity
