# time,value
5,0
10,25
15,26
20,5
25,15
30,13
35,7
40,6
45,11
50,5
55,4
60,4
65,3
70,5
75,3
80,5
85,2
90,3
95,2
100,1
105,2
110,1
115,1
120,1
125,1
130,1
135,0
140,0
145,0
150,1
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
210,0
215,0
220,0
225,0
230,0
235,0
240,0
245,0
250,0
255,0
260,0
265,0
270,0
275,0
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0
365,0
370,0
375,0
380,0
385,0
390,0
395,0
400,0
405,0
410,0
415,0
420,0
425,0
430,0
435,0
440,0
445,0
450,0
455,0
460,0
465,0
470,0
475,0
480,0
485,0
