# time,value
10,0
15,195
20,164
25,326
30,327
35,500
40,498
45,657
50,656
55,842
60,828
65,986
70,987
75,990
80,981
85,1319
90,1320
95,1314
100,1320
105,1320
110,309
115,309
120,309
125,309
130,309
135,309
140,309
145,309
150,309
155,309
160,309
165,309
170,309
175,309
180,309
185,309
190,309
195,309
200,309
205,309
210,328
215,328
220,328
225,328
230,328
235,328
240,328
245,328
250,328
255,328
260,328
265,328
270,328
275,328
280,328
285,328
290,328
295,328
300,328
305,328
310,328
315,328
320,328
325,328
330,328
335,328
340,328
345,328
350,328
355,328
360,328
365,328
370,328
375,328
380,328
385,328
390,328
395,328
400,328
405,328
410,328
415,328
420,328
425,328
430,22
435,22
440,22
445,22
450,22
455,22
460,22
465,22
470,22
475,22
480,22
485,22
