# time,value
10,0
15,577
20,479
25,983
30,983
35,1480
40,1479
45,1482
50,1481
55,1479
60,1471
65,1482
70,1435
75,1216
80,1218
85,1222
90,1219
95,1220
100,1220
105,1216
110,496
115,1219
120,1218
125,496
130,496
135,1218
140,496
145,1211
150,1215
155,496
160,1208
165,1206
170,496
175,1203
180,1204
185,1203
190,1203
195,1204
200,496
205,1204
210,1200
215,496
220,1203
225,1206
230,1201
235,1202
240,1203
245,1202
250,1205
255,1203
260,496
265,1206
270,496
275,1207
280,1207
285,1209
290,1210
295,1212
300,496
305,1206
310,1208
315,1209
320,496
325,496
330,1208
335,1209
340,496
345,1209
350,1208
355,1214
360,496
365,1210
370,1214
375,1209
380,496
385,1219
390,1216
395,1217
400,496
405,1215
410,496
415,1216
420,1217
425,496
430,496
435,496
440,496
445,496
450,496
455,496
460,496
465,496
470,496
475,496
480,496
485,496
