# time,value
10,0
15,196
20,163
25,329
30,330
35,497
40,497
45,663
50,663
55,830
60,828
65,995
70,996
75,1161
80,1156
85,1327
90,1328
95,1327
100,1328
105,1328
110,167
115,167
120,167
125,167
130,167
135,167
140,167
145,167
150,167
155,167
160,167
165,167
170,167
175,167
180,167
185,167
190,167
195,167
200,167
205,167
210,167
215,167
220,167
225,167
230,167
235,167
240,167
245,167
250,167
255,167
260,167
265,167
270,167
275,167
280,167
285,167
290,167
295,167
300,167
305,167
310,167
315,167
320,167
325,167
330,167
335,167
340,167
345,167
350,167
355,167
360,167
365,167
370,167
375,167
380,167
385,167
390,167
395,167
400,167
405,167
410,167
415,167
420,167
425,167
430,167
435,167
440,167
445,167
450,167
455,167
460,167
465,167
470,167
475,167
480,167
485,167
