# time,count
10,1
15,1
20,1
25,1
30,2
35,2
40,2
45,2
50,3
55,3
60,3
65,3
70,3
75,3
80,4
85,4
90,4
95,4
100,4
105,4
110,4
115,4
120,5
125,5
130,5
135,5
140,5
145,5
150,5
155,5
160,5
165,5
170,5
175,5
180,5
185,5
190,5
195,5
200,5
205,5
210,5
215,5
220,5
225,5
230,5
235,5
240,5
245,5
250,5
255,5
260,5
265,5
270,5
275,5
280,5
285,5
290,5
295,5
300,5
305,5
310,5
315,5
320,5
325,5
330,5
335,5
340,5
345,5
350,5
355,5
360,5
365,5
370,5
375,5
380,5
385,5
390,5
395,5
400,5
405,5
410,5
415,5
420,5
425,5
430,5
435,5
440,5
445,5
450,5
455,5
460,5
465,5
470,5
475,5
480,5
485,5
