# time,count
10,1
15,1
20,2
25,2
30,3
35,3
40,3
45,3
50,3
55,3
60,3
65,3
70,3
75,3
80,3
85,3
90,3
95,3
100,3
105,3
110,3
115,3
120,3
125,3
130,3
135,3
140,3
145,3
150,3
155,3
160,3
165,3
170,3
175,3
180,3
185,3
190,3
195,3
200,3
205,3
210,3
215,3
220,3
225,3
230,3
235,3
240,3
245,3
250,3
255,3
260,3
265,3
270,3
275,3
280,3
285,3
290,3
295,3
300,3
305,3
310,3
315,3
320,3
325,3
330,3
335,4
340,4
345,4
350,4
355,5
360,5
365,5
370,5
375,5
380,5
385,5
390,5
395,5
400,5
405,5
410,5
415,6
420,6
425,6
430,6
435,6
440,6
445,6
450,6
455,6
460,6
465,6
470,6
475,6
480,6
485,6
