# time,value
5,0
10,35
15,28
20,15
25,28
30,14
35,16
40,28
45,19
50,19
55,27
60,28
65,21
70,23
75,29
80,22
85,22
90,26
95,26
100,23
105,23
110,23
115,23
120,25
125,23
130,28
135,28
140,24
145,24
150,25
155,24
160,24
165,24
170,24
175,26
180,26
185,26
190,27
195,24
200,25
205,25
210,25
215,27
220,29
225,26
230,26
235,25
240,29
245,25
250,25
255,25
260,28
265,26
270,26
275,26
280,27
285,26
290,26
295,25
300,25
305,26
310,26
315,25
320,25
325,25
330,25
335,25
340,26
345,26
350,26
355,25
360,25
365,26
370,25
375,26
380,26
385,26
390,26
395,25
400,25
405,25
410,25
415,26
420,26
425,26
430,25
435,25
440,25
445,26
450,25
455,26
460,27
465,27
470,25
475,25
480,25
485,25
490,25
495,26
500,26
505,26
510,25
515,26
520,26
525,26
530,25
535,26
540,26
545,26
550,26
555,25
560,26
565,25
570,26
575,25
580,26
585,26
590,26
595,26
600,25
605,26
610,25
615,26
620,25
625,26
630,26
635,26
640,25
645,26
650,25
655,26
660,25
665,26
670,26
675,25
680,26
685,26
690,25
695,26
700,26
705,26
710,25
715,26
720,26
725,25
730,26
735,26
740,26
745,26
750,25
755,25
760,25
765,25
770,25
775,25
780,25
785,25
790,26
795,26
800,26
805,26
810,25
815,25
820,25
825,25
830,25
835,26
840,25
845,25
850,26
855,26
860,26
865,26
870,25
875,25
880,26
885,26
890,26
895,25
900,25
905,25
910,26
915,25
920,26
925,26
930,26
935,26
940,25
945,25
950,25
955,25
960,25
965,26
970,26
975,25
980,26
985,26
990,26
995,25
1000,25
1005,25
1010,25
1015,25
1020,25
1025,25
1030,25
1035,25
1040,26
1045,26
1050,26
1055,26
1060,25
1065,26
1070,25
1075,26
1080,26
1085,26
1090,26
1095,26
1100,25
1105,25
1110,25
1115,25
1120,25
1125,26
1130,25
1135,25
1140,25
1145,25
1150,25
1155,26
1160,26
1165,26
1170,26
1175,26
1180,25
1185,25
1190,25
1195,25
1200,26
1205,26
1210,26
1215,25
1220,25
1225,25
1230,25
1235,26
1240,26
1245,26
1250,26
1255,26
1260,25
1265,25
1270,26
1275,26
1280,26
1285,26
1290,25
1295,25
1300,25
1305,25
1310,26
1315,26
1320,26
1325,26
1330,25
1335,25
1340,25
1345,25
1350,25
1355,25
1360,26
1365,26
1370,26
1375,25
1380,25
1385,26
1390,25
1395,26
1400,26
1405,26
1410,26
1415,26
1420,25
1425,25
1430,25
1435,25
1440,25
1445,26
1450,26
1455,26
1460,26
1465,25
1470,25
1475,25
1480,26
1485,26
1490,26
1495,26
1500,26
1505,26
1510,25
1515,26
1520,26
1525,26
1530,26
1535,25
1540,25
1545,25
1550,26
1555,26
1560,25
1565,26
1570,25
1575,25
1580,26
1585,26
1590,26
1595,26
1600,26
1605,26
1610,25
1615,25
1620,25
1625,26
1630,26
1635,26
1640,26
1645,26
1650,25
1655,25
1660,25
1665,26
1670,26
1675,26
1680,26
1685,26
1690,26
1695,26
1700,26
1705,26
1710,26
1715,26
1720,26
1725,25
1730,26
1735,26
1740,25
1745,26
1750,25
1755,26
1760,26
1765,26
1770,26
1775,26
1780,26
1785,26
1790,25
1795,25
1800,25
1805,25
1810,26
1815,25
1820,25
1825,26
1830,26
1835,25
1840,26
1845,26
1850,26
1855,26
1860,26
1865,26
1870,26
1875,26
1880,25
1885,26
1890,26
1895,26
1900,25
1905,25
1910,26
1915,26
1920,25
1925,26
1930,26
1935,26
1940,26
1945,26
1950,26
1955,26
1960,25
1965,25
1970,25
1975,26
1980,26
1985,26
1990,26
1995,25
2000,25
2005,26
2010,25
2015,26
2020,26
2025,26
2030,26
2035,25
2040,26
2045,26
2050,26
2055,26
2060,26
2065,26
2070,26
2075,25
2080,25
2085,26
2090,26
2095,26
2100,26
2105,26
2110,26
2115,25
2120,25
2125,26
2130,26
2135,26
2140,26
2145,26
2150,26
2155,25
2160,25
2165,25
2170,26
2175,26
2180,26
2185,26
2190,26
2195,25
2200,25
2205,26
2210,26
2215,25
2220,26
2225,26
2230,26
2235,25
2240,26
2245,25
2250,26
2255,26
2260,26
2265,26
2270,25
2275,25
2280,26
2285,26
2290,26
2295,25
2300,26
2305,26
2310,26
2315,25
2320,25
2325,26
2330,26
2335,26
2340,26
2345,25
2350,26
2355,26
2360,26
2365,25
2370,26
2375,26
2380,26
2385,26
2390,26
2395,25
2400,26
2405,26
2410,26
2415,26
2420,26
2425,26
2430,25
2435,25
2440,26
2445,26
2450,26
2455,26
2460,26
2465,26
2470,25
2475,25
2480,26
2485,26
2490,25
2495,26
2500,26
2505,26
2510,26
2515,25
2520,26
2525,26
2530,25
2535,25
2540,26
2545,26
2550,26
2555,26
2560,26
2565,25
2570,25
2575,26
2580,26
2585,25
2590,25
2595,26
2600,26
2605,25
2610,25
2615,26
2620,26
2625,26
2630,26
2635,26
2640,25
2645,25
2650,25
2655,26
2660,26
2665,25
2670,26
2675,26
2680,25
2685,25
2690,26
2695,25
2700,26
2705,26
2710,26
2715,26
2720,26
2725,25
2730,25
2735,26
2740,26
2745,26
2750,25
2755,26
2760,25
2765,25
2770,26
2775,26
2780,26
2785,26
2790,25
2795,25
2800,26
2805,25
2810,25
2815,26
2820,26
2825,26
2830,26
2835,26
2840,26
2845,25
2850,25
2855,26
2860,25
2865,25
2870,25
2875,25
2880,26
2885,26
2890,26
2895,25
2900,25
2905,25
2910,26
2915,25
2920,26
2925,26
2930,26
2935,26
2940,26
2945,26
2950,25
2955,26
2960,26
2965,26
2970,26
2975,26
2980,26
2985,26
2990,26
2995,26
3000,26
3005,26
3010,26
3015,26
3020,26
3025,26
3030,26
3035,26
3040,26
3045,26
3050,26
3055,26
3060,26
3065,26
3070,26
3075,26
3080,26
3085,26
3090,26
3095,26
3100,26
3105,26
3110,26
3115,26
3120,26
3125,26
3130,26
3135,26
3140,26
3145,26
3150,26
3155,26
3160,26
3165,26
3170,26
3175,26
3180,26
3185,26
3190,26
3195,26
3200,26
3205,26
3210,26
3215,26
3220,26
3225,26
3230,26
3235,26
3240,26
3245,26
3250,26
3255,26
3260,26
3265,26
3270,26
3275,26
3280,26
3285,26
3290,26
3295,26
3300,26
3305,26
3310,26
3315,26
3320,26
3325,26
3330,26
3335,26
3340,26
3345,26
3350,26
3355,26
3360,26
3365,26
3370,26
3375,26
3380,26
3385,26
3390,26
3395,26
3400,26
3405,26
3410,26
3415,26
3420,26
3425,26
3430,26
3435,26
3440,26
3445,26
3450,26
3455,26
3460,26
3465,26
3470,26
3475,26
3480,26
3485,26
3490,26
3495,26
3500,26
3505,26
3510,26
3515,26
3520,26
3525,26
3530,26
3536,26
3541,26
3546,26
3551,26
3556,26
3561,26
3566,26
3571,26
3576,26
3581,26
3586,26
3591,26
3596,26
3601,26
3606,26
3611,26
3616,26
3621,26
3626,26
3631,26
3636,26
3641,26
3646,26
3651,26
3656,26
3661,26
3666,26
3671,26
3676,26
3681,26
3686,26
3691,26
3696,26
3701,26
3706,26
3711,26
3716,26
3721,26
3726,26
3731,26
3736,26
3741,26
3746,26
3751,26
3756,26
3761,26
3766,26
3771,26
3776,26
3781,26
3786,26
3791,26
3796,26
3801,26
3806,26
3811,26
3816,26
3821,26
3826,26
3831,26
3836,26
3841,26
3846,26
3851,26
3856,26
3861,26
3866,26
3871,26
3876,26
3881,26
3886,26
3891,26
3896,26
3901,26
3906,26
3911,26
3916,26
3921,26
3926,26
3931,26
3936,26
3941,26
3946,26
3951,26
3956,26
3961,26
3966,26
3971,26
3976,26
3981,26
3986,26
3991,26
3996,26
4001,26
4006,26
4011,26
4016,26
4021,26
4026,26
4031,26
4036,26
4041,26
4046,26
4051,26
4056,26
4061,26
4066,26
4071,26
4076,26
4081,26
4086,26
4091,26
4096,26
4101,26
4106,26
4111,26
4116,26
4121,26
4126,26
4131,26
4136,26
4141,26
4146,26
4151,26
4156,26
4161,26
4166,26
4171,26
4176,26
4181,26
4186,26
4191,26
4196,26
4201,26
4206,26
4211,26
4216,26
4221,26
4226,26
4231,26
4236,26
4241,26
4246,26
4251,26
4256,26
4261,26
4266,26
4271,26
4276,26
4281,26
4286,26
4291,26
4296,26
4301,26
4306,26
4311,26
4316,26
4321,26
4326,26
4331,26
4336,26
4341,26
4346,26
4351,26
4356,26
4361,26
4366,26
4371,26
4376,26
4381,26
4386,26
4391,26
4396,26
4401,26
4406,26
4411,26
4416,26
4421,26
4426,26
4431,26
4436,26
4441,26
4446,26
4451,26
4456,26
4461,26
4466,26
4471,26
4476,26
4481,26
4486,26
4491,26
4496,26
4501,26
4506,26
4511,26
4516,26
4521,26
4526,26
4531,26
4536,26
